alarm_name,alarm_time,new_alarm_name,new_alarm_time
Wake up,6:00,,
Errands,15:30,,
,,Music practice,16:30
Call,11:00,,
Get up,9:00,,
,,Music practice,16:45
Wake up,8:00,,
,,Cooking,16:45
Wake up,7:00,,
,,New alarm,17:00
Pick up kids,15:00,,
,,Music practice,15:30
,,Leave for home,15:15
Wake up,9:00,,
Workout,8:00,,
,,New alarm,17:15
Pick up kids,16:30,,
,,New alarm,15:00
,,Cleaning,16:30
Wake up,7:30,,
,,Phone home,15:00
Shuttle to work,10:00,,
,,New alarm,16:00
,,Grocery run,16:15
Wake up,6:30,,
,,Music practice,17:15
Wake up,8:30,,
Workout,9:30,,
,,New alarm,15:30
,,Phone home,15:30
,,Music practice,15:00
,,Phone home,16:45
Workout,8:30,,
,,Grocery run,16:45
,,New alarm,16:15
,,Cooking,16:00
,,Cooking,16:15
,,Phone home,15:15
,,Phone home,16:00
,,New alarm,15:45
,,New alarm,15:15
,,New alarm,16:45
,,Grocery run,17:00
,,Cleaning,16:15
,,Grocery run,16:30
,,Cleaning,15:30
,,Leave for home,16:15
,,Leave for home,16:30
,,Phone home,16:30
,,Grocery run,15:45
,,Grocery run,17:15
,,Cleaning,15:15
,,Music practice,17:00
,,Cleaning,17:15
,,Cooking,15:00
,,Leave for home,17:00
,,Leave for home,16:45
Pick up kids,16:00,,
Dentist,16:00,,
Event,16:00,,
Errands,17:00,,
Gym,10:00,,
Commute,10:30,,
Busy,16:00,,
Piano time,16:00,,
Call,9:00,,
Pick up kids,17:00,,
Get up,8:00,,
Meeting,16:30,,
Get up,7:30,,
Piano time,17:00,,
Catch bus,10:00,,
Catch bus,9:00,,
Errands,16:00,,
Shopping,16:00,,
Piano time,15:30,,
Jogging,8:00,,
Errands,15:00,,
Exercise,9:30,,
Shopping,15:30,,
Breakfast,10:00,,
Piano time,16:30,,
Call,8:30,,
Catch train,9:30,,
Call,8:00,,
Breakfast,8:00,,
Gym,8:30,,
Breakfast,9:30,,
Coffee,10:00,,
Badminton,8:30,,
Commute,8:00,,
Get up,7:00,,
Study,11:00,,
Gym,7:00,,
Catch bus,10:30,,
,,Music practice,15:15
Jogging,9:00,,
Class,10:00,,
Class,10:30,,
,,Cooking,15:45
,,Cooking,15:30
Running,10:00,,
,,Leave for home,16:00
Workout,9:00,,
Event,16:30,,
,,Grocery run,15:00
Pick up kids,15:30,,
Breakfast,9:00,,
Event,17:00,,
,,Leave for home,15:00
Get up,6:00,,
,,Leave for home,15:30
Exercise,8:00,,
Exercise,10:00,,
,,Cooking,16:30
Meeting,15:00,,
Study,8:30,,
Shopping,15:00,,
Exercise,7:00,,
,,Cleaning,15:45
Piano time,15:00,,
Get up,6:30,,
Errands,16:30,,
,,Cleaning,17:00
Busy,15:30,,
,,Phone home,15:45
,,Cleaning,16:45
Catch bus,8:00,,
Gym,7:30,,
Busy,16:30,,
Shuttle to work,8:30,,
Call,10:00,,
Paper,10:30,,
Study,9:30,,
Get up,8:30,,
,,Phone home,17:00
Dentist,15:30,,
Call,10:30,,
,,New alarm,16:30
Shopping,16:30,,
,,Music practice,15:45
Jogging,7:30,,
,,Leave for home,15:45
Meeting,17:00,,
Coffee,7:00,,
Busy,17:00,,
Jogging,7:00,,
Catch bus,11:00,,
Catch train,10:00,,
Dentist,16:30,,
Paper,9:30,,
Jogging,8:30,,
Badminton,9:00,,
Dentist,15:00,,
Gym,9:00,,
Running,7:00,,
Badminton,7:00,,
Commute,10:00,,
Event,15:00,,
Coffee,8:00,,
Shopping,17:00,,
Running,7:30,,
Paper,10:00,,
Catch train,9:00,,
Study,10:00,,
Busy,15:00,,
Coffee,8:30,,
Catch bus,9:30,,
Badminton,10:00,,
Shuttle to work,8:00,,
Running,8:00,,
Breakfast,7:00,,
Shuttle to work,9:30,,
Shuttle to work,10:30,,
,,Leave for home,17:15
,,Cleaning,16:00
Shuttle to work,9:00,,
,,Music practice,16:15
,,Cooking,15:15
