account_balance,account_type,recipient_account_type,recipient_name,transfer_amount,transfer_time
3814.44,checking,,,,
5984.42,savings,,,,
,savings,savings,Diego,1210,3
19663.1,checking,,,,
,checking,checking,Yumi,1400,1
17883.87,savings,,,,
,savings,checking,Justin,1470,3
8181.52,checking,,,,
5849.47,savings,,,,
,savings,checking,Li,780,3
6089.81,savings,,,,
22309.73,checking,,,,
,checking,dontcare,Mom,1330,3
5348.16,checking,,,,
5502.9,savings,,,,
,savings,dontcare,Justin,1220,3
5768.7,savings,,,,
2452.32,checking,,,,
,checking,checking,Diego,170,1
20931.69,checking,,,,
15627.82,savings,,,,
,savings,checking,Mom,180,3
12723.1,checking,,,,
9183.9,savings,,,,
,savings,checking,Khadija,1110,3
13314.25,checking,,,,
9434.73,savings,,,,
,savings,checking,Kagiso,400,3
14570.75,savings,,,,
7834.86,checking,,,,
,checking,checking,Mahmoud,1130,1
5370.53,checking,,,,
,checking,checking,Svetlana,270,1
23260.13,savings,,,,
,savings,checking,Philip,1250,3
22448.26,checking,,,,
,checking,checking,Diego,1330,1
9520.8,savings,,,,
,savings,dontcare,Jasbir,1290,3
18051.39,checking,,,,
,checking,checking,Grace,1060,1
24934.51,checking,,,,
,checking,savings,Khadija,1440,3
22496.82,savings,,,,
,savings,checking,Khadija,1800,3
11466.82,checking,,,,
16754.52,savings,,,,
,savings,checking,Jasbir,1670,3
19144.42,savings,,,,
10755.44,checking,,,,
,checking,savings,Justin,1290,3
8238.58,checking,,,,
9616.4,savings,,,,
,savings,checking,Philip,1640,3
5612.58,savings,,,,
20894.39,checking,,,,
,checking,checking,Mahmoud,1430,1
23509.52,checking,,,,
18456.66,savings,,,,
,savings,checking,Svetlana,1540,3
7686.21,savings,,,,
24978.75,checking,,,,
,checking,dontcare,Mahmoud,720,3
21801.28,savings,,,,
14298.13,checking,,,,
,checking,checking,Yumi,1470,1
17349.49,checking,,,,
9379.56,savings,,,,
,savings,checking,Jasbir,100,3
2873.18,savings,,,,
,savings,checking,Li,380,3
18299.57,savings,,,,
,savings,checking,Diego,780,3
9485.1,checking,,,,
3368.48,savings,,,,
,savings,checking,Philip,1580,3
21432.7,savings,,,,
16589.75,checking,,,,
,checking,savings,Li,600,3
24590.55,checking,,,,
24838.31,savings,,,,
,savings,checking,Grace,500,3
5567.84,savings,,,,
,savings,checking,Justin,1030,3
11130.35,checking,,,,
,checking,checking,Grace,1360,1
24819.36,checking,,,,
,checking,savings,Yumi,1200,3
12886.54,checking,,,,
3232.84,savings,,,,
,savings,savings,Diego,1630,3
19703.3,savings,,,,
4165.22,checking,,,,
,checking,checking,Grace,710,1
843.14,checking,,,,
17106.16,savings,,,,
,savings,savings,Jasbir,1170,3
11570.74,checking,,,,
19945.43,savings,,,,
,savings,checking,Justin,50,3
23352.71,checking,,,,
7976.46,savings,,,,
,savings,checking,Mom,1790,3
3520.45,savings,,,,
19865.14,checking,,,,
,checking,checking,Grace,1150,1
23389.17,checking,,,,
10764.11,savings,,,,
,savings,checking,Philip,730,3
23362.72,checking,,,,
,checking,checking,Philip,550,1
12254.49,checking,,,,
22869.21,checking,,,,
13706.89,checking,,,,
14897.23,savings,,,,
11110.69,savings,,,,
12808.32,savings,,,,
3207.22,checking,,,,
9286.56,checking,,,,
19587.5,checking,,,,
14222.76,savings,,,,
14257.75,savings,,,,
20899.12,checking,,,,
13250.25,savings,,,,
15280.44,checking,,,,
17785.35,savings,,,,
2737.53,checking,,,,
13989.88,checking,,,,
9217.14,savings,,,,
18124.73,savings,,,,
1442.16,savings,,,,
20591.49,checking,,,,
23383.84,checking,,,,
13261.46,checking,,,,
9613.38,savings,,,,
16277.7,savings,,,,
1539.74,checking,,,,
9377.78,savings,,,,
2489.31,checking,,,,
1861.43,savings,,,,
14778.56,savings,,,,
19328.19,checking,,,,
7658.13,savings,,,,
2971.48,checking,,,,
4559.65,checking,,,,
23383.41,savings,,,,
9307.64,savings,,,,
20863.73,checking,,,,
24220.79,checking,,,,
9812.15,checking,,,,
17274.43,savings,,,,
21581.46,checking,,,,
2601.84,savings,,,,
14992.71,checking,,,,
15975.43,savings,,,,
2377.24,savings,,,,
12913.46,checking,,,,
7069.5,checking,,,,
19643.54,savings,,,,
9129.22,savings,,,,
14996.53,checking,,,,
6255.48,checking,,,,
17343.13,savings,,,,
16282.84,savings,,,,
7181.85,savings,,,,
20895.77,checking,,,,
22717.3,checking,,,,
6829.27,savings,,,,
17842.78,savings,,,,
21712.3,savings,,,,
12795.18,checking,,,,
21648.31,savings,,,,
9789.2,savings,,,,
,savings,checking,Jasbir,30,3
4309.67,savings,,,,
,savings,checking,Svetlana,1490,3
13700.75,checking,,,,
,checking,checking,Khadija,30,1
14123.62,checking,,,,
,checking,savings,Grace,1310,3
4402.19,savings,,,,
,savings,checking,Justin,360,3
8639.65,savings,,,,
22633.39,checking,,,,
,checking,savings,Diego,480,3
11105.58,checking,,,,
,checking,checking,Svetlana,590,1
5151.82,savings,,,,
,savings,savings,Yumi,1490,3
19071.32,savings,,,,
,savings,checking,Dad,1140,3
11829.13,savings,,,,
,savings,checking,uncle Richard,1720,3
13631.46,savings,,,,
,savings,checking,uncle Richard,1190,3
10636.2,checking,,,,
,checking,checking,Mom,1390,1
24267.22,savings,,,,
,savings,checking,aunt Jenny,1030,3
1248.55,savings,,,,
,savings,savings,aunt Jenny,150,3
10682.5,checking,,,,
,checking,checking,Jasbir,1280,1
23328.3,savings,,,,
2625.44,checking,,,,
,checking,checking,Khadija,270,1
24797.43,checking,,,,
,checking,checking,Philip,1600,1
7177.1,checking,,,,
,checking,checking,uncle Richard,610,1
12545.54,savings,,,,
,savings,savings,aunt Jenny,770,3
13840.68,savings,,,,
,savings,checking,Philip,1200,3
12968.37,checking,,,,
19656.33,savings,,,,
,savings,checking,Kagiso,1560,3
8071.19,checking,,,,
,checking,checking,Grace,1380,1
9346.64,checking,,,,
,checking,checking,Diego,1010,1
19176.15,savings,,,,
,savings,savings,Justin,1600,3
2292.26,checking,,,,
,checking,checking,Philip,150,1
15095.83,savings,,,,
,savings,checking,Yumi,80,3
561.38,checking,,,,
,checking,checking,Khadija,60,1
18345.42,savings,,,,
,savings,checking,Grace,1020,3
24220.56,savings,,,,
,savings,checking,Kagiso,210,3
17081.81,savings,,,,
,savings,savings,Philip,430,3
1268.81,savings,,,,
24591.51,checking,,,,
,checking,checking,aunt Jenny,670,1
22175.44,checking,,,,
1937.88,savings,,,,
,savings,checking,Yumi,180,3
14793.85,checking,,,,
,checking,checking,Jasbir,1560,1
9021.82,checking,,,,
8962.88,savings,,,,
,savings,checking,Philip,890,3
8742.76,checking,,,,
,checking,checking,Li,1530,1
7508.31,savings,,,,
,savings,checking,Jasbir,1780,3
16641.82,checking,,,,
20265.21,savings,,,,
,savings,checking,Mom,1700,3
21411.3,savings,,,,
23155.32,savings,,,,
,savings,savings,aunt Jenny,520,3
22941.69,checking,,,,
,checking,checking,Mom,1410,1
5670.53,checking,,,,
,checking,savings,Jasbir,1450,3
12849.41,savings,,,,
18629.43,checking,,,,
,checking,dontcare,Jasbir,20,3
14041.84,checking,,,,
1481.35,savings,,,,
,savings,checking,Justin,1130,3
19051.65,checking,,,,
,checking,checking,Yumi,900,1
9813.21,savings,,,,
