fare,from_location,from_station,leaving_date,leaving_time,to_location,to_station,transfers,travelers
66,Long Beach,Downtown Station,3/14/2019,6:50,Sacramento,Sacramento Valley Station,1,
67,Long Beach,Downtown Station,3/14/2019,7:00,Sacramento,Sacramento Valley Station,1,
73,Long Beach,Downtown Station,3/14/2019,8:30,Sacramento,Sacramento Valley Station,1,
67,Long Beach,Downtown Station,3/14/2019,10:20,Sacramento,Sacramento Valley Station,1,
64,Long Beach,Downtown Station,3/14/2019,10:30,Sacramento,Sacramento Valley Station,1,
59,Long Beach,Downtown Station,3/14/2019,10:40,Sacramento,Sacramento Valley Station,1,
53,Long Beach,Downtown Station,3/14/2019,13:40,Sacramento,Sacramento Valley Station,1,
52,Long Beach,Downtown Station,3/14/2019,13:50,Sacramento,Sacramento Valley Station,1,
51,Long Beach,Downtown Station,3/14/2019,15:20,Sacramento,Sacramento Valley Station,1,
24,San Diego,Santa Fe Depot,3/5/2019,8:20,Long Beach,Downtown Station,0,
27,San Diego,Santa Fe Depot,3/5/2019,10:20,Long Beach,Downtown Station,0,
25,San Diego,Santa Fe Depot,3/5/2019,12:00,Long Beach,Downtown Station,0,
23,San Diego,Santa Fe Depot,3/5/2019,13:40,Long Beach,Downtown Station,0,
22,San Diego,Santa Fe Depot,3/5/2019,14:00,Long Beach,Downtown Station,0,
26,San Diego,Santa Fe Depot,3/5/2019,15:10,Long Beach,Downtown Station,0,
23,San Diego,Santa Fe Depot,3/5/2019,15:50,Long Beach,Downtown Station,0,
24,San Diego,Santa Fe Depot,3/5/2019,17:10,Long Beach,Downtown Station,0,
24,San Diego,Santa Fe Depot,3/5/2019,17:40,Long Beach,Downtown Station,0,
26,San Diego,Santa Fe Depot,3/5/2019,19:00,Long Beach,Downtown Station,0,
28,Los Angeles,Union Station,3/2/2019,7:40,San Diego,Santa Fe Depot,0,
28,Los Angeles,Union Station,3/2/2019,7:50,San Diego,Santa Fe Depot,0,
27,Los Angeles,Union Station,3/2/2019,9:20,San Diego,Santa Fe Depot,0,
23,Los Angeles,Union Station,3/2/2019,10:50,San Diego,Santa Fe Depot,0,
26,Los Angeles,Union Station,3/2/2019,11:20,San Diego,Santa Fe Depot,0,
24,Los Angeles,Union Station,3/2/2019,14:20,San Diego,Santa Fe Depot,0,
28,Los Angeles,Union Station,3/2/2019,15:00,San Diego,Santa Fe Depot,0,
23,Los Angeles,Union Station,3/2/2019,16:40,San Diego,Santa Fe Depot,0,
28,Los Angeles,Union Station,3/2/2019,16:50,San Diego,Santa Fe Depot,0,
27,Los Angeles,Union Station,3/2/2019,18:10,San Diego,Santa Fe Depot,0,
50,San Francisco,Salesforce Transit Center,3/1/2019,7:00,Los Angeles,Union Station,0,
41,San Francisco,Salesforce Transit Center,3/1/2019,7:40,Los Angeles,Union Station,0,
41,San Francisco,Salesforce Transit Center,3/1/2019,8:40,Los Angeles,Union Station,0,
47,San Francisco,Salesforce Transit Center,3/1/2019,8:50,Los Angeles,Union Station,0,
44,San Francisco,Salesforce Transit Center,3/1/2019,10:40,Los Angeles,Union Station,0,
52,San Francisco,Salesforce Transit Center,3/1/2019,11:10,Los Angeles,Union Station,0,
48,San Francisco,Salesforce Transit Center,3/1/2019,13:10,Los Angeles,Union Station,0,
52,San Francisco,Salesforce Transit Center,3/1/2019,14:10,Los Angeles,Union Station,0,
46,San Francisco,Salesforce Transit Center,3/1/2019,16:20,Los Angeles,Union Station,0,
44,San Francisco,Salesforce Transit Center,3/1/2019,17:50,Los Angeles,Union Station,0,
43,San Francisco,Salesforce Transit Center,3/4/2019,7:50,Long Beach,Downtown Station,0,
45,San Francisco,Salesforce Transit Center,3/4/2019,8:50,Long Beach,Downtown Station,0,
47,San Francisco,Salesforce Transit Center,3/4/2019,9:10,Long Beach,Downtown Station,0,
51,San Francisco,Salesforce Transit Center,3/4/2019,10:30,Long Beach,Downtown Station,0,
46,San Francisco,Salesforce Transit Center,3/4/2019,15:20,Long Beach,Downtown Station,0,
44,San Francisco,Salesforce Transit Center,3/4/2019,16:30,Long Beach,Downtown Station,0,
47,San Francisco,Salesforce Transit Center,3/4/2019,17:00,Long Beach,Downtown Station,0,
36,Las Vegas,Union Plaza,3/4/2019,14:10,Anaheim,Anaheim Intermodal Center,0,
40,Las Vegas,Union Plaza,3/4/2019,14:20,Anaheim,Anaheim Intermodal Center,0,
38,Las Vegas,Union Plaza,3/4/2019,14:40,Anaheim,Anaheim Intermodal Center,0,
37,Las Vegas,Union Plaza,3/4/2019,17:50,Anaheim,Anaheim Intermodal Center,0,
23,San Diego,Santa Fe Depot,3/4/2019,10:10,Anaheim,Anaheim Intermodal Center,0,
