departure_date,departure_time,destination,destination_station_name,fare_type,group_size,origin,origin_station_name,price
3/3/2019,7:20,Los Angeles,Union Station,Economy,,Las Vegas,Union Plaza,41
3/3/2019,10:20,Los Angeles,Union Station,Economy,,Las Vegas,Union Plaza,48
3/3/2019,11:50,Los Angeles,Union Station,Economy,,Las Vegas,Union Plaza,33
3/3/2019,17:00,Los Angeles,Union Station,Economy,,Las Vegas,Union Plaza,42
3/8/2019,7:50,Long Beach,Downtown Station,Flexible,,San Francisco,Salesforce Transit Center,72
3/8/2019,8:50,Long Beach,Downtown Station,Flexible,,San Francisco,Salesforce Transit Center,65
3/8/2019,9:10,Long Beach,Downtown Station,Flexible,,San Francisco,Salesforce Transit Center,73
3/8/2019,10:30,Long Beach,Downtown Station,Flexible,,San Francisco,Salesforce Transit Center,70
3/8/2019,15:20,Long Beach,Downtown Station,Flexible,,San Francisco,Salesforce Transit Center,72
3/8/2019,16:30,Long Beach,Downtown Station,Flexible,,San Francisco,Salesforce Transit Center,68
3/8/2019,17:00,Long Beach,Downtown Station,Flexible,,San Francisco,Salesforce Transit Center,68
3/5/2019,7:30,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,39
3/5/2019,10:40,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,41
3/5/2019,11:00,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,37
3/5/2019,13:30,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,39
3/5/2019,18:40,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,38
3/5/2019,19:50,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,43
3/6/2019,7:30,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,41
3/6/2019,10:40,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,43
3/6/2019,11:00,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,40
3/6/2019,13:30,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,38
3/6/2019,18:40,Fresno,Fresno Station,Economy extra,,Sacramento,Sacramento Valley Station,44
