category,departure_date,departure_time,from_city,from_station,num_passengers,price,to_city,to_station,additional_luggage
direct,3/13/2019,6:50,Los Angeles,North Hollywood Station,,26,San Diego,El Cajon Bus Stop,
direct,3/13/2019,8:10,Los Angeles,North Hollywood Station,,26,San Diego,El Cajon Bus Stop,
direct,3/13/2019,8:50,Los Angeles,North Hollywood Station,,30,San Diego,El Cajon Bus Stop,
direct,3/13/2019,10:30,Los Angeles,North Hollywood Station,,27,San Diego,El Cajon Bus Stop,
direct,3/13/2019,10:40,Los Angeles,North Hollywood Station,,24,San Diego,El Cajon Bus Stop,
direct,3/13/2019,11:10,Los Angeles,North Hollywood Station,,27,San Diego,El Cajon Bus Stop,
direct,3/13/2019,12:10,Los Angeles,North Hollywood Station,,26,San Diego,El Cajon Bus Stop,
direct,3/13/2019,13:20,Los Angeles,North Hollywood Station,,28,San Diego,El Cajon Bus Stop,
direct,3/13/2019,14:00,Los Angeles,North Hollywood Station,,26,San Diego,El Cajon Bus Stop,
direct,3/13/2019,14:30,Los Angeles,North Hollywood Station,,27,San Diego,El Cajon Bus Stop,
direct,3/13/2019,6:50,Fresno,2660 Tulare St,,45,San Diego,El Cajon Bus Stop,
direct,3/13/2019,8:20,Fresno,2660 Tulare St,,43,San Diego,El Cajon Bus Stop,
direct,3/13/2019,9:30,Fresno,2660 Tulare St,,46,San Diego,El Cajon Bus Stop,
direct,3/13/2019,13:50,Fresno,2660 Tulare St,,38,San Diego,El Cajon Bus Stop,
direct,3/13/2019,16:20,Fresno,2660 Tulare St,,44,San Diego,El Cajon Bus Stop,
direct,3/13/2019,16:30,Fresno,2660 Tulare St,,48,San Diego,El Cajon Bus Stop,
direct,3/7/2019,10:50,Fresno,2660 Tulare St,,35,San Francisco,Transbay Terminal,
direct,3/7/2019,12:40,Fresno,2660 Tulare St,,31,San Francisco,Transbay Terminal,
direct,3/7/2019,13:10,Fresno,2660 Tulare St,,33,San Francisco,Transbay Terminal,
direct,3/7/2019,13:30,Fresno,2660 Tulare St,,27,San Francisco,Transbay Terminal,
direct,3/7/2019,14:20,Fresno,2660 Tulare St,,32,San Francisco,Transbay Terminal,
direct,3/7/2019,14:40,Fresno,2660 Tulare St,,32,San Francisco,Transbay Terminal,
direct,3/7/2019,16:10,Fresno,2660 Tulare St,,32,San Francisco,Transbay Terminal,
direct,3/7/2019,19:40,Fresno,2660 Tulare St,,33,San Francisco,Transbay Terminal,
direct,3/3/2019,7:30,Seattle,Westlake Station,,32,Portland,SW Arthur & 1st,
direct,3/3/2019,9:00,Seattle,Westlake Station,,29,Portland,SW Arthur & 1st,
direct,3/3/2019,9:20,Seattle,Westlake Station,,27,Portland,SW Arthur & 1st,
direct,3/3/2019,9:30,Seattle,Westlake Station,,33,Portland,SW Arthur & 1st,
direct,3/3/2019,9:50,Seattle,Westlake Station,,27,Portland,SW Arthur & 1st,
direct,3/3/2019,12:10,Seattle,Westlake Station,,32,Portland,SW Arthur & 1st,
direct,3/3/2019,12:20,Seattle,Westlake Station,,31,Portland,SW Arthur & 1st,
direct,3/3/2019,18:30,Seattle,Westlake Station,,30,Portland,SW Arthur & 1st,
direct,3/11/2019,7:20,Las Vegas,Union Plaza,,38,Fresno,2660 Tulare St,
direct,3/11/2019,9:00,Las Vegas,Union Plaza,,38,Fresno,2660 Tulare St,
direct,3/11/2019,10:10,Las Vegas,Union Plaza,,40,Fresno,2660 Tulare St,
direct,3/11/2019,12:10,Las Vegas,Union Plaza,,44,Fresno,2660 Tulare St,
direct,3/11/2019,14:10,Las Vegas,Union Plaza,,38,Fresno,2660 Tulare St,
direct,3/11/2019,14:40,Las Vegas,Union Plaza,,42,Fresno,2660 Tulare St,
direct,3/11/2019,15:30,Las Vegas,Union Plaza,,40,Fresno,2660 Tulare St,
direct,3/11/2019,18:00,Las Vegas,Union Plaza,,35,Fresno,2660 Tulare St,
direct,3/11/2019,18:30,Las Vegas,Union Plaza,,34,Fresno,2660 Tulare St,
direct,3/11/2019,18:40,Las Vegas,Union Plaza,,45,Fresno,2660 Tulare St,
direct,3/3/2019,9:10,San Diego,El Cajon Bus Stop,,25,Los Angeles,North Hollywood Station,
direct,3/3/2019,9:20,San Diego,El Cajon Bus Stop,,22,Los Angeles,North Hollywood Station,
direct,3/3/2019,14:20,San Diego,El Cajon Bus Stop,,26,Los Angeles,North Hollywood Station,
direct,3/3/2019,16:00,San Diego,El Cajon Bus Stop,,28,Los Angeles,North Hollywood Station,
direct,3/3/2019,16:10,San Diego,El Cajon Bus Stop,,25,Los Angeles,North Hollywood Station,
direct,3/3/2019,16:40,San Diego,El Cajon Bus Stop,,31,Los Angeles,North Hollywood Station,
direct,3/3/2019,17:10,San Diego,El Cajon Bus Stop,,25,Los Angeles,North Hollywood Station,
direct,3/3/2019,17:20,San Diego,El Cajon Bus Stop,,30,Los Angeles,North Hollywood Station,
direct,3/3/2019,17:30,San Diego,El Cajon Bus Stop,,27,Los Angeles,North Hollywood Station,
direct,3/3/2019,18:10,San Diego,El Cajon Bus Stop,,25,Los Angeles,North Hollywood Station,
direct,3/6/2019,7:00,San Francisco,Transbay Terminal,,46,Long Beach,Downtown Station,
direct,3/6/2019,7:40,San Francisco,Transbay Terminal,,54,Long Beach,Downtown Station,
direct,3/6/2019,9:10,San Francisco,Transbay Terminal,,44,Long Beach,Downtown Station,
direct,3/6/2019,11:10,San Francisco,Transbay Terminal,,49,Long Beach,Downtown Station,
direct,3/6/2019,13:00,San Francisco,Transbay Terminal,,47,Long Beach,Downtown Station,
direct,3/6/2019,17:00,San Francisco,Transbay Terminal,,47,Long Beach,Downtown Station,
direct,3/6/2019,19:50,San Francisco,Transbay Terminal,,43,Long Beach,Downtown Station,
direct,3/7/2019,6:00,San Francisco,Transbay Terminal,,22,Sacramento,65th Light Rail Station,
direct,3/7/2019,8:10,San Francisco,Transbay Terminal,,20,Sacramento,65th Light Rail Station,
