address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
235 West 46th Street,Music,New York,3/1/2019,Sony Hall,Buddy Guy,Blues,19:30,
"64 North 9th Street, Brooklyn",Music,New York,3/1/2019,Rough Trade NYC,Crooked Colours,Electronica,18:30,
235 West 46th Street,Music,New York,3/1/2019,Sony Hall,Harlem Gospel Choir,Christian,20:30,
"141 Prospect Park West, Brooklyn",Music,New York,3/1/2019,Prospect Park Bandshell,Jason Isbell,Country,20:30,
"1 Tennis Place, Forest Hills",Music,New York,3/1/2019,Forest Hills Stadium,Jethro Tull,Rock,18:00,
"1 Tennis Place, Forest Hills",Music,New York,3/1/2019,Forest Hills Stadium,Jojo Siwa,Pop,20:00,
"17 Eastern Parkway, Brooklyn",Music,New York,3/1/2019,Murmrr,Kishi Bashi,Electronica,18:00,
"17 Eastern Parkway, Brooklyn",Music,New York,3/1/2019,Murmrr,Low,Rock,20:00,
"141 Prospect Park West, Brooklyn",Music,New York,3/1/2019,Prospect Park Bandshell,Mac Demarco,Blues,18:00,
10 Columbus Circle,Music,New York,3/1/2019,The Appel Room,Michael Feinstein,Classical,18:00,
"64 North 9th Street, Brooklyn",,New York,3/1/2019,Rough Trade NYC,Crooked Colours,,18:30,
1 AMB Drive Northwest,Sports,Atlanta,3/4/2019,Mercedes-Benz Stadium,Falcons Vs Buccaneers,American Football,19:30,
1 AMB Drive Northwest,Sports,Atlanta,3/9/2019,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,18:00,
1 AMB Drive Northwest,Sports,Atlanta,3/10/2019,Mercedes-Benz Stadium,Falcons Vs Rams,American Football,19:00,
1 AMB Drive Northwest,Sports,Atlanta,3/12/2019,Mercedes-Benz Stadium,Falcons Vs Redskins,American Football,20:30,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/4/2019,Georgia State Stadium,Panthers Vs Jaguars,Basketball,18:00,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/8/2019,Georgia State Stadium,Panthers Vs Mountaineers,Basketball,18:00,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/14/2019,Georgia State Stadium,Panthers Vs Paladins,Basketball,18:00,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/11/2019,Georgia State Stadium,Panthers Vs Trojans,Basketball,19:30,
1 AMB Drive Northwest,Sports,Atlanta,3/2/2019,Mercedes-Benz Stadium,United Vs Earthquakes,Football,18:30,
1 AMB Drive Northwest,Sports,Atlanta,3/10/2019,Mercedes-Benz Stadium,United Vs Red Bulls,Football,19:30,
1 AMB Drive Northwest,,Atlanta,3/9/2019,Mercedes-Benz Stadium,Falcons Vs Jaguars,,18:00,
100 California Drive,Music,Yountville,3/1/2019,Napa Valley Performing Arts Center,Todd Rundgren,Pop,18:30,
100 California Drive,,Yountville,3/1/2019,Napa Valley Performing Arts Center,Todd Rundgren,,18:30,
1 Blue Jays Way,Sports,Toronto,3/13/2019,Rogers Centre,Blue Jays Vs Astros,Baseball,18:30,
1 Blue Jays Way,Sports,Toronto,3/8/2019,Rogers Centre,Blue Jays Vs Braves,Baseball,20:00,
1 Blue Jays Way,Sports,Toronto,3/4/2019,Rogers Centre,Blue Jays Vs Indians,Baseball,20:00,
1 Blue Jays Way,Sports,Toronto,3/5/2019,Rogers Centre,Blue Jays Vs Mariners,Baseball,20:30,
1 Blue Jays Way,Sports,Toronto,3/8/2019,Rogers Centre,Blue Jays Vs Orioles,Baseball,18:30,
1 Blue Jays Way,Sports,Toronto,3/6/2019,Rogers Centre,Blue Jays Vs Rangers,Baseball,20:00,
1 Blue Jays Way,Sports,Toronto,3/13/2019,Rogers Centre,Blue Jays Vs Rays,Baseball,20:00,
1 Blue Jays Way,Sports,Toronto,3/4/2019,Rogers Centre,Blue Jays Vs Royals,Baseball,18:00,
