city,date,event_name,time,venue,venue_address,number_of_tickets,category,event_type
New York,3/1/2019,Yankees Vs Orioles,17:30,Yankee Stadium,1 East 161 Street,,,
New York,3/8/2019,Yankees Vs Orioles,19:00,Yankee Stadium,1 East 161 Street,,,
New York,3/9/2019,Yankees Vs Orioles,18:30,Yankee Stadium,1 East 161 Street,,,
New York,3/11/2019,Yankees Vs Orioles,19:30,Yankee Stadium,1 East 161 Street,,,
San Diego,3/2/2019,Lizzo,18:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
San Diego,3/6/2019,Lizzo,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
San Diego,3/9/2019,Lizzo,19:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
San Diego,3/10/2019,Lizzo,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
San Diego,3/14/2019,Lizzo,19:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
San Francisco,3/1/2019,Cher,17:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
San Francisco,3/6/2019,Cher,19:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
San Francisco,3/12/2019,Cher,19:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
San Francisco,3/13/2019,Cher,17:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
San Francisco,3/14/2019,Cher,17:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
New York,3/8/2019,Michael Feinstein,17:30,The Appel Room,10 Columbus Circle,,,
New York,3/10/2019,Michael Feinstein,19:00,The Appel Room,10 Columbus Circle,,,
New York,3/13/2019,Michael Feinstein,19:30,The Appel Room,10 Columbus Circle,,,
New York,3/14/2019,Michael Feinstein,18:30,The Appel Room,10 Columbus Circle,,,
Chicago,3/1/2019,Basta,18:00,Concord Music Hall,2047 North Milwaukee Avenue,,,
Chicago,3/2/2019,Basta,17:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
Chicago,3/3/2019,Basta,18:00,Concord Music Hall,2047 North Milwaukee Avenue,,,
Chicago,3/4/2019,Basta,18:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
Chicago,3/5/2019,Basta,19:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
Chicago,3/7/2019,Basta,18:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
London,3/6/2019,India Vs Australia,18:00,The Oval,Kennington Oval,,,
London,3/9/2019,India Vs Australia,18:30,The Oval,Kennington Oval,,,
London,3/11/2019,India Vs Australia,19:00,The Oval,Kennington Oval,,,
London,3/14/2019,India Vs Australia,18:30,The Oval,Kennington Oval,,,
Washington D.C.,3/4/2019,Nationals Vs Orioles,17:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/12/2019,Nationals Vs Orioles,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/13/2019,Nationals Vs Orioles,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
Portland,3/1/2019,Damien Jurado,17:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
Portland,3/3/2019,Damien Jurado,18:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
Portland,3/4/2019,Damien Jurado,18:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
Portland,3/10/2019,Damien Jurado,18:30,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
Portland,3/12/2019,Damien Jurado,17:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
Portland,3/14/2019,Damien Jurado,17:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
Berkeley,3/1/2019,Jonathan Mcreynolds,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/4/2019,Jonathan Mcreynolds,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/8/2019,Jonathan Mcreynolds,19:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/10/2019,Jonathan Mcreynolds,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/11/2019,Jonathan Mcreynolds,19:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/12/2019,Jonathan Mcreynolds,19:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/13/2019,Jonathan Mcreynolds,19:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/14/2019,Jonathan Mcreynolds,17:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Phoenix,3/1/2019,Diamondbacks Vs Cardinals,17:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/5/2019,Diamondbacks Vs Cardinals,19:00,Chase Field,401 East Jefferson Street,,,
Phoenix,3/8/2019,Diamondbacks Vs Cardinals,17:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/10/2019,Diamondbacks Vs Cardinals,18:00,Chase Field,401 East Jefferson Street,,,
San Diego,3/3/2019,Aly And Aj,17:00,The Observatory North Park,2891 University Avenue,,,
San Diego,3/4/2019,Aly And Aj,19:30,The Observatory North Park,2891 University Avenue,,,
San Diego,3/5/2019,Aly And Aj,18:00,The Observatory North Park,2891 University Avenue,,,
San Diego,3/8/2019,Aly And Aj,19:30,The Observatory North Park,2891 University Avenue,,,
San Diego,3/12/2019,Aly And Aj,18:00,The Observatory North Park,2891 University Avenue,,,
San Diego,3/13/2019,Aly And Aj,18:00,The Observatory North Park,2891 University Avenue,,,
Toronto,3/2/2019,Blue Jays Vs Yankees,17:00,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/3/2019,Blue Jays Vs Yankees,18:00,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/6/2019,Blue Jays Vs Yankees,19:30,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/7/2019,Blue Jays Vs Yankees,17:30,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/9/2019,Blue Jays Vs Yankees,18:00,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/10/2019,Blue Jays Vs Yankees,19:30,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/11/2019,Blue Jays Vs Yankees,17:30,Rogers Centre,1 Blue Jays Way,,,
Stanford,3/2/2019,Cardinal Vs Ducks,18:00,Stanford Stadium,625 Nelson Road,,,
Stanford,3/6/2019,Cardinal Vs Ducks,18:00,Stanford Stadium,625 Nelson Road,,,
Stanford,3/10/2019,Cardinal Vs Ducks,17:00,Stanford Stadium,625 Nelson Road,,,
Stanford,3/14/2019,Cardinal Vs Ducks,18:30,Stanford Stadium,625 Nelson Road,,,
Portland,3/6/2019,Timbers Vs Earthquakes,17:00,Providence Park,1844 Southwest Morrison Street,,,
Portland,3/11/2019,Timbers Vs Earthquakes,17:00,Providence Park,1844 Southwest Morrison Street,,,
Portland,3/12/2019,Timbers Vs Earthquakes,17:30,Providence Park,1844 Southwest Morrison Street,,,
Portland,3/13/2019,Timbers Vs Earthquakes,19:00,Providence Park,1844 Southwest Morrison Street,,,
New York,3/4/2019,Vivian Green,17:30,Sony Hall,235 West 46th Street,,,
New York,3/10/2019,Vivian Green,17:00,Sony Hall,235 West 46th Street,,,
New York,3/12/2019,Vivian Green,19:00,Sony Hall,235 West 46th Street,,,
New York,3/13/2019,Vivian Green,18:30,Sony Hall,235 West 46th Street,,,
New York,3/14/2019,Vivian Green,18:00,Sony Hall,235 West 46th Street,,,
Los Angeles,3/2/2019,Lafc Vs Atlanta United,17:30,Banc of California Stadium,3939 South Figueroa Street,,,
Los Angeles,3/3/2019,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
Los Angeles,3/8/2019,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
Los Angeles,3/9/2019,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
Los Angeles,3/12/2019,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
Los Angeles,3/14/2019,Lafc Vs Atlanta United,17:30,Banc of California Stadium,3939 South Figueroa Street,,,
New York,3/2/2019,Mets Vs Rockies,17:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/3/2019,Mets Vs Rockies,17:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/4/2019,Mets Vs Rockies,18:30,Citi Field,123-01 Roosevelt Avenue,,,
