city,date,event_name,event_type,price_per_ticket,time,venue,venue_address,number_of_tickets
New York,3/4/2019,Abbi Jacobson,Music,50,18:30,Kaufmann Concert Hall,1395 Lexington Avenue,
New York,3/4/2019,Alpha Blondy,Music,60,19:30,Sony Hall,235 West 46th Street,
New York,3/4/2019,Boston Symphony Orchestra,Music,30,18:00,Stern Auditorium / Perelman Stage,881 7th Avenue,
New York,3/4/2019,Buddy Guy,Music,45,19:00,Sony Hall,235 West 46th Street,
New York,3/4/2019,Carbon Leaf,Music,55,17:30,Sony Hall,235 West 46th Street,
New York,3/4/2019,Crooked Colours,Music,30,18:30,Rough Trade NYC,"64 North 9th Street, Brooklyn",
New York,3/4/2019,Dj Gravy,Music,30,16:00,Sony Hall,235 West 46th Street,
New York,3/4/2019,Emanuel Ax,Music,50,19:30,Stern Auditorium / Perelman Stage,881 7th Avenue,
New York,3/4/2019,Finneas,Music,30,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",
New York,3/4/2019,France Rocks Festival,Music,35,19:00,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,
San Francisco,3/4/2019,Alex Cameron,Music,35,18:30,August Hall,420 Mason Street,
San Francisco,3/4/2019,Finneas,Music,60,19:30,August Hall,420 Mason Street,
San Francisco,3/4/2019,Jeanette Tietze,Music,25,19:00,The Episcopal Church of the Incarnation,1750 29th Avenue,
San Francisco,3/4/2019,Matt Corby,Music,40,18:30,August Hall,420 Mason Street,
San Francisco,3/4/2019,Patti Lupone,Music,50,17:30,San Francisco Symphony,201 Van Ness Avenue,
San Francisco,3/4/2019,Remo Drive,Music,30,19:30,The Chapel,777 Valencia Street,
San Francisco,3/4/2019,Sinead Harnett,Music,40,17:00,August Hall,420 Mason Street,
San Francisco,3/4/2019,The Adicts,Music,50,17:30,August Hall,420 Mason Street,
San Francisco,3/4/2019,The Wailers,Music,30,19:30,The Chapel,777 Valencia Street,
London,3/14/2019,Kllo,Music,30,18:00,Studio 9294,92 Wallis Road,
London,3/14/2019,Liam Frost,Music,55,16:00,Servant Jazz Quarters,10A Bradbury Street,
London,3/14/2019,Pvris,Music,20,19:00,Electric Brixton,Town Hall Parade,
London,3/14/2019,Ruel,Music,50,16:00,Electric Brixton,Town Hall Parade,
London,3/14/2019,Shakey Graves,Music,55,17:30,The Dome,2A Dartmouth Park Hill,
London,3/14/2019,Sunset Sons,Music,45,17:30,Electric Brixton,Town Hall Parade,
London,3/14/2019,Twin Peaks,Music,30,16:30,The Dome,2A Dartmouth Park Hill,
Philadelphia,3/10/2019,Anthony Green,Music,60,18:00,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/11/2019,Ayokay,Music,60,18:30,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/6/2019,Babymetal,Music,30,16:00,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/4/2019,Bars And Melody,Music,50,17:00,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/13/2019,Brockhampton,Music,30,18:00,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/3/2019,Charlotte Lawrence,Music,25,17:30,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/8/2019,Conan Gray,Music,35,19:00,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/13/2019,Counterparts,Music,60,17:00,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/2/2019,Davido,Music,60,17:30,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/11/2019,Drax Project,Music,30,17:30,Voltage Lounge,421 North 7th Street,
Philadelphia,3/14/2019,Anthony Green,Music,35,19:00,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/14/2019,Ayokay,Music,60,18:30,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/14/2019,Babymetal,Music,40,18:00,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/14/2019,Bars And Melody,Music,45,16:30,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/14/2019,Conan Gray,Music,30,16:00,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/14/2019,Davido,Music,45,18:00,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/14/2019,Dwele,Music,60,17:00,City Winery,990 Filbert Street,
Philadelphia,3/14/2019,Jordan Rakei,Music,35,19:00,The Foundry,29 East Allen Street 2nd Floor,
Philadelphia,3/14/2019,Louis The Child,Music,30,19:30,The Fillmore Philadelphia,29 East Allen Street,
Philadelphia,3/14/2019,Mason Ramsey,Music,50,17:30,The Foundry,29 East Allen Street 2nd Floor,
San Francisco,3/1/2019,Alex Cameron,Music,20,19:30,August Hall,420 Mason Street,
San Francisco,3/1/2019,Finneas,Music,25,17:00,August Hall,420 Mason Street,
San Francisco,3/1/2019,Lucy Dacus,Music,60,18:30,August Hall,420 Mason Street,
San Francisco,3/1/2019,Matt Corby,Music,35,19:30,August Hall,420 Mason Street,
San Francisco,3/1/2019,Patti Lupone,Music,30,18:30,San Francisco Symphony,201 Van Ness Avenue,
San Francisco,3/1/2019,Remo Drive,Music,35,17:30,The Chapel,777 Valencia Street,
San Francisco,3/1/2019,Sinead Harnett,Music,40,18:00,August Hall,420 Mason Street,
San Francisco,3/1/2019,The Adicts,Music,50,19:00,August Hall,420 Mason Street,
San Francisco,3/1/2019,The Band Camino,Music,30,19:30,August Hall,420 Mason Street,
San Francisco,3/7/2019,Alex Cameron,Music,50,19:30,August Hall,420 Mason Street,
San Francisco,3/7/2019,Carmina Burana,Music,60,16:30,San Francisco Symphony,201 Van Ness Avenue,
San Francisco,3/7/2019,Jeanette Tietze,Music,25,17:00,The Episcopal Church of the Incarnation,1750 29th Avenue,
San Francisco,3/7/2019,Lucy Dacus,Music,50,19:00,August Hall,420 Mason Street,
San Francisco,3/7/2019,Matt Corby,Music,40,17:30,August Hall,420 Mason Street,
San Francisco,3/7/2019,Matty Matheson,Music,30,17:30,August Hall,420 Mason Street,
