airlines,departure_date,destination_airport,destination_city,number_stops,origin_airport,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,refundable,seating_class,inbound_arrival_time,inbound_departure_time,return_date
Delta Airlines,3/10/2019,PHL International Airport,Philadelphia,1,Charles de Gaulle International Airport,Paris,0:51,17:35,1,364,FALSE,Economy,,,
Air Canada,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,2:32,16:45,1,263,FALSE,Economy,,,
Delta Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,12:15,2:50,1,309,FALSE,Economy,,,
United Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,22:56,18:05,1,257,FALSE,Economy,,,
American Airlines,3/3/2019,SFO International Airport,San Francisco,0,McCarran International Airport,Las Vegas,12:30,10:55,1,96,TRUE,Economy,,,
Delta Airlines,3/3/2019,SFO International Airport,San Francisco,0,McCarran International Airport,Las Vegas,0:25,22:50,1,97,FALSE,Economy,,,
Southwest Airlines,3/3/2019,SFO International Airport,San Francisco,1,McCarran International Airport,Las Vegas,18:15,14:35,1,177,FALSE,Economy,,,
United Airlines,3/3/2019,SFO International Airport,San Francisco,0,McCarran International Airport,Las Vegas,19:05,17:30,1,103,TRUE,Economy,,,
American Airlines,3/13/2019,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,19:26,12:05,1,208,TRUE,Economy,,,
Delta Airlines,3/13/2019,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,20:31,15:00,1,197,FALSE,Economy,,,
United Airlines,3/13/2019,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,16:36,8:25,1,199,FALSE,Economy,,,
American Airlines,3/13/2019,Kingsford Smith International Airport,Sydney,0,LAX International Airport,Los Angeles,4:32,5:05,1,182,FALSE,Economy,,,
Delta Airlines,3/13/2019,Kingsford Smith International Airport,Sydney,1,LAX International Airport,Los Angeles,16:01,9:15,1,293,FALSE,Economy,,,
Southwest Airlines,3/13/2019,Kingsford Smith International Airport,Sydney,0,LAX International Airport,Los Angeles,13:32,14:05,1,186,FALSE,Economy,,,
United Airlines,3/13/2019,Kingsford Smith International Airport,Sydney,0,LAX International Airport,Los Angeles,7:22,7:55,1,181,TRUE,Economy,,,
Alaska Airlines,3/13/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,22:52,16:20,4,168,TRUE,Economy,,,
