airlines,departure_date,destination,destination_airport,fare,is_redeye,number_stops,origin,origin_airport,outbound_arrival_time,outbound_departure_time,passengers,seating_class,inbound_arrival_time,inbound_departure_time,return_date
Alaska Airlines,2019-03-08,Las Vegas,McCarran International Airport,103,False,0,San Francisco,SFO International Airport,21:50,20:15,1,Economy,,,
American Airlines,2019-03-08,Las Vegas,McCarran International Airport,102,False,0,San Francisco,SFO International Airport,19:05,17:30,1,Economy,,,
Delta Airlines,2019-03-08,Las Vegas,McCarran International Airport,105,False,0,San Francisco,SFO International Airport,12:25,10:50,1,Economy,,,
United Airlines,2019-03-08,Las Vegas,McCarran International Airport,95,False,0,San Francisco,SFO International Airport,20:50,19:15,1,Economy,,,
Alaska Airlines,2019-03-08,Las Vegas,McCarran International Airport,103,False,0,San Francisco,SFO International Airport,21:50,20:15,4,Economy,,,
American Airlines,2019-03-08,Las Vegas,McCarran International Airport,102,False,0,San Francisco,SFO International Airport,19:05,17:30,4,Economy,,,
Delta Airlines,2019-03-08,Las Vegas,McCarran International Airport,105,False,0,San Francisco,SFO International Airport,12:25,10:50,4,Economy,,,
United Airlines,2019-03-08,Las Vegas,McCarran International Airport,95,False,0,San Francisco,SFO International Airport,20:50,19:15,4,Economy,,,
American Airlines,2019-03-12,Los Angeles,LAX International Airport,149,False,0,Atlanta,Hartsfield-Jackson International Airport,16:29,14:30,1,Economy,,,
Delta Airlines,2019-03-12,Los Angeles,LAX International Airport,157,True,0,Atlanta,Hartsfield-Jackson International Airport,00:19,22:20,1,Economy,,,
Southwest Airlines,2019-03-12,Los Angeles,LAX International Airport,277,False,1,Atlanta,Hartsfield-Jackson International Airport,23:30,17:55,1,Economy,,,
United Airlines,2019-03-12,Los Angeles,LAX International Airport,255,False,1,Atlanta,Hartsfield-Jackson International Airport,15:25,09:40,1,Economy,,,
American Airlines,2019-03-12,Vancouver,YVR International Airport,198,False,0,Atlanta,Hartsfield-Jackson International Airport,17:06,14:25,3,Economy,,,
Delta Airlines,2019-03-12,Vancouver,YVR International Airport,196,False,0,Atlanta,Hartsfield-Jackson International Airport,18:01,15:20,3,Economy,,,
Southwest Airlines,2019-03-12,Vancouver,YVR International Airport,297,False,1,Atlanta,Hartsfield-Jackson International Airport,11:11,04:35,3,Economy,,,
American Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,135,False,0,New York,JFK International Airport,14:07,11:45,1,Economy,,,
Delta Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,137,False,0,New York,JFK International Airport,09:42,07:20,1,Economy,,,
Southwest Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,124,False,0,New York,JFK International Airport,11:27,09:05,1,Economy,,,
United Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,140,False,0,New York,JFK International Airport,21:27,19:05,1,Economy,,,
American Airlines,2019-03-14,Chicago,O'Hare International Airport,128,False,0,Atlanta,Hartsfield-Jackson International Airport,22:16,21:15,1,Economy,,,
Delta Airlines,2019-03-14,Chicago,O'Hare International Airport,122,False,0,Atlanta,Hartsfield-Jackson International Airport,08:51,07:50,1,Economy,,,
Southwest Airlines,2019-03-14,Chicago,O'Hare International Airport,105,False,0,Atlanta,Hartsfield-Jackson International Airport,05:36,04:35,1,Economy,,,
United Airlines,2019-03-14,Chicago,O'Hare International Airport,108,False,0,Atlanta,Hartsfield-Jackson International Airport,07:16,06:15,1,Economy,,,
Delta Airlines,2019-03-12,Chicago,O'Hare International Airport,183,True,0,Vancouver,YVR International Airport,00:31,17:55,1,Economy,,,
Alaska Airlines,2019-03-01,New York,JFK International Airport,194,False,0,San Francisco,SFO International Airport,16:06,06:40,1,Economy,,,
American Airlines,2019-03-01,New York,JFK International Airport,191,True,0,San Francisco,SFO International Airport,05:56,20:30,1,Economy,,,
Southwest Airlines,2019-03-01,New York,JFK International Airport,214,True,0,San Francisco,SFO International Airport,06:46,21:20,1,Economy,,,
United Airlines,2019-03-01,New York,JFK International Airport,178,False,0,San Francisco,SFO International Airport,15:16,05:50,1,Economy,,,
Alaska Airlines,2019-03-09,New York,JFK International Airport,196,False,0,San Francisco,SFO International Airport,18:01,08:35,1,Economy,,,
American Airlines,2019-03-09,New York,JFK International Airport,174,True,0,San Francisco,SFO International Airport,05:56,20:30,1,Economy,,,
Delta Airlines,2019-03-09,New York,JFK International Airport,200,False,0,San Francisco,SFO International Airport,20:21,10:55,1,Economy,,,
Southwest Airlines,2019-03-09,New York,JFK International Airport,187,True,0,San Francisco,SFO International Airport,06:46,21:20,1,Economy,,,
United Airlines,2019-03-09,New York,JFK International Airport,199,False,0,San Francisco,SFO International Airport,15:16,05:50,1,Economy,,,
Air Canada,2019-03-11,Atlanta,Hartsfield-Jackson International Airport,188,False,1,Toronto,Toronto Pearson International Airport,23:41,16:40,4,Economy,,,
