airlines,departure_date,destination_airport,is_nonstop,number_of_tickets,origin_airport,outbound_arrival_time,outbound_departure_time,price,seating_class,inbound_arrival_time,inbound_departure_time,return_date
Alaska Airlines,2019-03-11,Mexico City,False,1,San Diego,21:05,13:05,190,Economy,,,
Delta Airlines,2019-03-11,Mexico City,False,1,San Diego,02:43,13:55,262,Economy,,,
Southwest Airlines,2019-03-11,Mexico City,False,1,San Diego,22:13,12:10,254,Economy,,,
United Airlines,2019-03-11,Mexico City,False,1,San Diego,21:05,09:15,192,Economy,,,
Alaska Airlines,2019-03-10,San Diego,True,1,Los Angeles,13:09,12:15,58,Economy,,,
American Airlines,2019-03-10,San Diego,True,1,Los Angeles,22:39,21:45,61,Economy,,,
American Airlines,2019-03-07,Toronto,False,1,Atlanta,12:25,05:10,197,Economy,,,
Delta Airlines,2019-03-07,Toronto,False,1,Atlanta,11:13,06:50,179,Economy,,,
Southwest Airlines,2019-03-07,Toronto,False,1,Atlanta,20:28,14:30,209,Economy,,,
United Airlines,2019-03-07,Toronto,False,1,Atlanta,23:08,13:45,196,Economy,,,
American Airlines,2019-03-13,Warsaw,False,1,New York,11:36,11:20,360,Economy,,,
Delta Airlines,2019-03-13,Warsaw,True,1,New York,07:40,10:30,270,Economy,,,
Southwest Airlines,2019-03-13,Warsaw,False,1,New York,11:36,10:50,359,Economy,,,
United Airlines,2019-03-13,Warsaw,False,1,New York,16:14,14:30,413,Economy,,,
American Airlines,2019-03-04,New York,False,4,Seattle,04:16,16:15,304,Economy,,,
American Airlines,2019-03-14,Atlanta,True,1,Vancouver,02:56,18:15,193,Economy,,,
Delta Airlines,2019-03-14,Atlanta,True,1,Vancouver,20:46,12:05,199,Economy,,,
United Airlines,2019-03-14,Atlanta,False,1,Vancouver,23:04,09:25,326,Economy,,,
Alaska Airlines,2019-03-04,Los Angeles,True,1,San Francisco,13:50,12:25,97,Economy,,,
American Airlines,2019-03-04,Los Angeles,True,1,San Francisco,20:35,19:10,91,Economy,,,
Delta Airlines,2019-03-04,Los Angeles,True,1,San Francisco,11:10,09:45,91,Economy,,,
Southwest Airlines,2019-03-04,Los Angeles,True,1,San Francisco,15:50,14:25,83,Economy,,,
United Airlines,2019-03-04,Los Angeles,True,1,San Francisco,23:15,21:50,108,Economy,,,
Alaska Airlines,2019-03-04,Los Angeles,True,4,San Francisco,13:50,12:25,170,Premium Economy,,,
American Airlines,2019-03-04,Los Angeles,True,4,San Francisco,20:35,19:10,159,Premium Economy,,,
Southwest Airlines,2019-03-04,Los Angeles,True,4,San Francisco,15:50,14:25,154,Premium Economy,,,
American Airlines,2019-03-08,Seattle,False,1,Mexico City,09:21,03:05,283,Economy,,,
United Airlines,2019-03-08,Seattle,False,1,Mexico City,12:16,07:10,261,Economy,,,
Alaska Airlines,2019-03-04,Washington,True,1,Los Angeles,04:55,20:10,219,Economy,,,
American Airlines,2019-03-04,Washington,False,1,Los Angeles,15:28,05:15,291,Economy,,,
Delta Airlines,2019-03-04,Washington,True,1,Los Angeles,14:40,05:55,166,Economy,,,
Southwest Airlines,2019-03-04,Washington,True,1,Los Angeles,21:45,13:00,203,Economy,,,
United Airlines,2019-03-04,Washington,False,1,Los Angeles,23:05,11:00,275,Economy,,,
Air Canada,2019-03-08,Seattle,False,1,Toronto,02:17,16:35,328,Economy,,,
American Airlines,2019-03-08,Seattle,False,1,Toronto,08:20,00:00,252,Economy,,,
United Airlines,2019-03-08,Seattle,False,1,Toronto,11:52,04:45,319,Economy,,,
Southwest Airlines,2019-03-05,Portland,False,3,Las Vegas,17:48,12:35,195,Economy,,,
American Airlines,2019-03-14,Sydney,False,2,Las Vegas,09:16,07:35,299,Economy,,,
Delta Airlines,2019-03-14,Sydney,False,2,Las Vegas,21:42,19:45,273,Economy,,,
United Airlines,2019-03-14,Sydney,False,2,Las Vegas,09:16,04:45,292,Economy,,,
American Airlines,2019-03-01,Sydney,False,4,Las Vegas,10:16,07:35,278,Economy,,,
Delta Airlines,2019-03-01,Sydney,False,4,Las Vegas,21:42,19:45,269,Economy,,,
Southwest Airlines,2019-03-01,Sydney,False,4,Las Vegas,21:42,19:20,274,Economy,,,
United Airlines,2019-03-01,Sydney,False,4,Las Vegas,10:16,04:30,272,Economy,,,
United Airlines,2019-03-07,Rio de Janeiro,False,1,Chicago,08:37,14:05,519,Premium Economy,,,
Alaska Airlines,2019-03-11,Portland,True,1,San Francisco,09:28,07:35,120,Economy,,,
American Airlines,2019-03-11,Portland,True,1,San Francisco,16:23,14:30,108,Economy,,,
Delta Airlines,2019-03-11,Portland,True,1,San Francisco,10:23,08:30,111,Economy,,,
Southwest Airlines,2019-03-11,Portland,True,1,San Francisco,17:48,15:55,104,Economy,,,
United Airlines,2019-03-11,Portland,True,1,San Francisco,15:18,13:25,111,Economy,,,
American Airlines,2019-03-08,Philadelphia,False,2,Los Angeles,23:01,12:05,226,Economy,,,
