address,area,furnished,number_of_baths,number_of_beds,pets_allowed,phone_number,property_name,rent,visit_date
1001 Beethoven Common,Fremont,FALSE,2,3,TRUE,510-797-1800,Alborada Apartments,3900,
34050 Westchester Terrace,Fremont,FALSE,2,3,TRUE,510-794-9981,Amber Court,3500,
4200 Bay Street,Fremont,FALSE,2,3,FALSE,510-455-8813,Briarwood At Central Park,3500,
38900 Blacow Road,Fremont,TRUE,2,3,TRUE,510-797-5980,Carrington Apartments,4050,
41299 Paseo Padre Parkway,Fremont,FALSE,2,3,TRUE,510-651-1040,Century Village Apartments,3600,
37811 Fremont Boulevard,Fremont,FALSE,2,3,TRUE,510-797-4520,Fremont Arms,3500,
38850 Farwell Drive,Fremont,FALSE,2,3,FALSE,510-793-5100,Glenmoor Green Apartments,3500,
41342 Roberts Avenue,Fremont,TRUE,2,3,TRUE,510-657-9766,Granada Apartments,3700,
3355 Pennsylvania Avenue #13,Fremont,FALSE,2,3,TRUE,510-792-4983,Hastings East Apartments,4050,
4261 Stevenson Boulevard,Fremont,FALSE,2,3,FALSE,510-656-8200,Lincoln Glen,3500,
34050 Westchester Terrace,,FALSE,2,3,TRUE,510-794-9981,Amber Court,3500,
1546 Maurice Lane,San Jose,FALSE,3,3,FALSE,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,4450,
1290 San Tomas Aquino Road,San Jose,TRUE,3,3,FALSE,408-984-8888,Aegena,4900,
73 North Keeble Avenue,San Jose,FALSE,2,3,FALSE,408-998-7266,Alameda Gardens Apartments,3600,
2415 Rinconada Drive,San Jose,FALSE,3,3,FALSE,408-516-4212,Almaden House,4850,
978 Almaden Lake Drive,San Jose,FALSE,2,3,FALSE,408-323-8020,Almaden Lake Apartments,3950,
1543 Ambergrove Drive,San Jose,FALSE,2,3,FALSE,408-453-8011,Amberwood Apartments,3550,
1585 Marburg Way # 4,San Jose,FALSE,3,3,TRUE,408-926-3999,Ann Darling Apartments,3950,
5822 Charlotte Drive,San Jose,TRUE,3,3,TRUE,408-226-5822,Anton La Moraga Apartments,4850,
1582 Kooser Road,San Jose,FALSE,3,3,FALSE,408-448-1288,Arbor Apartments,4250,
2760 McKee Road,San Jose,FALSE,3,3,TRUE,408-251-7570,Arbor Terraces,4900,
3801 Blackford Avenue #16,San Jose,TRUE,3,3,FALSE,408-876-3565,Blackford Apartments,4700,
260 North Capitol Avenue # 109,San Jose,TRUE,3,3,TRUE,408-259-1662,Capitol Avenue Apartments,4850,
2036 Evans Lane,San Jose,TRUE,3,3,FALSE,408-264-0784,Catalonia Apartments,3900,
5255 Camden Avenue,San Jose,TRUE,3,3,FALSE,408-265-5605,Del Coronado Apartments,5200,
6184 Cottle Road,San Jose,TRUE,3,3,FALSE,408-225-8648,Foothill Apartments,5250,
360 Meridian Avenue,San Jose,TRUE,2,3,FALSE,408-995-0637,Parkview Family Apartments,4050,
1315 Eden Avenue,San Jose,TRUE,3,3,TRUE,408-378-1970,Regency Square,5150,
5822 Charlotte Drive,,TRUE,3,3,TRUE,408-226-5822,Anton La Moraga Apartments,4850,
2300 Lancaster Drive,Richmond,FALSE,2,2,TRUE,510-222-2705,Baycliff Apartments,4000,
3400 Richmond Parkway,Richmond,FALSE,2,2,TRUE,510-662-6726,Bella Vista At Hilltop,3950,
680 South 37th Street,Richmond,FALSE,2,2,TRUE,510-215-1926,Monterey Pines,2700,
5005 Montoya Avenue,Richmond,FALSE,2,2,TRUE,510-235-6341,Montoya Garden Apartments,4200,
3400 Richmond Parkway,,FALSE,2,2,TRUE,510-662-6726,Bella Vista At Hilltop,3950,
1546 Maurice Lane,San Jose,FALSE,1,1,TRUE,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,1600,
947 Branham Lane # C,San Jose,FALSE,1,1,TRUE,408-265-4808,Almaden Garden Apartments,1850,
2415 Rinconada Drive,San Jose,FALSE,1,1,FALSE,408-516-4212,Almaden House,1750,
1543 Ambergrove Drive,San Jose,FALSE,1,1,TRUE,408-453-8011,Amberwood Apartments,1800,
2760 McKee Road,San Jose,FALSE,1,1,FALSE,408-251-7570,Arbor Terraces,1550,
5480 Lean Avenue,San Jose,TRUE,1,1,TRUE,408-840-2195,Blossom Hill Apartments,2000,
44 North Jackson Avenue # A5,San Jose,FALSE,1,1,TRUE,408-251-4540,Boxer'S Mayfair Village Senior Apartments,1650,
1612 Branham Lane,San Jose,FALSE,1,1,TRUE,408-267-0515,Branham House Apartments,2050,
2020 Southwest Expressway,San Jose,FALSE,1,1,FALSE,408-287-6274,Cherry Creek Apartments,2050,
2600 Corde Terra Circle,San Jose,FALSE,1,1,TRUE,408-298-9988,Corde Terra Apartments,1800,
947 Branham Lane # C,,FALSE,1,1,TRUE,408-265-4808,Almaden Garden Apartments,1850,
750 North King Road,San Jose,TRUE,2,3,FALSE,408-844-4803,Avenel Apartments,3550,
1000 Blossom River Way,San Jose,TRUE,2,3,FALSE,408-979-9442,Blossom River Apartments,3550,
220 North White Road,San Jose,TRUE,2,3,TRUE,408-259-0427,Casa Las Palmas,3750,
3246 Cortese Circle,San Jose,TRUE,2,3,TRUE,408-729-5173,Country Club Villa Apartments,3550,
"2290, 303 Checkers Drive",San Jose,TRUE,2,3,FALSE,408-272-0356,El Rancho Verde Apartments,3700,
6184 Cottle Road,San Jose,TRUE,2,3,TRUE,408-225-8648,Foothill Apartments,3550,
550 Kiely Boulevard,San Jose,TRUE,2,3,FALSE,408-241-3934,Mediterranean Apartments,3850,
560 Menker Avenue # A,San Jose,TRUE,2,3,TRUE,408-287-8804,Menclair Apartments,3600,
5635 Blossom Gardens Circle,San Jose,TRUE,2,3,FALSE,877-526-3611,Orchard Park Apartments,3600,
760 North 7th Street,San Jose,TRUE,2,3,FALSE,844-343-9547,Pavona Apartments,3650,
73 North Keeble Avenue,San Jose,TRUE,3,3,FALSE,408-998-7266,Alameda Gardens Apartments,4100,
750 North King Road,San Jose,TRUE,3,3,FALSE,408-844-4803,Avenel Apartments,4100,
600 Epic Way,San Jose,TRUE,3,3,FALSE,669-888-1610,Epic,4300,
632 North Jackson Avenue # 4,San Jose,TRUE,3,3,TRUE,408-251-6850,Las Casitas Associates,4250,
1800 Evans Lane,San Jose,TRUE,3,3,FALSE,408-265-9300,Las Ventanas Apartments,3950,
550 Kiely Boulevard,San Jose,TRUE,3,3,FALSE,408-241-3934,Mediterranean Apartments,4050,
458 Boynton Avenue Apt A4,San Jose,TRUE,3,3,FALSE,844-578-7568,Pacific Terrace West,4300,
4668 Albany Drive,San Jose,TRUE,3,3,TRUE,408-248-0800,San Jose Gardens,4400,
1375 Lick Avenue,San Jose,TRUE,3,3,FALSE,408-564-7347,Skyline At Tamien Station,4250,
73 North Keeble Avenue,,TRUE,3,3,FALSE,408-998-7266,Alameda Gardens Apartments,4100,
2400 Shady Willow Lane,Brentwood,FALSE,1,1,TRUE,925-240-8448,Arbor Ridge Apartments,2800,
1275 Central Boulevard,Brentwood,FALSE,1,1,FALSE,925-513-1110,Avery At Towncentre,4700,
180 Sycamore Avenue,Brentwood,TRUE,1,1,FALSE,925-634-8374,Brentwood Parks Apartments,4000,
161 Sycamore Avenue,Brentwood,FALSE,1,1,FALSE,925-634-1390,Sycamore Place 2,2700,
1100 Sycamore Court,Brentwood,FALSE,1,1,FALSE,925-634-6200,Sycamore Place Senior Housing,2050,
2101 Sand Creek Road,Brentwood,FALSE,1,1,FALSE,925-516-0260,Villa Amador Apartments,4750,
100 Village Drive,Brentwood,TRUE,1,1,TRUE,925-634-4561,Village Parks Apartments,2850,
1275 Central Boulevard,,FALSE,1,1,FALSE,925-513-1110,Avery At Towncentre,4700,
22281 Center Street #57,Castro Valley,FALSE,3,4,FALSE,510-538-0995,Continental Apartments,4850,
19972 Stanton Avenue,Castro Valley,FALSE,3,4,FALSE,510-538-2000,Mosaic Apartments,4800,
20800 Lake Chabot Road,Castro Valley,FALSE,3,4,TRUE,844-423-2122,Quail Hill Apartments,5150,
22120 Center Street,Castro Valley,FALSE,3,4,TRUE,510-886-3431,Shadow Creek Apartments,5250,
1688 Clayton Road,Concord,FALSE,3,4,FALSE,925-671-3845,City Walk Apartment Homes,5150,
3420 Willow Pass Road,Concord,TRUE,3,4,TRUE,925-825-5958,Palm Court Apartment,5250,
1160 Meadow Lane,Concord,FALSE,3,4,TRUE,855-289-4212,Pine Meadows Apartments,5000,
1441 Detroit Avenue,Concord,FALSE,3,4,FALSE,925-682-1655,Sterling Cove Apartments,4950,
1265 Monument Boulevard,Concord,FALSE,3,4,FALSE,925-825-0631,Sun Ridge Apartments,5100,
1731 Pine Street,Concord,FALSE,3,4,FALSE,925-969-0096,Vasona Management,4850,
3718 Willow Pass Rd,Concord,FALSE,3,4,TRUE,925-686-2244,Whispering Oaks,5050,
1530 Adelaide Street,Concord,TRUE,3,4,TRUE,925-682-2386,Woodhaven Apartments,5100,
1688 Clayton Road,,FALSE,3,4,FALSE,925-671-3845,City Walk Apartment Homes,5150,
2200 Rivers Street,San Pablo,FALSE,3,3,FALSE,510-234-8844,Willow Branch Apartments,4300,
2200 Rivers Street,,FALSE,3,3,FALSE,510-234-8844,Willow Branch Apartments,4300,
400 East Remington Drive,Sunnyvale,FALSE,3,3,TRUE,408-738-4862,Apricot Pit Apartments,4150,
555 East El Camino Real,Sunnyvale,FALSE,3,3,FALSE,408-738-0935,Arbor Terrace Apartments,4300,
660 Gail Avenue,Sunnyvale,FALSE,3,3,TRUE,888-854-9884,Bonnie Terrace Apartments,4450,
1651 Belleville Way,Sunnyvale,FALSE,2,3,TRUE,669-257-9990,Brookside Oaks,4000,
874 East El Camino Real,Sunnyvale,FALSE,3,3,FALSE,866-730-1639,Cascades Apartments,4150,
678 Bellflower Avenue,Sunnyvale,FALSE,3,3,TRUE,408-735-9030,Charter Palm Town Homes,3900,
250 W El Camino Real,Sunnyvale,FALSE,2,3,TRUE,866-748-9591,Cherry Orchard Apartment Homes,3800,
130 Crescent Avenue,Sunnyvale,FALSE,3,3,TRUE,408-749-1060,Crescent Terrace Senior Apartments,4250,
1055 East Evelyn Avenue,Sunnyvale,TRUE,3,3,TRUE,408-296-8006,Evelyn Gardens,4100,
555 East Washington Avenue,Sunnyvale,TRUE,3,3,FALSE,833-630-9835,Heritage Park Apartments,3950,
250 W El Camino Real,Sunnyvale,FALSE,3,3,TRUE,866-748-9591,Cherry Orchard Apartment Homes,4400,
555 East El Camino Real,,FALSE,3,3,FALSE,408-738-0935,Arbor Terrace Apartments,4300,
42 Charles Street,Cotati,FALSE,3,4,TRUE,707-795-3722,Charles Street Village,4800,
160 Wilford Lane,Cotati,FALSE,3,4,TRUE,707-793-8454,Wilford Lane Apartments,4700,
42 Charles Street,,FALSE,3,4,TRUE,707-795-3722,Charles Street Village,4800,
4757 Snyder Lane,Rohnert Park,TRUE,1,2,TRUE,707-584-3522,Americana Apartment Homes,4000,
1450 East Cotati Avenue,Rohnert Park,FALSE,1,2,TRUE,707-793-0123,Cambridge Square Apartments,2700,
5425 Snyder Lane,Rohnert Park,FALSE,1,2,FALSE,707-664-8808,Camino Creek Apartments,3000,
6351 Country Club Drive,Rohnert Park,FALSE,1,2,FALSE,707-739-4189,Country Club Village,4050,
8670 Camino Colegio,Rohnert Park,FALSE,1,2,FALSE,707-795-9200,Emerald Pointe Apartments,4850,
5102 Dowdell Avenue,Rohnert Park,FALSE,1,2,FALSE,833-244-8741,Fiori Estates Apartments,4950,
1350 Oak View Circle,Rohnert Park,FALSE,1,2,TRUE,888-321-0662,Oak View Of Sonoma Hills Apartments,3200,
