address,area,has_garage,in_unit_laundry,intent,number_of_baths,number_of_beds,phone_number,price,property_name,visit_date
900 Pepper Tree Lane,Santa Clara,TRUE,FALSE,rent,2,3,866-472-2645,3650,Alderwood Apartments,
3440 Warburton Avenue,Santa Clara,FALSE,FALSE,rent,2,3,408-248-5766,3850,Briarwood Garden Apartments,
3600-3616 Flora Vista Avenue,Santa Clara,FALSE,TRUE,rent,2,3,408-261-2252,3550,Catalina Apartments,
1495 Don Avenue,Santa Clara,TRUE,TRUE,rent,2,3,408-713-6428,4000,Civic Plaza Apartments,
3131 Homestead Road,Santa Clara,FALSE,FALSE,rent,2,3,408-244-6715,3650,Laguna Clara Apartments,
3600 Benton Street # 5,Santa Clara,FALSE,FALSE,rent,2,3,408-241-4073,3550,Laurelwood Apartments,
865 Pomeroy Avenue,Santa Clara,FALSE,FALSE,rent,2,3,408-244-0035,3950,Park Terrace Apartments,
2150 Tasman Drive,Santa Clara,FALSE,FALSE,rent,2,3,408-492-9944,3700,Riverwood Grove,
3449 Agate Drive,Santa Clara,TRUE,TRUE,rent,2,3,408-296-7679,4050,Shayla Apartments,
2650 Keystone Avenue,Santa Clara,FALSE,TRUE,rent,2,3,408-244-2244,3850,Vista Del Lago Iii Apartments,
900 Pepper Tree Lane,,TRUE,FALSE,,2,3,866-472-2645,3650,Alderwood Apartments,
22800 Meridian Drive,Hayward,TRUE,TRUE,buy,3,4,510-455-8869,4250000,City Centre,
24955 Cypress Avenue,Hayward,TRUE,TRUE,buy,3,4,510-732-9432,4200000,Cypress House Apartments,
27901 Huntwood Avenue # 126,Hayward,TRUE,FALSE,buy,3,4,510-887-1543,4450000,Huntwood Commons,
2747 Oliver Drive,Hayward,TRUE,TRUE,buy,3,4,510-782-2311,4200000,Josephine Lum Lodge,
655 Tennyson Road,Hayward,TRUE,FALSE,buy,3,4,855-430-2503,4200000,Metro Six55 Apartments,
27808 Manon Avenue,Hayward,TRUE,FALSE,buy,3,4,510-782-2555,4350000,Town & Country Apartments,
22330 South Garden Avenue,Hayward,TRUE,FALSE,buy,3,4,510-783-8970,4250000,Villa Springs Apartments,
1137 Walpert Street,Hayward,TRUE,TRUE,buy,3,4,510-581-8484,4000000,Walnut Hills Apartments,
22800 Meridian Drive,,TRUE,TRUE,,3,4,510-455-8869,4250000,City Centre,
4230 San Pablo Dam Road # B16,El Sobrante,TRUE,TRUE,buy,2,3,510-223-4061,3650000,Redwood Manor Apartments,
4230 San Pablo Dam Road # B16,,TRUE,TRUE,,2,3,510-223-4061,3650000,Redwood Manor Apartments,
1550 Valley Glen Drive,Dixon,FALSE,TRUE,rent,3,3,707-693-9310,4200,Bristol Apartment Homes,
1395 North Lincoln Street,Dixon,FALSE,TRUE,rent,3,3,888-820-0137,4400,Lincoln Creek Apartments,
1395 North Lincoln Street,,FALSE,TRUE,,3,3,888-820-0137,3900000,Lincoln Creek Apartments,
40001 Fremont Boulevard,Fremont,TRUE,FALSE,buy,2,2,510-455-8815,2800000,Boulevard,
4200 Bay Street,Fremont,FALSE,TRUE,buy,2,2,510-455-8813,2750000,Briarwood At Central Park,
36163 Fremont Boulevard,Fremont,TRUE,TRUE,buy,2,2,510-793-1621,3000000,Brookvale Chateau,
41277 Roberts Ave # 32,Fremont,FALSE,FALSE,buy,2,2,510-656-2303,3050000,Felson Management Corporation,
37811 Fremont Boulevard,Fremont,FALSE,FALSE,buy,2,2,510-797-4520,2650000,Fremont Arms,
4262 Central Avenue,Fremont,TRUE,TRUE,buy,2,2,510-793-4336,2650000,Glenhaven Apartments,
4444 Central Avenue,Fremont,TRUE,TRUE,buy,2,2,510-792-1161,2750000,Glenmills Apartments,
38850 Farwell Drive,Fremont,FALSE,FALSE,buy,2,2,510-793-5100,2650000,Glenmoor Green Apartments,
41342 Roberts Avenue,Fremont,FALSE,TRUE,buy,2,2,510-657-9766,2650000,Granada Apartments,
40777 High Street,Fremont,FALSE,TRUE,buy,2,2,510-651-9080,2500000,Pebble Creek Communities,
40001 Fremont Boulevard,,TRUE,FALSE,,2,2,510-455-8815,2800000,Boulevard,
1501 Decoto Road,Union City,FALSE,TRUE,rent,2,3,510-487-2733,4050,Parkside Apartments,
3900 Horner Street,Union City,TRUE,TRUE,rent,2,3,510-489-2220,3550,Summerhill Place Apartments,
1501 Decoto Road,,FALSE,TRUE,,2,3,510-487-2733,3500000,Parkside Apartments,
40001 Fremont Boulevard,,TRUE,FALSE,,2,2,510-455-8815,3050,Boulevard,
2290 California Street,Mountain View,TRUE,TRUE,buy,2,3,650-965-8290,3500000,Arbors At Mountain View,
1335 Montecito Avenue # 1,Mountain View,TRUE,FALSE,buy,2,3,650-940-1909,3550000,Barkley Square Apartments,
200 East Dana Street,Mountain View,FALSE,TRUE,buy,2,3,650-967-3870,3450000,Dana Garden Apartments,
210 Easy Street,Mountain View,TRUE,FALSE,buy,2,3,650-961-2975,3150000,Fernmar Apartments,
375 Oaktree Drive,Mountain View,TRUE,TRUE,buy,2,3,650-390-9450,3200000,Ginzton Terrace,
1571 West El Camino Real,Mountain View,TRUE,FALSE,buy,2,3,650-969-9800,3550000,Hidden Garden Apartments,
2650 California Street,Mountain View,TRUE,FALSE,buy,2,3,650-948-7855,3100000,Kentfield Apartments,
1970 Latham Street,Mountain View,TRUE,TRUE,buy,2,3,650-961-6135,3300000,Latham Court Apartments,
1885 California Street,Mountain View,TRUE,FALSE,buy,2,3,650-964-3882,3350000,Maplewood,
1555 West Middlefield Road,Mountain View,TRUE,FALSE,buy,2,3,650-964-8511,3100000,Meadowood Apartments,
2290 California Street,,TRUE,TRUE,,2,3,650-965-8290,3500000,Arbors At Mountain View,
1300 Kentwood Lane,San Leandro,FALSE,TRUE,buy,1,1,510-481-2565,1900000,Ashland Village Apartments,
1511 163rd Avenue,San Leandro,TRUE,TRUE,buy,1,1,510-276-2693,1700000,Quail Run Apartments,
235 Haas Avenue,San Leandro,TRUE,TRUE,buy,1,1,510-569-5919,1850000,Woodside Apartments,
1511 163rd Avenue,,TRUE,TRUE,,1,1,510-276-2693,1500,Quail Run Apartments,
1282 Mattox Road,Hayward,TRUE,TRUE,buy,1,2,510-886-0385,2500000,Alpine Vista Apartments,
25100 Cypress Avenue,Hayward,TRUE,TRUE,buy,1,2,510-887-4406,2300000,Cypress Glen,
921 Fletcher Lane,Hayward,FALSE,TRUE,buy,1,2,510-538-3658,2700000,Fletcher Gardens Apartments,
375 Industrial Parkway # 314,Hayward,FALSE,TRUE,buy,1,2,510-581-0911,2500000,Golf Club Manor Apartments,
25355 Cypress Avenue # 101,Hayward,TRUE,TRUE,buy,1,2,510-785-8181,2350000,Pepper Tree Apartments,
837 Hancock Street,Hayward,TRUE,TRUE,buy,1,2,510-581-4141,2200000,Pinecrest Apartments,
22650 Alice Street,Hayward,TRUE,TRUE,buy,1,2,510-582-1460,2500000,Sycamore Square Housing Corporation,
24607 Amador Street,Hayward,FALSE,TRUE,buy,1,2,510-782-6261,2650000,Vita Apartments,
630 Tempe Court,Pleasant Hill,TRUE,TRUE,buy,1,2,925-825-1220,2400000,Camelback North Apartments,
235 Camelback Road,Pleasant Hill,TRUE,TRUE,buy,1,2,925-671-2460,2350000,Northridge Apartments,
637 Stonebridge Way,Pleasant Hill,TRUE,TRUE,buy,1,2,925-691-5220,2200000,Wood Creek Apartments,
630 Tempe Court,,TRUE,TRUE,,1,2,925-825-1220,2400000,Camelback North Apartments,
