check_in_date,destination,has_wifi,hotel_name,number_of_days,number_of_rooms,phone_number,price_per_night,star_rating,street_address
,London,FALSE,Comfort Inn Kings Cross,,,+44 20 7837 1940,198,3,2-5 Saint Chad's Street
,New York,TRUE,Sanctuary Hotel New York,,,+1 212-234-7000,468,4,132 West 47th Street
,London,FALSE,The Chamberlain Hotel,,,+44 20 7680 1500,200,4,132-135 Minories
,Delhi,FALSE,Ibis New Delhi Aerocity,,,+91 11 4302 0202,138,3,Asset no 9 Indira Gandhi International Airport Aerocity Hospitality District
,London,FALSE,Hanover Hotel Victoria,,,+44 20 7834 0367,75,3,30-32 Saint George's Drive
,London,FALSE,Hanover Hotel Victoria,,,+44 20 7834 0367,162,3,30-32 Saint George's Drive
,London,FALSE,Doubletree By Hilton Hotel London - Westminster,,,+44 20 7630 1000,252,4,30 John Islip Street
,Toronto,FALSE,Super 8 By Wyndham Downtown Toronto,,,+1 800-536-0519,88,2,222 Spadina Avenue
,San Diego,TRUE,Towneplace Suites By Marriott San Diego Downtown,,,+1 619-782-6400,99,3,1445 Sixth Avenue
,San Francisco,TRUE,Kensington Park Hotel,,,+1 800-553-1900,105,3,450 Post Street
,London,FALSE,The Ampersand Hotel,,,+44 20 7589 5895,220,5,10 Harrington Road
,San Francisco,TRUE,"The Cartwright Hotel - Union Square, Bw Premier Collection",,,+1 415-421-2865,117,3,524 Sutter Street
,New York,TRUE,Soho Garden Hotel,,,+1 212-941-6106,234,3,276 Canal Street
,Los Angeles,TRUE,Best Western Plus Dragon Gate Inn,,,+1 213-617-3077,138,2,818 North Hill Street
,Paris,FALSE,Yooma Urban Lodge,,,+33 1 44 09 00 13,333,3,"Paris-15E-Arrondissement, 51 Quai de Grenelle, 75015"
,New York,TRUE,Aka Central Park,,,+1 646-744-3100,312,4,42 West 58th Street
,London,FALSE,London Marriott Hotel Regents Park,,,+44 20 7722 7711,248,4,128 King Henry's Road
,Los Angeles,TRUE,Kimpton Hotel Palomar Los Angeles Beverly Hills,,,+1 310-475-8711,92,4,10740 Wilshire Boulevard
,Philadelphia,TRUE,Homewood Suites By Hilton Philadelphia-City Avenue,,,+1 215-966-3000,114,3,4200 City Avenue
,San Francisco,TRUE,Hotel Griffon,,,+1 415-495-2100,288,3,"1206, 155 Steuart Street"
,Delhi,FALSE,Haveli Dharampura,,,+91 11 2326 1000,232,4,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
,New York,TRUE,Hotel De Point,,,+1 718-358-8700,210,3,"20-07 127th Street, Flushing"
,London,FALSE,The Queen'S Gate Hotel,,,+44 20 7584 7222,200,4,31-34 Queen's Gate
,Toronto,FALSE,Best Western Plus Toronto North York Hotel & Suites,,,+1 416-663-9500,126,3,50 Norfinch Drive
,San Diego,TRUE,Catamaran Resort Hotel And Spa,,,+1 858-488-1081,432,4,3999 Mission Boulevard
,San Francisco,TRUE,Hotel G,,,+1 877-828-4478,108,3,386 Geary Street
,New York,TRUE,Radisson Hotel Jfk Airport,,,+1 718-322-2300,168,3,"135-30 140th Street, Jamaica"
,New York,TRUE,Z Nyc Hotel,,,+1 212-319-7000,184,4,"11-01 43rd Avenue, Long Island City"
,New York,TRUE,Courtyard By Marriott New York Downtown Manhattan/World Trade Center Area,,,+1 212-346-0088,252,3,133 Greenwich Street
,San Diego,TRUE,Capri By The Sea By All Seasons Resort Lodging,,,+1 858-483-6110,75,3,4767 Ocean Boulevard
,Anaheim,TRUE,Residence Inn Anaheim Resort/Convention Center,,,+1 714-782-7500,156,3,640 West Katella Avenue
,New York,TRUE,Doubletree By Hilton Hotel Metropolitan - New York City,,,+1 212-752-7000,216,4,569 Lexington Avenue
,London,FALSE,The Darlington Hyde Park,,,+44 20 7460 8800,162,3,111-117 Sussex Gardens
,Kuala Lumpur,FALSE,Pacific Express Hotel Central Market,,,+60 3-2022 6888,168,4,"Jalan Hang Kasturi, City Centre, 50000"
,Kuala Lumpur,FALSE,W Kuala Lumpur,,,+60 3-2786 8888,140,5,"121, Jalan Ampang, Kuala Lumpur, 50450"
,San Diego,TRUE,Bahia Resort Hotel,,,+1 858-539-8666,270,3,998 West Mission Bay Drive
,San Diego,TRUE,Best Western Mission Bay,,,+1 619-275-5700,64,2,2575 Clairemont Drive
,San Diego,TRUE,Best Western Plus Bayside Inn,,,+1 619-233-7500,69,3,555 West Ash Street
,San Diego,TRUE,Best Western Plus Hacienda Hotel Old Town,,,+1 619-298-4707,105,3,4041 Harney Street
,San Diego,TRUE,Best Western Plus Island Palms Hotel & Marina,,,+1 619-222-0561,150,3,2051 Shelter Island Drive
,San Diego,TRUE,Best Western San Diego/Miramar Hotel,,,+1 858-578-6600,120,2,9310 Kearny Mesa Road
,San Diego,TRUE,Best Western Seven Seas,,,+1 619-291-1300,315,3,411 Hotel Circle South
,San Diego,TRUE,Best Western Yacht Harbor Hotel,,,+1 619-224-3254,156,2,5005 North Harbor Drive
