address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
"37 Ultimo Road, Haymarket New South Wales 2000, Australia",,,FALSE,,+61 2 9281 5555,4.2,1881,Sydney
220 West 41st Street,,,TRUE,,+1 212-221-1188,4.4,4200,New York
"Paris-15E-Arrondissement, 51 Quai de Grenelle, 75015",,,TRUE,,+33 1 44 09 00 13,4.2,720,Paris
165 East Ontario Street,,,TRUE,,+1 312-573-0800,4.4,276,Chicago
61 Lincoln's Inn Fields,,,TRUE,,+44 20 7404 6640,4.2,372,London
First Freight Lane Jomo Kenyatta International Airport,,,TRUE,,+254 709 222444,4.4,500,Nairobi
1225 Vine Street,,,FALSE,,+1 215-398-3080,3.9,684,Philadelphia
620 Church Street,,,TRUE,,+1 416-964-3311,3.7,810,Toronto
"144-02 135th Avenue, Jamaica",,,TRUE,,+1 718-659-0200,4,2040,New York
18 West 56th Street,,,TRUE,,+1 212-586-5656,4.6,560,New York
201 South Christopher Columbus Boulevard,,,TRUE,,+1 215-521-6500,4.4,2784,Philadelphia
6 Water Street,,,TRUE,,+1 212-248-1100,4.5,5775,New York
2535 Chantilly Drive Northeast,,,TRUE,,+1 404-321-0999,3.9,2160,Atlanta
"1-8, Kensington Gardens Square",,,TRUE,,+44 20 7229 2494,4,1782,London
1710 West Mission Bay Drive,,,TRUE,,+1 619-222-6440,4.3,972,San Diego
8-10 Paul Street,,,FALSE,,+44 20 7655 1720,4.1,540,London
"16, Jalan Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-2785 2828,4.3,912,Kuala Lumpur
"55 North Steyne, Manly New South Wales 2095, Australia",,,TRUE,,+61 2 9977 7666,4.2,928,Sydney
942 Mission Street,,,TRUE,,+1 415-546-3110,3.9,1500,San Francisco
725 10th Avenue,,,FALSE,,+1 212-586-3400,3.9,783,New York
1835 Columbia Street,,,FALSE,,+1 619-544-0164,3.6,3600,San Diego
"1770 Orchid Avenue, Hollywood, California 90028, United States",,,FALSE,,+1 323-962-1788,3.1,1440,Los Angeles
22-32 West Cromwell Road,,,FALSE,,+44 871 527 8668,4,3795,London
515 9th Avenue,,,TRUE,,+1 212-920-2020,4.1,580,New York
11 Adam Street,,,TRUE,,+44 20 3744 7520,4.7,6045,London
66 East Wacker Place,,,TRUE,,+1 312-920-6666,4.3,372,Chicago
12 Darling Drive,,,TRUE,,+61 2 8388 8888,4.6,1860,Sydney
1055 Van Ness Avenue,,,TRUE,,+1 559-233-6650,3.8,156,Fresno
"40 Avenue de la Motte-Picquet, 75007",,,FALSE,,+33 1 47 05 57 30,4.1,2304,Paris
3515 Wilshire Boulevard,,,TRUE,,+1 213-381-7411,4.1,3564,Los Angeles
614 Western Avenue,,,FALSE,,+44 871 984 6195,3.1,1914,London
"10 Rue du Champ de Mars, 75007",,,TRUE,,+33 1 40 62 67 00,4.2,4992,Paris
"7, Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-2692 9298,4,2760,Kuala Lumpur
87 Walton Street Northwest,,,TRUE,,+1 404-965-7992,4.2,1950,Atlanta
"149, Jalan Masjid India, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-2698 1866,3.7,1512,Kuala Lumpur
818 North Hill Street,,,FALSE,,+1 213-617-3077,4.1,2240,Los Angeles
9 Aldgate High Street,,,TRUE,,+44 20 3805 1000,4.5,864,London
"27 Avenue des Ternes, 75017",,,TRUE,,+33 825 80 19 19,4.2,4680,Paris
950 Hotel Circle North,,,FALSE,,+1 619-298-0511,4,936,San Diego
209 West 87th Street,,,FALSE,,+1 212-873-5222,4,2904,New York
440 Post Street,,,TRUE,,+1 415-397-3510,4.6,3312,San Francisco
John Bradshaw Road,,,FALSE,,+44 871 097 1083,4.3,1512,London
411 Hotel Circle South,,,TRUE,,+1 619-291-1300,3.7,1260,San Diego
106-110 Belgrave Road,,,TRUE,,+44 20 7630 8888,3.6,5304,London
618 John Street,,,TRUE,,+1 206-728-7666,3.3,340,Seattle
"Plot no 9, National Highway - 8, Samalka, New Delhi",,,TRUE,,+91 11 6604 0000,4.3,5460,Delhi
"17 Rue Duhesme, 75018",,,TRUE,,+33 1 46 06 17 66,3.8,1200,Paris
9 Montfichet Road,,,FALSE,,+44 871 527 9286,4.1,1152,London
260 West 40th Street,,,TRUE,,+1 212-398-2700,4.5,912,New York
833 Ash Street,,,FALSE,,+1 800-615-3107,3.6,1710,San Diego
"13A, District Centre, Mayur Vihar, New Delhi",,,TRUE,,+91 11 4110 5555,4.3,2000,Delhi
1018 Dockside Road,,,FALSE,,+44 20 3096 5888,4.2,2520,London
15 Charles Street East,,,TRUE,,+1 416-924-1222,4.6,3672,Toronto
1000 Northeast Multnomah Street,,,TRUE,,+1 503-281-6111,4.2,6120,Portland
308 West 58th Street,,,TRUE,,+1 212-204-3000,4,1848,New York
231 East 43rd Street,,,TRUE,,+1 212-897-3385,4.2,3060,New York
373 5th Avenue,,,TRUE,,+1 212-213-3388,4.1,2112,New York
127 West Huron Street,,,TRUE,,+1 312-649-2000,4.3,960,Chicago
"160, Jalan Ampang, Kampung Baru, 50450 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-2179 3777,4,1728,Kuala Lumpur
1A Romford Road,,,TRUE,,+44 20 8536 3700,3.9,1440,London
"178 Princes Highway, Saint Peters New South Wales 2044, Australia",,,FALSE,,+61 2 9519 0685,3.4,4950,Sydney
9750 Airport Boulevard,,,TRUE,,+1 310-645-4600,3.7,3840,Los Angeles
2688 Broadway,,,FALSE,,+1 212-222-2954,3.3,1944,New York
"31-35 Quai de l'Oise, 75019",,,TRUE,,+33 1 40 38 04 04,3.5,5445,Paris
4802 Mission Boulevard,,,FALSE,,+1 858-483-6300,4.1,2400,San Diego
1445 Sixth Avenue,,,TRUE,,+1 619-782-6400,4.4,2808,San Diego
"1 Rue Daunou, 75002",,,TRUE,,+33 1 42 61 70 41,4.2,4500,Paris
Langata Road,,,TRUE,,+254 709 995000,4.1,3125,Nairobi
"30, Jalan Beremi, Off, Jalan Sultan Ismail, Bukit Bintang, 50200",,,TRUE,,+60 3-2110 2211,4.3,832,Kuala Lumpur
77 Yesler Way,,,TRUE,,+1 206-340-1234,4.2,3744,Seattle
324 West 44th Street,,,TRUE,,+1 800-257-3000,4.5,1088,New York
90 Bloor Street East,,,TRUE,,+1 416-961-8000,4.1,2688,Toronto
7950 Melrose Avenue,,,TRUE,,+1 323-327-9702,4.1,3645,Los Angeles
631 Camino del Rio South,,,TRUE,,+1 619-881-4000,3.6,567,San Diego
3805 Murphy Canyon Road,,,TRUE,,+1 858-278-9300,4.2,1440,San Diego
8800 Bartram Avenue,,,TRUE,,+1 800-228-2800,3.9,1860,Philadelphia
22 West Monroe Street,,,TRUE,,+1 312-332-5052,4.4,1716,Chicago
773 Beatty Street,,,TRUE,,+1 800-663-1155,4.4,3360,Vancouver
"3070-72 Webster Avenue, The Bronx",,,FALSE,,+1 718-654-5500,3.6,1080,New York
191 Queen's Gate,,,TRUE,,+44 20 7581 0103,4.2,728,London
6399 Wilshire Boulevard,,,TRUE,,+1 323-852-7000,4.4,3480,Los Angeles
28-36 Glenthorne Road,,,TRUE,,+44 20 3141 1480,4.2,2728,London
310 Cambie Street,,,TRUE,,+1 604-684-6466,3.6,960,Vancouver
"145, Jalan Ampang, 50450",,,TRUE,,+60 3-2382 8888,4.6,1550,Kuala Lumpur
815 6th Avenue,,,TRUE,,+1 212-513-0001,4.4,2184,New York
