average_rating,check_in_date,check_out_date,hotel_name,location,number_of_rooms,pets_welcome,phone_number,price,street_address
4.3,,,Springhill Suites By Marriott Fresno,Fresno,,FALSE,+1 888-287-9400,720,6844 North Fresno Street
4.4,,,Novotel London Tower Bridge Hotel,London,,TRUE,+44 20 7660 0675,952,10 Pepys Street
4.2,,,Holiday Inn Express London - Excel,London,,FALSE,+44 20 3096 5888,396,1018 Dockside Road
4.5,,,"Sls Hotel, A Luxury Collection Hotel, Beverly Hills",Los Angeles,,TRUE,+1 310-247-0400,1344,465 La Cienega Boulevard
4,,,Travelodge Anaheim Inn And Suite,Anaheim,,FALSE,+1 800-576-0767,1728,1057 West Ball Road
3.7,,,Ibis Sydney World Square,Sydney,,FALSE,+61 2 8267 3111,2808,382/384 Pitt Street
4.4,,,Even Hotel Seattle Downtown - Lake Union,Seattle,,TRUE,+1 206-596-2302,1080,527 Fairview Avenue North
4.4,,,Renaissance Paris Vendome Hotel,Paris,,FALSE,+33 1 40 20 20 00,208,"4 Rue du Mont Thabor, 75001"
4,,,Kyriad Paris Bercy Village,Paris,,TRUE,+33 1 44 67 75 75,1452,"17 Rue Baron le Roy, 75012"
4.2,,,Crowne Plaza Portland-Downtown Conv Ctr,Portland,,FALSE,+1 503-233-2401,2520,1441 Northeast 2nd Avenue
4.1,,,Tropicana Inn & Suites,Anaheim,,FALSE,+1 714-635-4082,1584,1540 South Harbor Boulevard
3.9,,,Timhotel Paris Place D'Italie,Paris,,TRUE,+33 1 44 24 01 01,609,"178 Boulevard Vincent Auriol, 75013"
4.6,,,Amastan Paris,Paris,,FALSE,+33 1 49 52 99 70,1664,"34 Rue Jean Mermoz, 75008"
4.2,,,Hotel Griffon,San Francisco,,FALSE,+1 415-495-2100,2916,"1206, 155 Steuart Street"
4.2,,,Hampton Inn Portland-Airport,Portland,,FALSE,+1 503-288-2423,3648,8633 Northeast Airport Way
4.2,,,Fairfield Inn & Suites By Marriott New York Manhattan/Central Park,New York,,FALSE,+1 212-757-8550,1364,538 West 58th Street
4.5,,,Dossier,Portland,,TRUE,+1 877-628-4408,968,750 Southwest Alder Street
3.8,,,Doubletree By Hilton Hotel New York City - Chelsea,New York,,TRUE,+1 212-564-0994,93,128 West 29th Street
4.4,,,Penn'S View Hotel,Philadelphia,,FALSE,+1 800-331-7634,1400,14 North Front Street
3.9,,,Hotel Le Bleu,New York,,FALSE,+1 866-427-6073,2592,"370 4th Avenue, Brooklyn"
