location,number_of_rooms,phone_number,place_name,price_per_night,smoking_allowed,star_rating,street_address,check_in_date,stay_length
London,,+44 20 7493 4545,45 Park Lane,375,FALSE,5,45 Park Lane,,
London,,+44 20 7402 0281,Abbey Court Hotel (Hyde Park),93,TRUE,3,Sussex Gardens,,
London,,+44 20 8563 8692,Abercorn House,70,FALSE,1,28-30 Bute Gardens,,
London,,+44 20 7407 7566,Accommodation London Bridge,324,FALSE,3,58 Great Dover Street,,
London,,+44 20 7613 9800,Ace Hotel London,296,FALSE,4,100 Shoreditch High Street,,
London,,+44 20 7834 0205,Airways Hotel London Victoria,84,TRUE,3,29-31 Saint George's Drive,,
London,,+44 20 7523 5052,Amba Hotel Charing Cross,296,FALSE,4,Strand,,
London,,+44 20 7523 5060,Amba Hotel Marble Arch,264,FALSE,4,Bryanston Street,,
London,,+44 20 7693 5400,Ambassadors Bloomsbury Hotel,160,FALSE,4,12 Upper Woburn Place,,
London,,+44 844 567 8955,Antoinette Hotel Wimbledon,162,FALSE,3,"The Broadway SW19 1SD, United Kingdom",,
Phoenix,,+1 602-852-6500,Ac Hotel By Marriott Phoenix Biltmore,117,FALSE,3,2811 East Camelback Road,,
Phoenix,,+1 602-275-6300,Aloft Phoenix-Airport,72,FALSE,3,4450 East Washington Street,,
Phoenix,,+1 877-800-4888,Arizona Grand Resort & Spa,256,TRUE,4,8000 Arizona Grand Parkway,,
Phoenix,,+1 602-603-2001,Courtyard By Marriott Phoenix Downtown,114,FALSE,3,132 South Central Avenue,,
Phoenix,,+1 602-273-7778,Crowne Plaza Phoenix Airport,261,FALSE,3,4300 East Washington Street,,
Phoenix,,+1 602-225-0500,Doubletree Suites By Hilton Hotel Phoenix,297,FALSE,3,320 North 44th Street,,
Phoenix,,+1 623-879-8800,Drury Inn & Suites Phoenix Happy Valley,120,FALSE,3,2335 West Pinnacle Peak Road,,
Phoenix,,+1 602-957-1910,Embassy Suites By Hilton Phoenix Airport,99,TRUE,3,2333 East Thomas Road,,
Phoenix,,+1 602-955-3992,Embassy Suites By Hilton Phoenix Biltmore,198,FALSE,3,2630 East Camelback Road,,
Phoenix,,+1 602-222-1111,Embassy Suites By Hilton Phoenix Downtown North,216,TRUE,3,10 East Thomas Road,,
Paris,,+33 1 84 82 49 09,Ac Hotel By Marriott Paris Porte Maillot,432,FALSE,4,"6 Rue Gustave Charpentier, 75017",,
Paris,,+33 1 49 52 99 70,Amastan Paris,432,FALSE,4,"34 Rue Jean Mermoz, 75008",,
Paris,,+33 1 44 72 42 00,Aparthotel Adagio Access Paris La Villette,108,FALSE,3,"28bis Avenue Corentin Cariou, 75019",,
Paris,,+33 1 42 57 14 55,Aparthotel Adagio Paris Montmartre,225,TRUE,3,"10 Place Charles Dullin, 75018",,
Paris,,+33 1 42 85 50 00,Avalon Hotel Paris Gare Du Nord,114,FALSE,3,"131 Boulevard de Magenta, 75010",,
Paris,,+33 1 45 38 52 59,Best Western Bretagne Montparnasse,104,TRUE,4,"33 Rue Raymond Losserand, 75014",,
Paris,,+33 1 43 37 81 25,Best Western Plus La Demeure HoTel,224,FALSE,4,"51 Boulevard Saint-Marcel, 75013",,
Paris,,+33 1 40 43 02 33,Bob Hotel By Elegancia,200,TRUE,4,"30 Rue Pernety, 75014",,
Paris,,+33 1 44 30 10 00,Brach Paris,140,TRUE,5,"1-7 Rue Jean Richepin, 75016",,
Paris,,+33 1 83 96 88 88,Buddha-Bar Hotel Paris,345,TRUE,5,"4 Rue d'Anjou, 75008",,
London,,+44 20 7702 2020,Apex City Of London Hotel,100,FALSE,4,1 Seething Lane,,
London,,+44 20 7562 3030,Apex London Wall Hotel,120,FALSE,4,7-9 Copthall Avenue,,
London,,+44 20 3004 4141,Apex Temple Court Hotel,144,FALSE,4,"1-2, Serjeant's Inn",,
London,,+44 20 3019 8610,Artist Residence London,176,TRUE,4,52 Cambridge Street,,
London,,+44 333 003 4239,Best Western Mornington Hotel,100,TRUE,4,12 Lancaster Gate,,
London,,+44 20 8455 5220,Best Western Palm Hotel,256,FALSE,4,64-76 Hendon Way,,
Seattle,,+1 206-340-1234,Best Western Plus Pioneer Square Hotel Downtown,63,FALSE,3,77 Yesler Way,,
Seattle,,+1 206-213-0100,Courtyard By Marriott Seattle Downtown/Lake Union,216,FALSE,3,925 Westlake Avenue North,,
Seattle,,+1 206-859-4400,Embassy Suites By Hilton Seattle Downtown Pioneer Square,192,TRUE,3,255 South King Street,,
