directed_by,genre,subtitles,title
Brian De Palma,Mystery,TRUE,Body Double
Neil Burger,Comedy,FALSE,The Upside
Laure de Clermont-Tonnerre,Drama,FALSE,The Mustang
Dean DeBlois,Animation,FALSE,How to Train Your Dragon: The Hidden World
Sebastian Lelio,Comedy,FALSE,Gloria Bell
Justin Kelly,Biographical,FALSE,JT LeRoy
Jia Zhangke,Crime,FALSE,Ash Is Purest White
Stanley Kubrick,Comedy,FALSE,Dr. Strangelove
Orson Welles,Mystery,FALSE,Citizen Kane
Robert Budreau,Comedy,TRUE,Stockholm
Neil Marshall,Fantasy,FALSE,Hellboy
Michael Chaves,Horror,FALSE,The Curse of La Llorona
Anthony Maras,Thriller,TRUE,Hotel Mumbai
Qui Sheng,Drama,FALSE,Suburban Birds
Peter Farrelly,Comedy,FALSE,Green Book
Chris Butler,Comedy,FALSE,Missing Link
Garth Davis,Drama,FALSE,Mary Magdalene
Hiroyasu Ishida,Fantasy,TRUE,Penguin Highway
James Kent,War,FALSE,The Aftermath
Simon Jaquemet,Drama,FALSE,The Innocent
Roxann Dawson,Biographical,TRUE,Breakthrough
Eric Khoo,Drama,FALSE,Ramen Shop
Max Minghella,Musical,FALSE,Teen Spirit
Likarion Wainaina,Drama,FALSE,Supa Modo
Claus Rafle,Documentary,FALSE,The Invisibles
Eric Khoo,Drama,TRUE,Ramen Shop
Alfred Hitchcock,Drama,TRUE,The Man Who Knew Too Much
James Kent,War,TRUE,The Aftermath
Anthony Maras,Thriller,FALSE,Hotel Mumbai
George Miller,Fantasy,TRUE,Mad Max: Fury Road
David Sandberg,Adventure,FALSE,Shazam!
Laszlo Nemes,Drama,TRUE,Sunset
Martin Scorsese,Biographical,FALSE,Shine a Light
Sebastian Lelio,Comedy,TRUE,Gloria Bell
Dean DeBlois,Animation,TRUE,How to Train Your Dragon: The Hidden World
Laura Steinel,Comedy,FALSE,Family
Tyler Perry,Comedy,TRUE,A Madea Family Funeral
George Sidney,Romance,TRUE,Viva Las Vegas
Laure de Clermont-Tonnerre,Drama,TRUE,The Mustang
Malik Bendjelloul,Biographical,FALSE,Searching for Sugar Man
Kevin Kolsch,Thriller,TRUE,Pet Sematary
Martin Scorsese,Biographical,TRUE,Shine a Light
Michael Chaves,Horror,TRUE,The Curse of La Llorona
Stephen Merchant,Sports,FALSE,Fighting with My Family
Laura Steinel,Comedy,TRUE,Family
Anna Boden,Adventure,TRUE,Captain Marvel
David Sandberg,Adventure,TRUE,Shazam!
Ronald Neame,Adventure,TRUE,The Poseidon Adventure
Joel Coen,Adventure,TRUE,True Grit
Joel Coen,Adventure,FALSE,True Grit
Morton DaCosta,Comedy,TRUE,Auntie Mame
Stanley Kubrick,Comedy,TRUE,Dr. Strangelove
Peter Farrelly,Comedy,TRUE,Green Book
Harry Elfont,Comedy,TRUE,Josie and the Pussycats
Tina Gordon,Comedy,TRUE,Little
Jonathan Levine,Comedy,TRUE,Long Shot
Chris Butler,Comedy,TRUE,Missing Link
Likarion Wainaina,Drama,TRUE,Supa Modo
Tim Burton,Fantasy,FALSE,Dumbo
Tyler Perry,Comedy,FALSE,A Madea Family Funeral
Justin Kelly,Biographical,TRUE,JT LeRoy
Roxann Dawson,Biographical,FALSE,Breakthrough
Matteo Garrone,Drama,TRUE,Dogman
Iain Softley,Drama,TRUE,Hackers
Claire Denis,Drama,TRUE,High Life
Nia DaCosta,Drama,FALSE,Little Woods
Garth Davis,Drama,TRUE,Mary Magdalene
Trevor Nunn,Drama,FALSE,Red Joan
Qui Sheng,Drama,TRUE,Suburban Birds
Madeleine Olnek,Drama,TRUE,Wild Nights with Emily
Jenny Gage,Romance,TRUE,After
Michael Gordon,Romance,TRUE,Pillow Talk
Cameron Crowe,Romance,TRUE,Say Anything
Tom McCarthy,Romance,TRUE,The Visitor
Stephen Merchant,Sports,TRUE,Fighting with My Family
Elaine May,Mafia,FALSE,Mikey and Nicky
Orson Welles,Mystery,TRUE,Citizen Kane
Alfred Hitchcock,Crime,TRUE,Blackmail - Cinemix Par Chloe
Max Minghella,Musical,TRUE,Teen Spirit
Tina Gordon,Comedy,FALSE,Little
Neil Burger,Comedy,TRUE,The Upside
Matteo Garrone,Drama,FALSE,Dogman
Robin Bissell,Drama,TRUE,The Best of Enemies
Jia Zhangke,Crime,TRUE,Ash Is Purest White
Michael Schultz,Action,TRUE,The Last Dragon
Michael Schultz,Action,FALSE,The Last Dragon
Rachel Lears,Documentary,FALSE,Knock Down The House
Hiroyasu Ishida,Fantasy,FALSE,Penguin Highway
Madeleine Olnek,Drama,FALSE,Wild Nights with Emily
Claire Denis,Drama,FALSE,High Life
Simon Jaquemet,Drama,TRUE,The Innocent
Jonathan Levine,Comedy,FALSE,Long Shot
Laszlo Nemes,Drama,FALSE,Sunset
George Miller,Fantasy,FALSE,Mad Max: Fury Road
Christian Petzold,Drama,FALSE,Transit
Alfred Hitchcock,Drama,FALSE,The Man Who Knew Too Much
George Sidney,Romance,FALSE,Viva Las Vegas
Tom McCarthy,Romance,FALSE,The Visitor
Anna Boden,Adventure,FALSE,Captain Marvel
Morton DaCosta,Comedy,FALSE,Auntie Mame
Harry Elfont,Comedy,FALSE,Josie and the Pussycats
Kevin Kolsch,Thriller,FALSE,Pet Sematary
Robert Budreau,Comedy,FALSE,Stockholm
Iain Softley,Drama,FALSE,Hackers
Cameron Crowe,Romance,FALSE,Say Anything
Brian De Palma,Mystery,FALSE,Body Double
Michael Gordon,Romance,FALSE,Pillow Talk
Jenny Gage,Romance,FALSE,After
Ronald Neame,Adventure,FALSE,The Poseidon Adventure
