actors,director,genre,movie_name,price,subtitle_language
Edoardo Pesce,Matteo Garrone,Drama,Dogman,7,None
Angelina Jolie,Iain Softley,Drama,Hackers,6,None
Andre 3000,Claire Denis,Drama,High Life,8,None
Luke Kirby,Nia DaCosta,Drama,Little Woods,3,English
Chiwetel Ejiofor,Garth Davis,Drama,Mary Magdalene,7,Mandarin
Takumi Saitoh,Eric Khoo,Drama,Ramen Shop,7,Spanish
Robin Soans,Trevor Nunn,Drama,Red Joan,7,Mandarin
Deng Jing,Qui Sheng,Drama,Suburban Birds,3,Spanish
Christian Harting,Laszlo Nemes,Drama,Sunset,5,None
Peris Wambui,Likarion Wainaina,Drama,Supa Modo,4,None
Rune Temte,Anna Boden,Adventure,Captain Marvel,4,Spanish
Mark Strong,David Sandberg,Adventure,Shazam!,5,Spanish
Fred Sadoff,Ronald Neame,Adventure,The Poseidon Adventure,6,None
Elizabeth Marvel,Joel Coen,Adventure,True Grit,7,Spanish
Matt Damon,Joel Coen,Adventure,True Grit,6,None
Alix Talton,Alfred Hitchcock,Drama,The Man Who Knew Too Much,4,Mandarin
Brinke Stevens,Brian De Palma,Mystery,Body Double,7,Mandarin
B.J. Jones,Brian De Palma,Mystery,Body Double,6,English
Kevin Blatch,Harry Elfont,Comedy,Josie and the Pussycats,7,None
Victor Banerjee,Claire Denis,Drama,High Life,7,Spanish
Katharine Isabelle,Harry Elfont,Comedy,Josie and the Pussycats,6,English
Jay Baruchel,Dean DeBlois,Animation,How to Train Your Dragon: The Hidden World,8,Mandarin
America Ferrera,Dean DeBlois,Animation,How to Train Your Dragon: The Hidden World,3,None
Alfred Hitchcock,Alfred Hitchcock,Drama,The Man Who Knew Too Much,6,Spanish
David Dunston,Tyler Perry,Comedy,A Madea Family Funeral,4,Mandarin
Saundra Edwards,Morton DaCosta,Comedy,Auntie Mame,3,None
Roy Stephens,Stanley Kubrick,Comedy,Dr. Strangelove,5,None
Karan Kendrick,Laura Steinel,Comedy,Family,6,None
Tyson Ritter,Sebastian Lelio,Comedy,Gloria Bell,4,None
Von Lewis,Peter Farrelly,Comedy,Green Book,4,Spanish
Palmer Williams Jr.,Tina Gordon,Comedy,Little,4,None
Kurt Braunohler,Jonathan Levine,Comedy,Long Shot,6,None
Stephen Fry,Chris Butler,Comedy,Missing Link,8,Spanish
Holland Taylor,Sebastian Lelio,Comedy,Gloria Bell,7,Mandarin
Larry Jenkins,Brian De Palma,Mystery,Body Double,6,None
Gideon Adlon,Laure de Clermont-Tonnerre,Drama,The Mustang,7,English
Matthias Schoenaerts,Laure de Clermont-Tonnerre,Drama,The Mustang,4,None
Bess Flowers,Alfred Hitchcock,Drama,The Man Who Knew Too Much,8,Spanish
Noel Willman,Alfred Hitchcock,Drama,The Man Who Knew Too Much,3,None
Keshia Knight Pulliam,Michael Schultz,Action,The Last Dragon,7,None
Mark Seliger,Harry Elfont,Comedy,Josie and the Pussycats,5,None
Brian Stepanek,Peter Farrelly,Comedy,Green Book,4,None
Loren Dean,Cameron Crowe,Romance,Say Anything,4,None
Edd Osmond,Tim Burton,Fantasy,Dumbo,5,None
Yash Trivedi,Anthony Maras,Thriller,Hotel Mumbai,3,None
Julia Jenni Karagioules,Kevin Kolsch,Thriller,Pet Sematary,4,None
Topher Grace,Roxann Dawson,Biographical,Breakthrough,7,None
Stella Maxwell,Justin Kelly,Biographical,JT LeRoy,8,None
Dennis Coffey,Malik Bendjelloul,Biographical,Searching for Sugar Man,5,English
Jack White,Martin Scorsese,Biographical,Shine a Light,6,Mandarin
Taylor Schilling,Laura Steinel,Comedy,Family,4,None
Don Hewitt,Iain Softley,Drama,Hackers,8,Spanish
Alida Baldari Calabria,Matteo Garrone,Drama,Dogman,3,None
Samuel Larsen,Jenny Gage,Romance,After,8,None
Jennifer Beals,Jenny Gage,Romance,After,4,English
Jennifer Badger,Iain Softley,Drama,Hackers,7,Spanish
Tom Virtue,Peter Farrelly,Comedy,Green Book,5,English
Nellex Nderitu,Likarion Wainaina,Drama,Supa Modo,8,Mandarin
Martin Wolfson,Elaine May,Mafia,Mikey and Nicky,3,None
Andrene Ward-Hammond,Laura Steinel,Comedy,Family,8,Mandarin
Wes Bentley,Robin Bissell,Drama,The Best of Enemies,4,None
Alex Gerry,Michael Gordon,Romance,Pillow Talk,6,English
Ashley Springer,Tom McCarthy,Romance,The Visitor,4,Mandarin
Ruth Carlson,George Sidney,Romance,Viva Las Vegas,8,None
Adriana Altaras,Claus Rafle,Documentary,The Invisibles,3,None
Miguel Munoz Segura,Tim Burton,Fantasy,Dumbo,4,None
Thomas Haden Church,Neil Marshall,Fantasy,Hellboy,7,None
Riley Keough,George Miller,Fantasy,Mad Max: Fury Road,4,Mandarin
Megumi Han,Hiroyasu Ishida,Fantasy,Penguin Highway,7,None
Mason Lee,Qui Sheng,Drama,Suburban Birds,6,None
Larry Barton,George Sidney,Romance,Viva Las Vegas,5,English
Larry Barton,George Sidney,Romance,Viva Las Vegas,3,Spanish
Jack Daly,Morton DaCosta,Comedy,Auntie Mame,6,English
Ciera Payton,Tyler Perry,Comedy,A Madea Family Funeral,8,None
Stycie Waweru,Likarion Wainaina,Drama,Supa Modo,5,None
Amadeus Strobl,Jenny Gage,Romance,After,7,Spanish
Sonny Bupp,Orson Welles,Mystery,Citizen Kane,8,None
Barbara Crampton,Brian De Palma,Mystery,Body Double,6,None
Dan DiMaggio,Malik Bendjelloul,Biographical,Searching for Sugar Man,8,None
Michelle Borth,David Sandberg,Adventure,Shazam!,8,English
Stephen Boxer,Trevor Nunn,Drama,Red Joan,7,None
Colin Farrell,Tim Burton,Fantasy,Dumbo,4,None
