genre,location,movie_name,price,show_type,street_address,theater_name,show_date,show_time,number_of_tickets
Biographical,San Jose,Breakthrough,14,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
Animation,San Jose,How to Train Your Dragon: The Hidden World,15,3d,2190 Eastridge Loop,AMC Eastridge 15,,,
Comedy,San Jose,Little,20,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
Comedy,San Jose,Missing Link,7,3d,700 El Paseo de Saratoga,AMC Saratoga 14,,,
Adventure,San Jose,Shazam!,19,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
Horror,San Jose,The Curse of La Llorona,16,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
Drama,San Jose,Wild Nights with Emily,21,3d,288 South 2nd Street,3 Below Theaters And Lounge,,,
Horror,San Jose,The Curse of La Llorona,16,3d,2306 Almaden Road,CineLux Almaden Cinema,3/5/2019,22:30,
Horror,Concord,The Curse of La Llorona,22,3d,2035 Diamond Boulevard,Veranda LUXE Cinema & IMAX,,,
Horror,Concord,The Curse of La Llorona,22,3d,2035 Diamond Boulevard,Veranda LUXE Cinema & IMAX,3/2/2019,21:30,
Fantasy,Santa Clara,Dumbo,7,imax,3111 Mission College Boulevard,AMC Mercado 20,,,
Fantasy,Santa Clara,Hellboy,9,imax,3111 Mission College Boulevard,AMC Mercado 20,,,
Thriller,Santa Clara,Hotel Mumbai,10,imax,3111 Mission College Boulevard,AMC Mercado 20,,,
Animation,Santa Clara,How to Train Your Dragon: The Hidden World,6,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
Comedy,Santa Clara,Little,15,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
Comedy,Santa Clara,Long Shot,7,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
Comedy,Santa Clara,Missing Link,19,3d,3111 Mission College Boulevard,AMC Mercado 20,,,
Thriller,Santa Clara,Pet Sematary,11,3d,3111 Mission College Boulevard,AMC Mercado 20,,,
Adventure,Santa Clara,Shazam!,11,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
