cast,directed_by,genre,movie_title,percent_rating
Quentin Tarantino,Quentin Tarantino,Cult,Pulp Fiction,92
William Jackson Harper,Ari Aster,Horror,Midsommar,83
Javier Bardem,Pedro Almodovar,Drama,Live Flesh,80
Kate McKinnon,Danny Boyle,Comedy,Yesterday,63
Davi Santos,Johannes Roberts,Horror,47 Meters Down: Uncaged,45
Lorraine Toussaint,Andre Ovredal,Horror,Scary Stories to Tell in the Dark,79
Manabu Hosoi,Shinichirou Ueda,Horror,One Cut of the Dead,100
Calvin Trillin,Max Lewkowicz,Documentary,Fiddler: A Miracle of Miracles,100
Tony Hale,Josh Cooley,Animation,Toy Story 4,97
Doris McCarthy,Bart Freundlich,Drama,After The Wedding,43
Koichi Yamadera,Satoshi Kon,Anime,Paprika,84
Michaela Watkins,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
Pavle Cemerikic,Ognjen Glavonic,War,The Load,100
Meera Ganatra,Gurinder Chadha,Drama,Blinded by the Light,88
Helena Holmes,David Leitch,Action,Hobbs and Shaw,67
Jamie Kennedy,James Gray,Sci-fi,Ad Astra,84
Adam Bakri,Gavin Hood,Mystery,Official Secrets,78
Leonard Sharp,Alexander Mackendrick,Thriller,The Ladykillers,100
James Urbaniak,Richard Linklater,Comedy,"Where'd You Go, Bernadette",46
Roger McGuinn,Andrew Slater,Musical,Echo In The Canyon,94
James Ransone,Andres Muschietti,Supernatural,IT Chapter Two,64
Karen Holness,Simon Curtis,Drama,The Art of Racing in the Rain,43
Josh Gad,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
Duane Whitaker,Quentin Tarantino,Cult,Pulp Fiction,92
Jillian Bell,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
Paola Lara,Issa Lopez,Tragedy,Tigers Are Not Afraid,96
Prabhas,Sujeeth,Action,Saaho,10
Sushant Singh Rajput,Nitesh Tiwari,Comedy,Chhichhore,60
Alexander Calvert,Gene Stupnitsky,Comedy,Good Boys,79
Zhao Shuzhen,Lulu Wang,Family,The Farewell,99
Richard L. Hawkins,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
Jason Burkey,Riley Stearns,Thriller,The Art of Self-Defense,83
Ian Hendry,Douglas Hickox,Horror,Theatre of Blood,93
Nick Nolte,Ric Roman Waugh,Action,Angel Has Fallen,39
Liv Tyler,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
Timothy Olyphant,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
Ron Mueck,Jim Henson,Fantasy,Labyrinth,70
James Wlcek,Herbert Ross,Family,Steel Magnolias,70
Rudy Chernicoff,Benjamin Naishtat,Thriller,Rojo,98
Britta Steffenhagen,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
Daria Ekamasova,Kirill Mikhanovsky,Comedy-drama,Give Me Liberty,92
Jack Sterner,Alex Kendrick,Drama,Overcomer,46
Zoe Bell,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
James Corden,Danny Boyle,Comedy,Yesterday,63
Amer Hlehel,Sameh Zoabi,World,Tel Aviv on Fire,92
Jack Carson,Gregory La Cava,Drama,Stage Door,95
Alexandre Bourgeois,Jovanka Vuckovic,Action,Riot Girls,100
Xabiani Ponce de Leon,Hari Sama,Drama,This Is Not Berlin,86
Mohan Kapoor,Jagan Shakti,Action,Mission Mangal,67
Bakary Sangare,Louis Garrel,Drama,A Faithful Man,78
Andrea Bang,Julius Onah,Mystery,Luce,92
Andrea Martin,Joel Zwick,Comedy,My Big Fat Greek Wedding,76
McKinley Belcher III,Simon Curtis,Drama,The Art of Racing in the Rain,43
Hayley Squires,Peter Strickland,Horror,In Fabric,96
Daniel Camp,Herbert Ross,Family,Steel Magnolias,70
Jon Glaser,Lorene Scafaria,Drama,Hustlers,94
Helena Howard,Josephine Decker,Thriller,Madeline's Madeline,88
Eugene Dynarski,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
Nahuel Cano,Lucrecia Martel,World,Zama,96
Alex King,David Leitch,Action,Hobbs and Shaw,67
Diana Dors,Douglas Hickox,Horror,Theatre of Blood,93
Sterling K. Brown,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
Lori Pelenise Tuisano,David Leitch,Action,Hobbs and Shaw,67
Conleth Hill,Gavin Hood,Mystery,Official Secrets,78
Claudia Doumit,Richard Linklater,Comedy,"Where'd You Go, Bernadette",46
Katsunosuke Hori,Satoshi Kon,Anime,Paprika,84
Nikita Mehta,Gurinder Chadha,Drama,Blinded by the Light,88
Rhys Ifans,Gavin Hood,Mystery,Official Secrets,78
Steve Whitmire,Jim Henson,Fantasy,Labyrinth,70
Steve Terada,Riley Stearns,Thriller,The Art of Self-Defense,83
Nancy Parsons,Herbert Ross,Family,Steel Magnolias,70
Klaudia Garcia,Hari Sama,Drama,This Is Not Berlin,86
Carol Sutton,Herbert Ross,Family,Steel Magnolias,70
Tzi Ma,Lulu Wang,Family,The Farewell,99
Aryn Wright-Thompson,Alex Kendrick,Drama,Overcomer,46
Vanessa Przada,Gene Stupnitsky,Comedy,Good Boys,79
Pete Davidson,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
Leland Orser,Riley Stearns,Thriller,The Art of Self-Defense,83
Noah Gaynor,Julius Onah,Mystery,Luce,92
Utkarsh Ambudkar,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
Akiko Kawase,Satoshi Kon,Anime,Paprika,84
Ian Hughes,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
Ryan Reynolds,David Leitch,Action,Hobbs and Shaw,67
Sarah McLeod,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
J. Patrick McNamara,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
Supreet Reddy,Sujeeth,Action,Saaho,10
Ving Rhames,Quentin Tarantino,Cult,Pulp Fiction,92
Fiona Reid,Joel Zwick,Comedy,My Big Fat Greek Wedding,76
Lawrence Bender,Quentin Tarantino,Cult,Pulp Fiction,92
Yuri Lowenthal,Satoshi Kon,Anime,Paprika,84
C.J. Rush,Riley Stearns,Thriller,The Art of Self-Defense,83
Danny John-Jules,Jim Henson,Fantasy,Labyrinth,70
Ronald Young,Herbert Ross,Family,Steel Magnolias,70
Zach Woods,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
Merrill Connally,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
Gwendoline Christie,Peter Strickland,Horror,In Fabric,96
Bill Hader,Josh Cooley,Animation,Toy Story 4,97
Josh Barclay Caras,Gene Stupnitsky,Comedy,Good Boys,79
Sanjay Kapoor,Jagan Shakti,Action,Mission Mangal,67
Franklin Pangborn,Gregory La Cava,Drama,Stage Door,95
Doug Erholtz,Satoshi Kon,Anime,Paprika,84
Betsy Widhalm,Herbert Ross,Family,Steel Magnolias,70
Sunita Mani,Josephine Decker,Thriller,Madeline's Madeline,88
Jennifer Lopez,Lorene Scafaria,Drama,Hustlers,94
Gavin Brocker,Peter Strickland,Horror,In Fabric,96
Eric Stoltz,Quentin Tarantino,Cult,Pulp Fiction,92
Martin Kove,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
Jennifer Connelly,Jim Henson,Fantasy,Labyrinth,70
Vincent Andriano,Gurinder Chadha,Drama,Blinded by the Light,88
Dolly Parton,Herbert Ross,Family,Steel Magnolias,70
Maya Hawke,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
Bruce Willis,Quentin Tarantino,Cult,Pulp Fiction,92
Monica Dolan,Gavin Hood,Mystery,Official Secrets,78
Kathy Griffin,Quentin Tarantino,Cult,Pulp Fiction,92
Chris Reilly,Gavin Hood,Mystery,Official Secrets,78
Christopher Malcolm,Jim Henson,Fantasy,Labyrinth,70
James Keane,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
Lisa Tharps,Josephine Decker,Thriller,Madeline's Madeline,88
Joey Fatone,Joel Zwick,Comedy,My Big Fat Greek Wedding,76
Zoe Margaret Colletti,Andre Ovredal,Horror,Scary Stories to Tell in the Dark,79
Hattie Morahan,Gavin Hood,Mystery,Official Secrets,78
Dominic Monaghan,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
James Shapkoff III,Herbert Ross,Family,Steel Magnolias,70
Camila Sosa,Lucrecia Martel,World,Zama,96
Josef Sommer,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
Lena Dunham,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
Max Pava,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
Lil Rel Howery,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
Lucia Oskerova,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
Kelvin Harrison Jr.,Julius Onah,Mystery,Luce,92
Aoi Mizuhara,Lulu Wang,Family,The Farewell,99
Robert R. Morgan,Herbert Ross,Family,Steel Magnolias,70
Enid-Raye Adams,Gene Stupnitsky,Comedy,Good Boys,79
Rob Brydon,Gurinder Chadha,Drama,Blinded by the Light,88
Tony Hale,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
Sophia Di Martino,Danny Boyle,Comedy,Yesterday,63
Mel Brooks,Josh Cooley,Animation,Toy Story 4,97
Timothy Dalton,Josh Cooley,Animation,Toy Story 4,97
