album,artist,genre,song_name,year,playback_device
Essentials,Major Lazer,Moombahton,Light It Up,2015,
Essentials,Major Lazer,Moombahton,Light It Up,2015,TV
The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,2016,
The Getaway,Red Hot Chili Peppers,Pop,Go Robot,2016,
The Getaway,Red Hot Chili Peppers,Pop,Goodbye Angels,2016,
The Getaway,Red Hot Chili Peppers,Pop,Sick Love,2016,
The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,2016,Kitchen speaker
Blonde,Frank Ocean,Pop,Ivy,2016,
Blonde,Frank Ocean,Pop,Nights,2016,
Blonde,Frank Ocean,Pop,Nikes,2016,
Blonde,Frank Ocean,Pop,Self Control,2016,
Blonde,Frank Ocean,Pop,Nights,2016,TV
Kaleidoscope Dream,Miguel,Pop,Adorn,2012,
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,
Handwritten,Shawn Mendes,Pop,Aftertaste,2015,
Holo,Limbo,Pop,Airplane Mode,2017,
This Is Acting,Sia,Pop,Alive,2013,
Title,Meghan Trainor,Pop,All About That Bass,2012,
Always In Between,Jess Glynne,Pop,All I Am,2018,
The Princess,Parov Stelar,Pop,All Night,2012,
Journals,Justin Bieber,Pop,All That Matters,2013,
Singular Act I,Sabrina Carpenter,Pop,Almost Love,2018,
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,Kitchen speaker
World Cry,Jah Cure,Reggae,Before I Leave,2010,
Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,2017,
Amos,Michael Ray,Country,One That Got Away,2018,
What Makes You Country,Luke Bryan,Country,What Makes You Country,2017,
Adobe Sessions,Cody Jinks,Country,Cast No Stones,2015,
Handwritten,Shawn Mendes,Pop,Something Big,2014,
Slow Air,Still Corners,Pop,The Message,2018,
Sunset Season,Conan Gray,Pop,Lookalike,2018,
Camila,Camila Cabello,Pop,Consequences,2018,
The First Time,Kelsea Ballerini,Country,Peter Pan,2015,
World Cry,Jah Cure,Reggae,Before I Leave,2010,TV
Mercury Lane,Jimmie Allen,Country,Best Shot,2018,
