album,artist,genre,song_name,playback_device
Night Train,Jason Aldean,Country,When She Says Baby,
Night Train,Jason Aldean,Country,When She Says Baby,bedroom speaker
Mint,Alice Merton,Pop,Why So Serious,
Mint,Alice Merton,Pop,Why So Serious,TV
Expectations,Hayley Kiyoko,Pop,Curious,
Expectations,Bebe Rexha,Pop,I Got You,
Expectations,Bebe Rexha,Pop,Knees,
Expectations,Hayley Kiyoko,Pop,Let It Be,
Expectations,Hayley Kiyoko,Pop,Sleepover,
Expectations,Hayley Kiyoko,Pop,What I Need,
Expectations,Bebe Rexha,Pop,I Got You,kitchen speaker
Kaleidoscope Dream,Miguel,Pop,Adorn,
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,
Handwritten,Shawn Mendes,Pop,Aftertaste,
Holo,Limbo,Pop,Airplane Mode,
This Is Acting,Sia,Pop,Alive,
Title,Meghan Trainor,Pop,All About That Bass,
Always In Between,Jess Glynne,Pop,All I Am,
The Princess,Parov Stelar,Pop,All Night,
Journals,Justin Bieber,Pop,All That Matters,
Singular Act I,Sabrina Carpenter,Pop,Almost Love,
Illuminate,Shawn Mendes,Pop,Bad Reputation,
Illuminate,Shawn Mendes,Pop,Mercy,
Handwritten,Shawn Mendes,Pop,Never Be Alone,
Handwritten,Shawn Mendes,Pop,Something Big,
Handwritten,Shawn Mendes,Pop,Stitches,
Illuminate,Shawn Mendes,Pop,Treat You Better,
Illuminate,Shawn Mendes,Pop,Bad Reputation,bedroom speaker
Crooked Teeth,Papa Roach,Metal,Born For Greatness,
Meliora,Ghost,Metal,Cirice,
Anesthetic,Mark Morton,Metal,Cross Off,
Prequelle,Ghost,Metal,Dance Macabre,
No More Hollywood Endings,Battle Beast,Metal,Eden,
The Hunting Party,Linkin Park,Metal,Final Masquerade,
Got Your Six,Five Finger Death Punch,Metal,I Apologize,
Judas,Fozzy,Metal,Judas,
Maximalism,Amaranthe,Metal,Maximize,
Heroes,Sabaton,Metal,Night Witches,
The Seven Deadly Sins Original Soundtrack,Hiroyuki Sawano,Soundtracks,Perfect Time,
The Seven Deadly Sins Original Soundtrack,Hiroyuki Sawano,Soundtracks,Perfect Time,bedroom speaker
Golden Hour,Kacey Musgraves,Country,High Horse,
Transmissions,Starset,Rock,Carnivore,
Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,
A True Master,Yi Nantiro,Soundtracks,A True Master,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Always Remember Us This Way,
Joytime,Marshmello,House,Summer,
Loser,Sasha Sloan,Pop,Older,
Dzieciom,Lao Che,Rock,Wojenka,
V,Adam Levine,Pop,Lost Stars,
Golden Hour,Kacey Musgraves,Country,Space Cowboy,
Transmissions,Starset,Rock,Carnivore,kitchen speaker
The Martin Garrix Experience,Martin Garrix,House,Yottabyte,
Different World,Alan Walker,Pop,Alone,
Different World,Alan Walker,Pop,Darkside,
Different World,Alan Walker,Pop,Alone,bedroom speaker
Red,Dia Frampton,Pop,Walk Away,
Red,Dia Frampton,Pop,Walk Away,TV
Loud,Rihanna,Pop,California King Bed,
Unapologetic,Rihanna,Pop,Pour It Up,
Unapologetic,Rihanna,Pop,Stay,
Talk That Talk,Rihanna,Pop,Talk That Talk,
Unapologetic,Rihanna,Pop,What Now,
Talk That Talk,Rihanna,Pop,Where Have You Been,
Unapologetic,Rihanna,Pop,Pour It Up,TV
Stronger,Sara Evans,Country,A Little Bit Stronger,
Where We Come From,Popcaan,Reggae,Addicted,
Blood,In This Moment,Metalcore,Adrenalize,
A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Alibi,
Kaleidoscope Dream,Miguel,Pop,Adorn,bedroom speaker
World Cry,Jah Cure,Reggae,Before I Leave,
It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,
King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,
Dolla Van Riddim,Busy Signal,Reggae,Dolla Van,
Finest Dubs Outta Jamaica,Augustus Pablo,Reggae,Dub Scene,
Where We Come From,Popcaan,Reggae,Everything Nice,
Love Town,Kolohe Kai,Reggae,First True Love,
Hold You,Gyptian,Reggae,Hold You,
Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,
Where We Come From,Popcaan,Reggae,Addicted,kitchen speaker
Happiness Begins,Jonas Brothers,Pop,Sucker,
Dangerous Woman,Ariana Grande,Pop,Be Alright,
Dangerous Woman,Ariana Grande,Pop,Dangerous Woman,
Dangerous Woman,Ariana Grande,Pop,Focus,
Dangerous Woman,Ariana Grande,Pop,Into You,
Dangerous Woman,Ariana Grande,Pop,Let Me Love You,
Dangerous Woman,Ariana Grande,Pop,Touch It,
Dangerous Woman,Ariana Grande,Pop,Be Alright,kitchen speaker
Evolution,Disturbed,Rock,Are You Ready,
The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,
Born Free,Kid Rock,Rock,Born Free,
The End Is Where We Begin,Thousand Foot Krutch,Rock,Courtesy Call,
Your Name,Radwimps,Rock,Dream Lantern,
Sex Rock,Alex Angel,Rock,Easy World,
Erase The Pain,Palisades,Rock,Erase The Pain,
After Laughter,Paramore,Rock,Hard Times,
Meliora,Ghost,Rock,He Is,
Evolution,Disturbed,Rock,Are You Ready,bedroom speaker
Expectations,Hayley Kiyoko,Pop,Let It Be,bedroom speaker
Kaleidoscope Dream,Miguel,Pop,Adorn,kitchen speaker
Camila,Camila Cabello,Pop,Consequences,
Camila,Camila Cabello,Pop,Real Friends,
Camila,Camila Cabello,Pop,She Loves Control,
Camila,Camila Cabello,Pop,Real Friends,kitchen speaker
Heroes,Sabaton,Metal,No Bullets Fly,
Heroes,Sabaton,Metal,Night Witches,kitchen speaker
California Sunrise,Jon Pardi,Country,Head Over Boots,
California Sunrise,Jon Pardi,Country,Night Shift,
Oak Island,Our Last Night,Metalcore,Same Old War,
Oak Island,Our Last Night,Metalcore,Same Old War,TV
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,bedroom speaker
All The Little Lights,Passenger,Pop,Let Her Go,
All The Little Lights,Passenger,Pop,Let Her Go,kitchen speaker
It Feel Good,Konshens,Reggae,Turn Me On,
It Feel Good,Konshens,Reggae,Turn Me On,kitchen speaker
Torches,Foster The People,Indie,Houdini,
Pumped Up Kicks,Foster The People,Indie,Pumped Up Kicks,
Camila,Camila Cabello,Pop,Real Friends,bedroom speaker
Dark Horse,Devin Dawson,Country,All On Me,
Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,
Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,
Bigger,Sugarland,Country,Babe,
Mercury Lane,Jimmie Allen,Country,Best Shot,
Blown Away,Carrie Underwood,Country,Blown Away,
Yours,Russell Dickerson,Country,Blue Tacoma,
Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,
Untamed,Cam,Country,Burning House,
Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,
Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,bedroom speaker
Pain Killer,Little Big Town,Country,Girl Crush,
Blonde,Frank Ocean,Pop,Nights,
Badlands,Halsey,Electropop,Hurricane,
Do It Again,Pia Mia,Pop,Do It Again,
Witness,Katy Perry,Electropop,Swish Swish,
Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,
Black Widow,In This Moment,Metalcore,Sex Metal Barbie,
The Present Tense,Courier,Pop,San Francisco,
The Present Tense,Courier,Pop,San Francisco,bedroom speaker
Pure Heroine,Lorde,Electropop,Buzzcut Season,
Pure Heroine,Lorde,Electropop,Team,
Pure Heroine,Lorde,Electropop,Tennis Court,
Pure Heroine,Lorde,Electropop,Team,kitchen speaker
Blonde,Frank Ocean,Pop,Ivy,
Blonde,Frank Ocean,Pop,Nikes,
Blonde,Frank Ocean,Pop,Self Control,
Blonde,Frank Ocean,Pop,Ivy,kitchen speaker
The Mountain,Dierks Bentley,Country,Burning Man,
Dark Horse,Devin Dawson,Country,All On Me,TV
Dark Horse,Devin Dawson,Country,All On Me,kitchen speaker
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,
A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Black Eyes,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Heal Me,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,TV
We Need To Talk,Taylor Parks,Pop,I Want You,
Mahandini,Dewa Budjana,Pop,Hyang Giri,
Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,
Sing To Me Instead,Ben Platt,Pop,Grow As We Go,
Sing To Me Instead,Ben Platt,Pop,Temporary Love,
Brave Enough,Lindsey Stirling,Pop,The Arena,
King Of Everything,Jinjer,Metal,Pisces,
King Of Everything,Jinjer,Metal,Pisces,TV
Stronger,Sara Evans,Country,A Little Bit Stronger,TV
Dark Horse,Devin Dawson,Country,All On Me,bedroom speaker
Pop Evil,Pop Evil,Metalcore,Be Legendary,
Black Widow,In This Moment,Metalcore,Big Bad Wolf,
Blood,In This Moment,Metalcore,Blood,
Black Widow,In This Moment,Metalcore,Sick Like Me,
The Black,Asking Alexandria,Metalcore,The Black,
A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,
Blood,In This Moment,Metalcore,Whore,
Black Widow,In This Moment,Metalcore,Big Bad Wolf,kitchen speaker
Vessel,Twenty One Pilots,Pop,Fake You Out,
Vessel,Twenty One Pilots,Pop,Truce,
Vessel,Twenty One Pilots,Pop,Truce,bedroom speaker
Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,
The Beginning,Sammielz,Reggae,Let Us Be,
Vandenynai,Linas Adomaitis,Pop,Vandenynai,
Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,
Happy Endings,Old Dominion,Country,Hotel Key,
Cloud Nine,Kygo,Downtempo,Raging,
Who You Are,Jessie J,Pop,Mamma Knows Best,
Built On Glass,Nick Murphy,Electronica,Gold,
Got Your Six,Five Finger Death Punch,Metal,Wash It All Away,
Covers,Alec Chambers,Pop,Without Me,
Covers,Alec Chambers,Pop,Without Me,kitchen speaker
Raise Vibration,Lenny Kravitz,Rock,Low,
Raise Vibration,Lenny Kravitz,Rock,Low,kitchen speaker
Outsider,Three Days Grace,Rock,Right Left Wrong,
Outsider,Three Days Grace,Rock,The Mountain,
Outsider,Three Days Grace,Rock,Right Left Wrong,bedroom speaker
My Dream,Karolina Protsenko,Pop,Despacito,
Fly,Karolina Protsenko,Pop,Girls Like You,
Fly,Karolina Protsenko,Pop,Let Me Love You,
Ruin Your Party,Scotty Sire,Pop,Take Me Away,
Blues Of Desperation,Joe Bonamassa,Blues,Drive,
Welcome Reality,Nero,Dubstep,Promises,
Double Vision,Prince Royce,Pop,Back It Up,
Stony Hill,Damian Marley,Reggae,Speak Life,
Piano Songs,Froggy Fresh,Pop,Boyfriend,
Ruin Your Party,Scotty Sire,Pop,Take Me Away,kitchen speaker
The Bright Side,Lenka,Pop,Blue Skies,
The Bright Side,Lenka,Pop,Blue Skies,kitchen speaker
Sucker Punch,Sigrid,Pop,Strangers,
Awake,Illenium,Dubstep,Free Fall,
Icarus Falls,Zayn Malik,Pop,There You Are,
Bloom,Troye Sivan,Pop,Bloom,
Vale,Black Veil Brides,Rock,Wake Up,
Vale,Black Veil Brides,Rock,Wake Up,TV
Crooked Teeth,Papa Roach,Metal,Born For Greatness,TV
Dolla Van Riddim,Busy Signal,Reggae,Dolla Van,bedroom speaker
Pop Food,Jack Stauber,Pop,Buttercup,
Pop Food,Jack Stauber,Pop,Oh Klahoma,
Pop Food,Jack Stauber,Pop,Buttercup,bedroom speaker
Home State,Jordan Davis,Country,Singles You Up,
A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,
Ready,Ruel,Pop,Younger,
Confident,Demi Lovato,Pop,Stone Cold,
The New Classic,Iggy Azalea,Pop,Work,
Reminiscence,Mattia Cupelli,Soundtracks,Love Lost,
Superman,Arash,Pop,One Day,
Elements,Ludovico Einaudi,Classical,Night,
Halcyon Days,Ellie Goulding,Pop,How Long Will I Love You,
Home State,Jordan Davis,Country,Singles You Up,kitchen speaker
Born This Way,Lady Gaga,Pop,Bloody Mary,
Born This Way,Lady Gaga,Pop,Born This Way,
Joanne,Lady Gaga,Pop,Joanne,
Joanne,Lady Gaga,Pop,John Wayne,
Golden Hour,Kacey Musgraves,Country,Butterflies,
Golden Hour,Kacey Musgraves,Country,Slow Burn,
Thank You Happy Birthday,Cage The Elephant,Rock,Shake Me Down,
Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,
Sucker Punch,Sigrid,Pop,Sucker Punch,
Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,
Icarus Falls,Zayn Malik,Pop,Good Years,
Flicker,Niall Horan,Folk,Slow Hands,
Raabta,Arijit Singh,South Asia,Ik Vaari Aa,
How Long,Charlie Puth,Pop,How Long,
Thank You Happy Birthday,Cage The Elephant,Rock,Shake Me Down,TV
Beauty Marks,Ciara,Pop,Thinkin Bout You,
Beauty Marks,Ciara,Pop,Thinkin Bout You,bedroom speaker
Kontraband,Kabaka Pyramid,Reggae,Reggae Music,
Badlands,Halsey,Electropop,Control,
Experiment,Kane Brown,Country,Homesick,
Yours,Russell Dickerson,Country,Yours,
This Is Acting,Sia,Pop,Unstoppable,
Sen Menga Kerak,Shahzoda,Pop,Qaynona,
Elevate,Big Time Rush,Pop,Windows Down,
Kontraband,Kabaka Pyramid,Reggae,Reggae Music,TV
Experiment,Kane Brown,Country,Lose It,
Experiment,Kane Brown,Country,Weekend,
Joytime,Marshmello,House,Blocks,
Joytime,Marshmello,House,Find Me,
Joytime,Marshmello,House,Keep It Mello,
Joytime,Marshmello,House,Take It Back,
Joytime,Marshmello,House,Blocks,bedroom speaker
Loud,Rihanna,Reggae,Man Down,
Frozen,Josh Gad,Soundtracks,In Summer,
You Know I Know,Olly Murs,Pop,Moves,
You Know I Know,Olly Murs,Pop,Moves,bedroom speaker
