album,artist,genre,track,year,device
Ores Aixmis,Malou Kyriakopoulou,Pop,Nixta Ginontai Ta Thavmata,2019,
Firestone,Kygo,Downtempo,Firestone,2014,
Owna Lane,Tee Jay,Reggae,Owna Lane,2019,
Outsider,Three Days Grace,Rock,Right Left Wrong,2018,
Sad,Matthew David Morris,Pop,Sad,2019,
Monsters,Katie Sky,Folk,Monsters,2014,
Russia,Nav Sandhu,Pop,Russia,2019,
Lifers,Cody Jinks,Country,Must Be The Whiskey,2018,
Girl Power,Haschak Sisters,Pop,Girl Power,2018,
Up,Sena Kana,Pop,Up,2019,
Ores Aixmis,Malou Kyriakopoulou,Pop,Nixta Ginontai Ta Thavmata,2019,Living room
Younger Now,Miley Cyrus,Pop,Malibu,2017,
Hozier,Hozier,Blues,Someone New,2014,
Fall,Davido,Pop,Fall,2017,
Bloom,Troye Sivan,Pop,Bloom,2018,
Everyday Is Christmas,Sia,Holiday,Snowman,2017,
The Great War,Sabaton,Metal,Great War,2019,
Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,2012,
Pong Dance,Vigiland,Pop,Pong Dance,2016,
Gravity,Jason Chen,Pop,Best Friend,2011,
Undefined,Simply Three,Rock,Rain,2017,
Younger Now,Miley Cyrus,Pop,Malibu,2017,Living room
Crash My Party,Luke Bryan,Country,Roller Coaster,2013,
Lindsey Stirling,Lindsey Stirling,Pop,Crystallize,2012,
Fight Song,Rachel Platten,Pop,Fight Song,2015,
Silly Walks Discotheque Presents Brighter Days Riddim,Silly Walks Movement,Reggae,Soul Provider,2013,
Charice,Jake Zyrus,Pop,Pyramid,2010,
Adobe Sessions,Cody Jinks,Country,Cast No Stones,2015,
Black Widow,In This Moment,Metalcore,Sick Like Me,2014,
Saula,Lava Lava,Pop,Saula,2019,
Dear Society,Madison Beer,Pop,Dear Society,2019,
The Git Up,Blanco Brown,Country,The Git Up,2019,
Crash My Party,Luke Bryan,Country,Roller Coaster,2013,Living room
Sucker Punch,Sigrid,Pop,Strangers,2017,
If I Know Me,Morgan Wallen,Country,The Way I Talk,2016,
I Will Never Let You Down,Rita Ora,Africa,I Will Never Let You Down,2014,
The Unforgiving,Within Temptation,Metal,Faster,2010,
Sex Rock,Alex Angel,Rock,Easy World,2018,
I Want You,Daniel Skye,Pop,I Want You,2018,
Old Dominion,Old Dominion,Country,Make It Sweet,2018,
From The Outside,Hey Violet,Pop,Guys My Age,2016,
Not Your Barbie Girl,Ava Max,Pop,Not Your Barbie Girl,2018,
Sucker Punch,Sigrid,Pop,Strangers,2017,Living room
Double Vision,Prince Royce,Pop,Back It Up,2015,
Inna,Inna,Pop,Bad Boys,2015,
True Colors,Zedd,House,Beautiful Now,2015,
This Is Acting,Sia,Pop,Bird Set Free,2015,
Get Weird,Little Mix,Pop,Black Magic,2015,
The Bright Side,Lenka,Pop,Blue Skies,2015,
Stories,Avicii,Pop,Broken Arrows,2015,
This Is Acting,Sia,Pop,Cheap Thrills,2015,
Pentatonix,Pentatonix,Pop,Cheerleader,2015,
Double Vision,Prince Royce,Pop,Back It Up,2015,Kitchen
The New Classic,Iggy Azalea,Pop,Black Widow,2014,
Home State,Jordan Davis,Country,Take It From Me,2017,
Starting Over,Niykee Heaton,Pop,Mascara,2018,
Back To Life,Rascal Flatts,Country,Back To Life,2018,
Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,2018,
Sinnga,Vijay Prakash,South Asia,Shaane Top Agavle,2019,
Welcome Reality,Nero,Dubstep,Promises,2011,
Me And My Broken Heart,Push Baby,Pop,Me And My Broken Heart,2014,
The New Classic,Iggy Azalea,Pop,Black Widow,2014,Living room
Sweet Talker,Jessie J,Pop,Masterpiece,2014,
Tetema,Rayvanny,Pop,Tetema,2019,
Your Name,Radwimps,Rock,Dream Lantern,2016,
My Everything,Ariana Grande,Pop,One Last Time,2014,
Essentials,Major Lazer,Moombahton,Light It Up,2015,
My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,2010,
Dangerous Woman,Ariana Grande,Pop,Let Me Love You,2016,
Nine Track Mind,Charlie Puth,Pop,Dangerously,2015,
Already Gone,Matthew David Morris,Pop,Already Gone,2018,
Chapati,Undercover,Trance,Chapati,2014,
Sweet Talker,Jessie J,Pop,Masterpiece,2014,Living room
Voicenotes,Charlie Puth,Pop,The Way I Am,2018,
Always In Between,Jess Glynne,Pop,Thursday,2018,
Thoughts,Sasha Sloan,Pop,Thoughts,2019,
Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,
Life Is Unfair,Matthew David Morris,Pop,Life Is Unfair,2017,
Icarus Falls,Zayn Malik,Pop,Still Got Time,2017,
Sad Forever,Lauv,Pop,Sad Forever,2019,
Speak Now,Taylor Swift,Pop,Mine,2010,
Bismarck,Sabaton,Metal,Bismarck,2019,
Jade Eagleson,Jade Eagleson,Country,Got Your Name On It,2018,
Voicenotes,Charlie Puth,Pop,The Way I Am,2018,Patio
Holo,Limbo,Pop,Airplane Mode,2017,
Voicenotes,Charlie Puth,Pop,Attention,2017,
American Beauty,Tori V,Pop,Barbie Girl,2017,
One More Light,Linkin Park,Electropop,Battle Symphony,2017,
Love Always,Shane Filan,Pop,Beautiful In White,2017,
Bestie,Yungen,Pop,Bestie,2017,
Pop Food,Jack Stauber,Pop,Buttercup,2017,
Chanel,Frank Ocean,Pop,Chanel,2017,
Cherry Cola,Kuwada,Pop,Cherry Cola,2017,
Sappho,Zolita,Pop,Come Home With Me,2017,
Holo,Limbo,Pop,Airplane Mode,2017,Patio
Medicine Remixes,Jennifer Lopez,Pop,Medicine,2019,
Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,2017,
Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,2017,Kitchen
This Is Acting,Sia,Pop,Alive,2013,
This Is Acting,Sia,Pop,Move Your Body,2016,
This Is Acting,Sia,Pop,Unstoppable,2016,
This Is Acting,Sia,Pop,Alive,2013,Patio
The New Classic,Iggy Azalea,Pop,Bounce,2013,
The New Classic,Iggy Azalea,Pop,Change Your Life,2013,
The New Classic,Iggy Azalea,Pop,Work,2013,
The New Classic,Iggy Azalea,Pop,Work,2013,Kitchen
Talk That Talk,Rihanna,Pop,Where Have You Been,2011,
Avril Lavigne,Avril Lavigne,Pop,Hello Kitty,2013,
Who You Are,Jessie J,Pop,Who You Are,2011,
Heart Miles,Jai Waetford,Pop,Shy,2015,
Team,Iggy Azalea,Pop,Team,2016,
Sweetener,Ariana Grande,Pop,Breathin,2018,
The African Gentleman,Ric Hassani,Pop,Only You,2017,
All The Little Lights,Passenger,Pop,Let Her Go,2012,
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,
Talk That Talk,Rihanna,Pop,Where Have You Been,2011,Patio
Torches,Foster The People,Indie,Houdini,2011,
Glory Days,Little Mix,Pop,Touch,2016,
Pass The Jar,Zac Brown Band,Country,Colder Weather,2010,
If I Know Me,Morgan Wallen,Country,Up Down,2018,
Super,Janob Rasul,Pop,Super,2019,
Ohh Lala La,Squash,Reggae,Ohh Lala La,2018,
Exotic,Priyanka Chopra,Pop,Exotic,2012,
Girls Just Gotta Have Fun,Sophia Grace Brownlee,Pop,Girls Just Gotta Have Fun,2013,
Torches,Foster The People,Indie,Houdini,2011,Kitchen
High Expectations,Mabel,Pop,Bad Behaviour,2019,
High Expectations,Mabel,Pop,Mad Love,2019,
