amount,payment_method,private_visibility,receiver
116,debit card,True,Amelia
49,,False,Mahmoud
33,credit card,False,Margaret
97,debit card,False,Emma
161,,False,Isabella
31,credit card,False,Rachel
50,debit card,False,Mary
18,,False,Emma
96,app balance,False,Mahmoud
89,debit card,False,Rachel
130,,True,Tom
169,credit card,False,Yumi
96,debit card,False,Amelia
215,,True,Mahmoud
42,app balance,False,Victoria
154,debit card,True,Mary
132,,False,Rachel
84,credit card,False,Svetlana
110,debit card,False,Tom
161,,False,Jerry
79,app balance,True,Victoria
34,app balance,False,Rachel
58,,False,Tom
141,debit card,False,Bob
162,credit card,False,Rachel
134,,False,Bob
53,app balance,True,Mary
21,app balance,False,Emma
61,,False,Mahmoud
29,credit card,False,Margaret
83,credit card,False,Margaret
35,,False,Yumi
16,debit card,True,Mary
29,credit card,False,Amelia
50,,False,Rachel
42,debit card,False,Peter
123,app balance,False,Wilson
80,,False,Rachel
45,debit card,False,Jerry
164,app balance,False,Emma
14,,False,Victoria
36,credit card,False,Bob
44,app balance,False,Wilson
53,,True,Amelia
73,debit card,False,Mahmoud
117,debit card,True,Tom
120,,False,Jerry
125,credit card,False,Wilson
166,debit card,False,Rachel
94,,False,Margaret
16,credit card,False,Isabella
84,app balance,False,Amelia
93,,False,Isabella
112,credit card,False,Mahmoud
34,app balance,False,Diego
86,,False,Emma
65,credit card,False,Amelia
164,,False,Isabella
109,app balance,False,Wilson
12,,False,Diego
44,credit card,True,Amelia
155,,False,Amelia
119,credit card,False,Svetlana
138,,True,Svetlana
48,debit card,False,Rachel
147,,True,Peter
151,app balance,False,Victoria
9,,False,Margaret
94,debit card,True,Wilson
115,,True,Amelia
82,debit card,False,Jerry
117,,False,Margaret
93,credit card,False,Mary
108,,True,Diego
105,credit card,False,Mary
60,,False,Mary
115,app balance,False,Bob
175,,False,Margaret
168,app balance,False,Victoria
42,,True,Wilson
155,credit card,False,Yumi
157,,False,Isabella
51,debit card,False,Peter
79,,False,Isabella
169,debit card,False,Svetlana
83,,False,Mahmoud
46,debit card,False,Bob
112,,False,Amelia
27,credit card,False,Svetlana
30,,True,Mary
94,app balance,False,Yumi
171,,False,Amelia
138,,False,Peter
101,,False,Peter
79,,False,Peter
30,,False,Mahmoud
11,,True,Jerry
6,,False,Victoria
153,,False,Amelia
4,,True,Rachel
7,,True,Jerry
142,,True,Rachel
52,,False,Wilson
132,,False,Wilson
35,,False,Bob
175,,False,Emma
109,,False,Yumi
13,,False,Victoria
56,,False,Mahmoud
2,,True,Isabella
134,,False,Mahmoud
124,,False,Svetlana
111,,False,Diego
144,,True,Yumi
84,,False,Victoria
117,,False,Mary
51,,False,Mary
103,,False,Mary
71,,False,Isabella
162,,False,Diego
35,,False,Svetlana
6,,True,Svetlana
150,,False,Margaret
135,,False,Amelia
67,,False,Tom
23,,True,Bob
46,,True,Margaret
71,,False,Peter
84,,False,Jerry
14,,False,Amelia
144,,False,Isabella
