car_name,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price,type
Altima,2019-03-07,New York,2019-03-04,Port Authority Station,10:30,84,Standard
Camry,2019-03-07,New York,2019-03-04,JFK International Airport,10:30,99,Standard
Civic,2019-03-07,New York,2019-03-04,JFK International Airport,10:30,90,Standard
Corolla,2019-03-07,New York,2019-03-04,JFK International Airport,10:30,102,Standard
Elantra,2019-03-07,New York,2019-03-04,Port Authority Station,10:30,93,Standard
Prius,2019-03-07,New York,2019-03-04,Port Authority Station,10:30,81,Standard
Accord,2019-03-07,New York,2019-03-06,Grand Central Station,18:30,30,Standard
Camry,2019-03-07,New York,2019-03-06,JFK International Airport,18:30,32,Standard
Civic,2019-03-07,New York,2019-03-06,JFK International Airport,18:30,35,Standard
Corolla,2019-03-07,New York,2019-03-06,Grand Central Station,18:30,29,Standard
Elantra,2019-03-07,New York,2019-03-06,JFK International Airport,18:30,30,Standard
Accord,2019-03-14,Phoenix,2019-03-09,Sky Harbor International Airport,16:30,165,Standard
Camry,2019-03-14,Phoenix,2019-03-09,Sky Harbor International Airport,16:30,170,Standard
Prius,2019-03-14,Phoenix,2019-03-09,Sky Harbor International Airport,16:30,160,Standard
Accord,2019-03-14,,2019-03-09,Sky Harbor International Airport,16:30,165,Standard
Accord,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,102,Standard
Camry,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,102,Standard
Civic,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,108,Standard
Fusion,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,96,Standard
Accord,2019-03-07,New York,2019-03-04,Grand Central Station,18:00,69,Standard
Altima,2019-03-07,New York,2019-03-04,Port Authority Station,18:00,84,Standard
Camry,2019-03-07,New York,2019-03-04,JFK International Airport,18:00,99,Standard
Civic,2019-03-07,New York,2019-03-04,JFK International Airport,18:00,90,Standard
Corolla,2019-03-07,New York,2019-03-04,Grand Central Station,18:00,66,Standard
Elantra,2019-03-07,New York,2019-03-04,Port Authority Station,18:00,93,Standard
Prius,2019-03-07,New York,2019-03-04,Port Authority Station,18:00,81,Standard
Altima,2019-03-07,,2019-03-04,Port Authority Station,18:00,84,Standard
Camry,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,35,Standard
Cooper,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,29,Compact
Cruze,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,35,Standard
Equinox,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,53,Full-size
Fit,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,26,Compact
Forester,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,41,Full-size
Forte,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,29,Compact
GTI,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,30,Compact
Tucson,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,50,Full-size
Camry,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,76,Standard
Cooper,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,54,Compact
Cruze,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,66,Standard
Equinox,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,90,Full-size
Fit,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,54,Compact
Forester,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,76,Full-size
Forte,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,60,Compact
GTI,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,54,Compact
Accord,2019-03-07,Phoenix,2019-03-06,Sky Harbor International Airport,18:00,38,Standard
Camry,2019-03-07,Phoenix,2019-03-06,Sky Harbor International Airport,18:00,31,Standard
Prius,2019-03-07,Phoenix,2019-03-06,Sky Harbor International Airport,18:00,30,Standard
