car_name,car_type,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price
Chevrolet Cruze,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,51
Honda Civic,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,66
Toyota Camry,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,60
Toyota Prius,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,60
Chevrolet Cruze,Standard,2019-03-13,,2019-03-10,Estacion Buenavista,09:30,51
Chevrolet Equinox,Full-size,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,196
Hyundai Tucson,Full-size,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,168
Subaru Forester,Full-size,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,196
Honda Fit,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,112
Kia Forte,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,116
Mini Cooper,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,120
Volkswagen GTI,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,96
Honda Accord,Standard,2019-03-09,New York,2019-03-07,Grand Central Station,13:30,64
Honda Civic,Standard,2019-03-09,New York,2019-03-07,JFK International Airport,13:30,68
Hyundai Elantra,Standard,2019-03-09,New York,2019-03-07,Port Authority Station,13:30,64
Nissan Altima,Standard,2019-03-09,New York,2019-03-07,Port Authority Station,13:30,60
Toyota Camry,Standard,2019-03-09,New York,2019-03-07,JFK International Airport,13:30,62
Toyota Corolla,Standard,2019-03-09,New York,2019-03-07,Grand Central Station,13:30,56
Toyota Prius,Standard,2019-03-09,New York,2019-03-07,Port Authority Station,13:30,60
Hyundai Elantra,Standard,2019-03-08,New York,2019-03-02,Port Authority Station,15:00,144
Toyota Corolla,Standard,2019-03-08,New York,2019-03-02,Grand Central Station,15:00,192
Hyundai Tucson,Full-size,2019-03-08,Anaheim,2019-03-02,Anaheim Intermodal Center,15:00,216
Hyundai Tucson,Full-size,2019-03-08,,2019-03-02,Anaheim Intermodal Center,15:00,216
Chevrolet Cruze,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,58
Honda Accord,Standard,2019-03-05,London,2019-03-03,Gatwick International Airport,12:00,68
Hyundai Elantra,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,70
Nissan Altima,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,72
Toyota Prius,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,66
Chevrolet Cruze,Standard,2019-03-05,,2019-03-03,Heathrow International Airport,12:00,58
Chevrolet Cruze,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,38
Honda Civic,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,36
Toyota Camry,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,38
Toyota Prius,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,40
Chevrolet Cruze,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,99
Ford Fusion,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,78
Honda Accord,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,102
Hyundai Elantra,Standard,2019-03-07,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,96
Nissan Altima,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,99
Toyota Camry,Standard,2019-03-07,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,87
Chevrolet Bolt,Compact,2019-03-07,Anaheim,2019-03-02,John Wayne Airport,16:30,165
Honda Fit,Compact,2019-03-07,Anaheim,2019-03-02,Anaheim Intermodal Center,16:30,105
Kia Forte,Compact,2019-03-07,Anaheim,2019-03-02,Anaheim Intermodal Center,16:30,130
Volkswagen GTI,Compact,2019-03-07,Anaheim,2019-03-02,John Wayne Airport,16:30,120
Volkswagen Golf,Compact,2019-03-07,Anaheim,2019-03-02,John Wayne Airport,16:30,175
Honda Fit,Compact,2019-03-07,,2019-03-02,Anaheim Intermodal Center,16:30,105
Hyundai Elantra,Standard,2019-03-11,Seattle,2019-03-05,King Street Station,14:00,168
Toyota Prius,Standard,2019-03-11,Seattle,2019-03-05,King Street Station,14:00,168
Toyota Prius,Standard,2019-03-11,,2019-03-05,King Street Station,14:00,168
Chevrolet Bolt,Compact,2019-03-11,San Francisco,2019-03-07,Salesforce Transit Center,17:00,92
Kia Forte,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,112
Mini Cooper,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,88
Nissan Leaf,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,128
Volkswagen GTI,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,104
Honda Accord,Standard,2019-03-12,New York,2019-03-10,Grand Central Station,15:30,70
Honda Civic,Standard,2019-03-12,New York,2019-03-10,JFK International Airport,15:30,60
Hyundai Elantra,Standard,2019-03-12,New York,2019-03-10,Port Authority Station,15:30,70
Nissan Altima,Standard,2019-03-12,New York,2019-03-10,Port Authority Station,15:30,62
Toyota Camry,Standard,2019-03-12,New York,2019-03-10,JFK International Airport,15:30,58
Toyota Corolla,Standard,2019-03-12,New York,2019-03-10,Grand Central Station,15:30,70
Toyota Prius,Standard,2019-03-12,New York,2019-03-10,Port Authority Station,15:30,70
Honda Civic,Standard,2019-03-12,,2019-03-10,JFK International Airport,15:30,60
Honda Accord,Standard,2019-03-09,Washington,2019-03-07,Union Station,13:30,52
Honda Civic,Standard,2019-03-09,Washington,2019-03-07,Union Station,13:30,62
Toyota Camry,Standard,2019-03-09,Washington,2019-03-07,Dulles International Airport,13:30,60
Toyota Prius,Standard,2019-03-09,Washington,2019-03-07,Dulles International Airport,13:30,70
Honda Accord,Standard,2019-03-09,,2019-03-07,Union Station,13:30,52
Chevrolet Cruze,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,80
Honda Civic,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,72
Toyota Camry,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,72
Toyota Prius,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,76
Chevrolet Bolt,Compact,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,54
Chevrolet Cruze,Standard,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,66
Chevrolet Equinox,Full-size,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,74
Honda Accord,Standard,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,74
Honda Fit,Compact,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,60
Hyundai Elantra,Standard,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,64
Hyundai Tucson,Full-size,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,74
Kia Forte,Compact,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,56
Mini Cooper,Compact,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,56
Nissan Altima,Standard,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,72
Chevrolet Bolt,Compact,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,60
Chevrolet Cruze,Standard,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,58
Chevrolet Equinox,Full-size,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,88
Honda Accord,Standard,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,68
Honda Fit,Compact,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,50
Hyundai Elantra,Standard,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,64
Hyundai Tucson,Full-size,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,78
Kia Forte,Compact,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,56
Mini Cooper,Compact,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,48
Chevrolet Cruze,Standard,2019-03-11,,2019-03-09,Pacific Central Station,16:30,58
Honda Accord,Standard,2019-03-09,Chicago,2019-03-04,O'Hare International Airport,20:00,175
Nissan Altima,Standard,2019-03-09,Chicago,2019-03-04,O'Hare International Airport,20:00,155
Toyota Prius,Standard,2019-03-09,Chicago,2019-03-04,O'Hare International Airport,20:00,165
Honda Accord,Standard,2019-03-09,,2019-03-04,O'Hare International Airport,20:00,175
Chevrolet Cruze,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,99
Ford Fusion,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,93
Honda Accord,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,102
Hyundai Elantra,Standard,2019-03-09,Anaheim,2019-03-06,Anaheim Intermodal Center,15:30,99
Nissan Altima,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,102
Toyota Camry,Standard,2019-03-09,Anaheim,2019-03-06,Anaheim Intermodal Center,15:30,72
Honda Accord,Standard,2019-03-09,,2019-03-06,John Wayne Airport,15:30,102
Chevrolet Equinox,Full-size,2019-03-10,Sacramento,2019-03-08,SMF International Airport,15:00,96
Honda CR-V,Full-size,2019-03-10,Sacramento,2019-03-08,Sacramento Valley Station,15:00,76
Nissan Rogue,Full-size,2019-03-10,Sacramento,2019-03-08,Sacramento Valley Station,15:00,86
Toyota Highlander,Full-size,2019-03-10,Sacramento,2019-03-08,SMF International Airport,15:00,86
Nissan Rogue,Full-size,2019-03-10,,2019-03-08,Sacramento Valley Station,15:00,86
Honda Accord,Standard,2019-03-05,New York,2019-03-04,Grand Central Station,14:00,24
Honda Civic,Standard,2019-03-05,New York,2019-03-04,JFK International Airport,14:00,33
Hyundai Elantra,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,14:00,31
Nissan Altima,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,14:00,26
Toyota Camry,Standard,2019-03-05,New York,2019-03-04,JFK International Airport,14:00,36
Toyota Corolla,Standard,2019-03-05,New York,2019-03-04,Grand Central Station,14:00,27
Toyota Prius,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,14:00,27
Chevrolet Bolt,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,24
Honda Fit,Compact,2019-03-05,New York,2019-03-04,Grand Central Station,15:00,25
Kia Forte,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,28
Mini Cooper,Compact,2019-03-05,New York,2019-03-04,JFK International Airport,15:00,28
Nissan Leaf,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,22
Volkswagen Golf,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,30
Honda Fit,Compact,2019-03-05,,2019-03-04,Grand Central Station,15:00,25
Honda Civic,Standard,2019-03-13,Los Angeles,2019-03-08,Union Station,10:00,165
Toyota Corolla,Standard,2019-03-13,Los Angeles,2019-03-08,Union Station,10:00,150
Honda Civic,Standard,2019-03-13,,2019-03-08,Union Station,10:00,165
Chevrolet Cruze,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,37
Honda Civic,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,32
Honda Fit,Compact,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,20
Hyundai Elantra,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,28
Jeep Cherokee,Full-size,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,43
Toyota Corolla,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,31
Toyota Highlander,Full-size,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,46
Toyota RAV4,Full-size,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,42
Volkswagen GTI,Compact,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,23
Chevrolet Cruze,Standard,2019-03-10,,2019-03-09,Union Station,10:00,37
Ford Fusion,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,93
Honda Civic,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,87
Hyundai Elantra,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,69
Toyota Prius,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,87
Hyundai Elantra,Standard,2019-03-04,,2019-03-01,King Street Station,18:30,69
Chevrolet Cruze,Standard,2019-03-07,Toronto,2019-03-04,Toronto Pearson International Airport,16:30,132
Toyota Camry,Standard,2019-03-07,Toronto,2019-03-04,Toronto Pearson International Airport,16:30,87
Toyota Camry,Standard,2019-03-07,,2019-03-04,Toronto Pearson International Airport,16:30,87
Ford Fusion,Standard,2019-03-07,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,36
Honda Accord,Standard,2019-03-07,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,33
Hyundai Elantra,Standard,2019-03-07,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,31
Ford Fusion,Standard,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,93
Honda Accord,Standard,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,75
