car_name,car_type,city,end_date,pickup_location,pickup_time,price_per_day,start_date,add_insurance
Buick Regal Sportback,Sedan,Chicago,2019-03-07,Chicago Union Station,15:30,32.00,2019-03-01,
Lexus GS,Sedan,Chicago,2019-03-07,O'Hare International Airport,15:30,27.00,2019-03-01,
Skoda Octavia,Sedan,Chicago,2019-03-07,Chicago Union Station,15:30,25.00,2019-03-01,
Audi A8,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,30.00,2019-03-12,
Buick Regal Sportback,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,34.00,2019-03-12,
Subaru Impreza,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,37.00,2019-03-12,
Volvo S90,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,40.00,2019-03-12,
Buick Regal Sportback,Sedan,Portland,2019-03-10,PDX International Airport,09:30,27.00,2019-03-08,
Dodge Charger,Sedan,Portland,2019-03-10,PDX International Airport,09:30,36.00,2019-03-08,
GMC Terrain,SUV,Portland,2019-03-10,PDX International Airport,09:30,42.00,2019-03-08,
Jaguar F-Pace,SUV,Portland,2019-03-10,PDX International Airport,09:30,38.00,2019-03-08,
Kia Ceed,Hatchback,Portland,2019-03-10,PDX International Airport,09:30,30.00,2019-03-08,
Nissan Qashqai,Hatchback,Portland,2019-03-10,PDX International Airport,09:30,31.00,2019-03-08,
SEAT Cordoba,Sedan,Portland,2019-03-10,PDX International Airport,09:30,35.00,2019-03-08,
SEAT Leon,Hatchback,Portland,2019-03-10,PDX International Airport,09:30,25.00,2019-03-08,
Subaru Impreza,Sedan,Portland,2019-03-10,PDX International Airport,09:30,22.00,2019-03-08,
Dacia Duster,SUV,Portland,2019-03-10,Union Station,10:00,37.00,2019-03-08,
Buick Regal Sportback,Sedan,Philadelphia,2019-03-14,PHL International Airport,17:00,28.00,2019-03-13,
Citroen C5,SUV,Philadelphia,2019-03-14,PHL International Airport,17:00,47.00,2019-03-13,
Dodge Charger,Sedan,Philadelphia,2019-03-14,Intercity Terminal,17:00,34.00,2019-03-13,
Fiat Panda,Hatchback,Philadelphia,2019-03-14,Intercity Terminal,17:00,24.00,2019-03-13,
GMC Terrain,SUV,Philadelphia,2019-03-14,PHL International Airport,17:00,45.00,2019-03-13,
Hyundai Ioniq,Sedan,Philadelphia,2019-03-14,30th Street Station,17:00,25.00,2019-03-13,
Kia Ceed,Hatchback,Philadelphia,2019-03-14,PHL International Airport,17:00,27.00,2019-03-13,
Lexus GS,Sedan,Philadelphia,2019-03-14,30th Street Station,17:00,27.00,2019-03-13,
Mitsubishi Outlander,SUV,Philadelphia,2019-03-14,Intercity Terminal,17:00,44.00,2019-03-13,
Renault Clio,Hatchback,Philadelphia,2019-03-14,PHL International Airport,17:00,30.00,2019-03-13,
Audi A8,Sedan,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,36.00,2019-03-09,
Citroen C5,SUV,Paris,2019-03-14,Orly International Airport,13:00,40.00,2019-03-09,
Dacia Duster,SUV,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,46.00,2019-03-09,
Hyundai Ioniq,Sedan,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,30.00,2019-03-09,
Kia Ceed,Hatchback,Paris,2019-03-14,Orly International Airport,13:00,32.00,2019-03-09,
Mazda CX-5,SUV,Paris,2019-03-14,Orly International Airport,13:00,45.00,2019-03-09,
Mitsubishi Outlander,SUV,Paris,2019-03-14,Orly International Airport,13:00,39.00,2019-03-09,
Peugeot 208,Hatchback,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,25.00,2019-03-09,
SEAT Cordoba,Sedan,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,34.00,2019-03-09,
SEAT Leon,Hatchback,Paris,2019-03-14,Orly International Airport,13:00,25.00,2019-03-09,
Fiat Panda,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,28.00,2019-03-03,
Kia Ceed,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,30.00,2019-03-03,
SEAT Leon,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,33.00,2019-03-03,
Vauxhaull Astra,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,33.00,2019-03-03,
Audi A8,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,30.00,2019-03-06,
Buick Regal Sportback,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,32.00,2019-03-06,
Dodge Charger,Sedan,Los Angeles,2019-03-09,Union Station,15:00,27.00,2019-03-06,
Fiat Panda,Hatchback,Los Angeles,2019-03-09,LAX International Airport,15:00,29.00,2019-03-06,
GMC Terrain,SUV,Los Angeles,2019-03-09,LAX International Airport,15:00,44.00,2019-03-06,
Hyundai Ioniq,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,27.00,2019-03-06,
Kia Ceed,Hatchback,Los Angeles,2019-03-09,LAX International Airport,15:00,26.00,2019-03-06,
Lexus GS,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,35.00,2019-03-06,
Mazda 3,Hatchback,Los Angeles,2019-03-09,LAX International Airport,15:00,26.00,2019-03-06,
Mitsubishi Outlander,SUV,Los Angeles,2019-03-09,Union Station,15:00,39.00,2019-03-06,
Audi A8,Sedan,Los Angeles,2019-03-07,Union Station,15:30,33.00,2019-03-01,
Buick Regal Sportback,Sedan,Los Angeles,2019-03-07,LAX International Airport,15:30,33.00,2019-03-01,
Fiat Panda,Hatchback,Los Angeles,2019-03-07,LAX International Airport,15:30,29.00,2019-03-01,
Kia Ceed,Hatchback,Los Angeles,2019-03-07,Union Station,15:30,22.00,2019-03-01,
Renault Clio,Hatchback,Los Angeles,2019-03-07,Union Station,15:30,23.00,2019-03-01,
SEAT Leon,Hatchback,Los Angeles,2019-03-07,LAX International Airport,15:30,29.00,2019-03-01,
Subaru Impreza,Sedan,Los Angeles,2019-03-07,Union Station,15:30,32.00,2019-03-01,
