city,cuisine,has_live_music,phone_number,price_range,restaurant_name,serves_alcohol,street_address,date,party_size,time
San Jose,American,FALSE,408-971-8523,moderate,71 Saint Peter,TRUE,71 North San Pedro Street,,,
San Jose,American,FALSE,408-261-5787,moderate,Bazille,TRUE,2400 Forest Avenue,,,
San Jose,American,FALSE,408-292-4300,moderate,Billy Berk's,TRUE,99 South 1st Street,,,
San Jose,American,FALSE,408-343-7230,moderate,Bj's Restaurant & Brewhouse,TRUE,511 Coleman Avenue,,,
San Jose,American,FALSE,408-816-7251,expensive,Black Sheep Brasserie,TRUE,1202 Lincoln Avenue,,,
San Jose,American,FALSE,408-238-9110,moderate,Chuck E. Cheese's,FALSE,2445 Fontaine Road,,,
San Jose,American,FALSE,408-292-7444,moderate,Famous Dave's Bar-b-que,FALSE,61 Curtner Avenue,,,
San Jose,American,FALSE,408-287-6969,moderate,Firehouse No.1 Gastropub,TRUE,69 North San Pedro Street,,,
San Jose,American,TRUE,408-279-4888,moderate,Hukilau,TRUE,230 Jackson Street,,,
San Jose,American,FALSE,408-998-1440,moderate,John's Of Willow Glen,FALSE,1238 Lincoln Avenue,,,
Palo Alto,American,FALSE,650-688-2614,moderate,Bazille,TRUE,550 Stanford Shopping Center,,,
Palo Alto,American,FALSE,650-656-8180,moderate,Bird Dog,FALSE,420 Ramona Street,,,
Palo Alto,American,FALSE,650-327-0284,moderate,Bistro Elan,FALSE,2363 Birch Street,,,
Palo Alto,American,FALSE,650-326-8640,moderate,Cafe Brioche,TRUE,445 California Avenue,,,
Palo Alto,American,FALSE,650-493-6787,moderate,Cibo Restaurant & Bar,FALSE,3398 El Camino Real,,,
Palo Alto,American,FALSE,650-322-7509,moderate,Local Union 271,FALSE,271 University Avenue,,,
Palo Alto,American,FALSE,650-321-3514,moderate,Palo Alto Grill,TRUE,140 University Avenue,,,
Milpitas,Indian,FALSE,408-435-5500,moderate,Anjappar Chettinad Restaurant,FALSE,Milpitas Square,,,
Milpitas,Indian,FALSE,408-941-1700,moderate,Aria Dining & Banquets Fine Indian Cuisine,FALSE,212 Ranch Drive,,,
Milpitas,Indian,FALSE,408-833-6333,moderate,Bezawada,FALSE,127 Dixon Road,,,
Milpitas,Indian,FALSE,408-945-1500,moderate,Vedas Indian Restaurant,TRUE,560 North Abel Street,,,
Milpitas,Take-out,FALSE,408-935-8176,moderate,Olive Garden Italian Restaurant,TRUE,1350 Great Mall Drive,,,
Milpitas,Take-out,FALSE,669-213-9385,moderate,Red Chillies The Malabar Cuisine,FALSE,167 South Main Street,,,
Berkeley,Ethiopian,FALSE,510-653-3456,moderate,Addis Restaurant,FALSE,6100 Telegraph Avenue,,,
Berkeley,Ethiopian,FALSE,510-923-6181,moderate,Barcote | Ethiopian Restaurant,FALSE,6430 Telegraph Avenue,,,
Berkeley,Ethiopian,FALSE,510-843-1992,inexpensive,Ethiopia Restaurant,FALSE,2955 Telegraph Avenue,,,
Berkeley,Ethiopian,FALSE,510-883-0167,moderate,Finfine Restaurant,FALSE,2556 Telegraph Avenue,,,
Palo Alto,Seafood,FALSE,650-327-2222,moderate,Odori Japanese Cuisine,FALSE,2111 El Camino Real,,,
Palo Alto,Seafood,FALSE,650-330-1782,moderate,P.f. Chang's,TRUE,900 Stanford Shopping Center Bldg. W Bldg. W,,,
Palo Alto,Seafood,FALSE,650-493-9188,moderate,The Fish Market,TRUE,3150 El Camino Real,,,
Palo Alto,Seafood,FALSE,650-213-1111,very expensive,The Sea By Alexander's Steakhouse,FALSE,4269 El Camino Real,,,
San Mateo,Seafood,FALSE,650-581-1305,moderate,Andes Cafe San Mateo,FALSE,2317 South El Camino Real,,,
San Mateo,Seafood,FALSE,650-348-7810,moderate,Fuji Sukiyaki,FALSE,428 East 3rd Avenue,,,
San Mateo,Seafood,FALSE,650-347-1228,inexpensive,Golden Wok,FALSE,570 South Norfolk Street,,,
San Mateo,Seafood,FALSE,650-340-8974,moderate,Joy Sushi,TRUE,30 South B Street,,,
San Mateo,Seafood,FALSE,650-342-0288,moderate,Ni-mo Japanese Cuisine,FALSE,73 East 3rd Avenue,,,
San Mateo,Seafood,FALSE,650-315-2827,moderate,Seapot,TRUE,1952 South El Camino Real,,,
San Mateo,Seafood,FALSE,650-349-3474,moderate,The Fish Market,TRUE,1855 South Norfolk Street,,,
San Mateo,Seafood,FALSE,650-349-1845,expensive,Top Of The Market,TRUE,1855 South Norfolk Street,,,
San Mateo,Seafood,FALSE,650-358-0298,moderate,Yuzu,FALSE,54 37th Avenue,,,
San Bruno,Filipino,FALSE,650-225-9221,inexpensive,Cabalen,FALSE,495 San Mateo Avenue,,,
San Bruno,Filipino,FALSE,650-588-6078,moderate,Isla Restaurant,TRUE,448 San Mateo Avenue,,,
San Bruno,Filipino,FALSE,650-952-5739,inexpensive,Kuya's Asian Cuisine,FALSE,460 San Mateo Avenue,,,
San Jose,Seafood,FALSE,408-269-8383,moderate,Ariake,FALSE,1008 Blossom Hill Road,,,
San Jose,Seafood,FALSE,408-238-2888,moderate,Big T's Seafood Market Bar,FALSE,1694 Tully Road,,,
San Jose,Seafood,FALSE,408-289-8879,moderate,Blue Water Seafood And Crab,TRUE,860 Willow Street,,,
San Jose,Seafood,FALSE,408-649-6741,moderate,Claw Shack,FALSE,1696 Berryessa Road,,,
San Jose,Seafood,FALSE,408-392-0087,moderate,Honba Sushi,FALSE,1759 Technology Drive,,,
San Jose,Seafood,FALSE,408-365-9000,moderate,Kampai Sushi & Grill,FALSE,171 Branham Lane #3,,,
San Jose,Seafood,FALSE,408-286-1738,moderate,Mariscos San Juan 2,FALSE,1718 Senter Road,,,
San Jose,Seafood,FALSE,408-440-2468,moderate,Mavericks Mexican Grill,FALSE,1111 Meridian Avenue Ste 5,,,
San Jose,Seafood,FALSE,408-225-1420,moderate,Olive Garden Italian Restaurant,TRUE,940 Blossom Hill Road,,,
San Jose,Seafood,FALSE,408-971-1700,expensive,Scott's Seafood,FALSE,185 Park Avenue,,,
San Jose,Italian,FALSE,408-369-9820,moderate,Al Castello Ristorante,FALSE,2083 Camden Avenue,,,
San Jose,Italian,FALSE,408-227-5502,moderate,Angelo's Italian Restaurant,TRUE,436 Blossom Hill Road,,,
San Jose,Italian,FALSE,408-279-4922,moderate,Antonella's Ristorante,TRUE,1701 Park Avenue,,,
San Jose,Italian,FALSE,408-278-4555,expensive,Arcadia,TRUE,100 West San Carlos Street,,,
San Jose,Italian,FALSE,408-226-1444,moderate,Buca Di Beppo Italian Restaurant,TRUE,925 Blossom Hill Road,,,
San Jose,Italian,FALSE,408-618-5455,moderate,Enoteca La Storia Downtown,TRUE,320 West Saint John Street,,,
San Jose,Italian,FALSE,408-446-9644,moderate,Frankie Johnnie & Luigi Too,TRUE,5245 Prospect Road,,,
San Jose,Italian,FALSE,408-264-5781,moderate,Giorgio's Italian Food & Pizzeria,FALSE,1445 Foxworthy Avenue,,,
San Jose,Italian,FALSE,408-423-8973,moderate,Maggiano's Little Italy,TRUE,3055 Olin Avenue Suite 1000,,,
San Jose,Italian,FALSE,408-217-9327,moderate,Paesano,FALSE,350 West Julian Street,,,
Pleasanton,Italian,FALSE,925-484-3878,moderate,De La Torre's Trattoria,FALSE,6025 West Las Positas Boulevard,,,
Pleasanton,Italian,FALSE,925-425-0099,moderate,Forno Vecchio,FALSE,680 Main Street,,,
Pleasanton,Italian,FALSE,925-846-2555,moderate,Gay 90's Pizza Co.,FALSE,288 Main Street,,,
Pleasanton,Italian,FALSE,925-417-2222,moderate,Pastas Trattoria,TRUE,405 Main Street,,,
Pleasanton,Italian,FALSE,925-484-9600,moderate,Strizzi's Restaurant - Pleasanton,FALSE,649 Main Street,,,
Fairfield,Breakfast,FALSE,707-421-0835,moderate,Mimi's Cafe,TRUE,1650 Gateway Boulevard,,,
Cupertino,Malaysian,FALSE,408-777-8228,moderate,Merlion Restaurant & Bar,FALSE,19628 Stevens Creek Boulevard,,,
Cupertino,Malaysian,FALSE,408-777-8786,moderate,Rasa Sayang,FALSE,10895 South Blaney Avenue,,,
San Francisco,Vietnamese,FALSE,415-885-5180,moderate,Anh Hong,TRUE,808 Geary Street,,,
San Francisco,Vietnamese,FALSE,415-928-4977,moderate,Aux Delices,FALSE,2327 Polk Street,,,
San Francisco,Vietnamese,FALSE,415-292-6161,moderate,Co Nam,TRUE,1653 Polk Street,,,
San Francisco,Vietnamese,FALSE,415-724-2325,expensive,Khai,FALSE,655 Townsend Street,,,
San Francisco,Vietnamese,FALSE,415-668-8080,inexpensive,La Vie,FALSE,5830 Geary Boulevard,,,
San Francisco,Vietnamese,FALSE,415-397-2290,inexpensive,Lai Hong Lounge,FALSE,1416 Powell Street,,,
San Francisco,Vietnamese,FALSE,415-282-9088,inexpensive,Lotus Garden Vietnamese Cuisine,FALSE,3216 Mission Street,,,
San Francisco,Vietnamese,FALSE,415-665-1146,expensive,Thanh Long Restaurant,FALSE,4101 Judah Street,,,
San Francisco,Vietnamese,FALSE,415-861-8032,expensive,The Slanted Door,TRUE,One Ferry Building #3,,,
San Francisco,Vietnamese,FALSE,415-982-9828,moderate,Unicorn Pan-asian Cuisine,FALSE,191 Pine Street,,,
Fremont,Asian,FALSE,510-979-1368,moderate,Asian Pearl Seafood Restaurant,FALSE,43635 Boscell Road,,,
Fremont,Asian,FALSE,510-742-6221,moderate,Elephant Bar Restaurant,TRUE,39233 Fremont Boulevard,,,
Fremont,Asian,FALSE,510-687-9998,moderate,Spicy Town,FALSE,43683 Boscell Road,,,
Albany,American,FALSE,510-647-9999,moderate,Cafe Eugene,FALSE,1175 Solano Avenue,,,
Albany,American,FALSE,510-526-2233,moderate,Juanita & Maude,FALSE,825 San Pablo Avenue,,,
San Francisco,Asian,FALSE,415-731-5515,inexpensive,8 Immortals Restaurant,FALSE,1433 Taraval,,,
San Francisco,Asian,FALSE,415-863-9335,moderate,Bai Thong Thai,FALSE,298 Gough Street,,,
San Francisco,Asian,FALSE,415-474-5569,moderate,Burmese Kitchen,FALSE,(between 2nd & 3rd Ave),,,
San Francisco,Asian,FALSE,415-864-8999,moderate,Butterfly Restaurant,TRUE,33 The Embarcadero,,,
San Francisco,Asian,FALSE,415-979-9946,moderate,Chaat Corner,TRUE,320 3rd Street,,,
San Francisco,Asian,FALSE,415-731-8110,moderate,Chang's Kitchen Restaurant,FALSE,1030 Irving Street,,,
San Francisco,Asian,FALSE,415-751-0505,inexpensive,India Clay Oven,TRUE,2436 Clement Street,,,
San Francisco,Asian,FALSE,415-452-9618,inexpensive,Jo Jo's Cafe,FALSE,1537 Ocean Avenue,,,
San Francisco,Asian,FALSE,415-563-8882,moderate,King Lee's Chinese Restaurant,FALSE,1426 Fillmore Street,,,
San Francisco,Asian,FALSE,415-474-2866,very expensive,Kiss Seafood,FALSE,1700 Laguna Street,,,
Oakland,American,FALSE,510-834-2467,moderate,Chop Bar,TRUE,247 4th Street,,,
Oakland,American,TRUE,510-871-3463,moderate,Duchess Oakland,TRUE,5422 College Avenue,,,
Oakland,American,FALSE,510-286-0100,expensive,Flora,FALSE,1900 Telegraph Avenue,,,
Oakland,American,FALSE,510-268-3200,moderate,Forge Pizza Oakland,TRUE,66 Franklin Street #100,,,
Oakland,American,FALSE,510-663-4440,expensive,Haven,TRUE,44 Webster Street,,,
Oakland,American,FALSE,510-788-6217,moderate,Hopscotch,TRUE,1915 San Pablo Avenue,,,
Oakland,American,FALSE,510-419-0622,moderate,Hutch Bar & Kitchen,TRUE,2022 Telegraph Avenue,,,
Oakland,American,FALSE,510-735-9115,moderate,Ivy Moon Restaurant,FALSE,3112 Market Street,,,
Oakland,American,FALSE,510-835-8600,moderate,"Kincaid's Fish, Chop & Steak House",FALSE,1 Franklin Street,,,
Oakland,American,TRUE,510-562-0345,inexpensive,Mcdonald's,FALSE,7300 Bancroft Avenue,,,
Oakland,Italian,FALSE,510-768-8003,expensive,A16,TRUE,5356 College Avenue,,,
