address,category,date,has_seating_outdoors,has_vegetarian_options,location,number_of_seats,phone_number,price_range,rating,restaurant_name,time
18 Tamalpais Drive,Italian,,FALSE,FALSE,Corte Madera,,415-927-2316,moderate,4.1,Benissimo Restaurant & Bar,
33 The Embarcadero,Asian,,FALSE,TRUE,San Francisco,,415-864-8999,moderate,4,Butterfly Restaurant,
525 Crespi Drive,Peruvian,,TRUE,TRUE,Pacifica,,650-733-7343,moderate,4.1,Puerto 27,
1882 Curtner Avenue,Chinese,,FALSE,FALSE,San Jose,,408-371-2968,cheap,3.9,Little Hunan,
100 West American Canyon Road,Mexican,,FALSE,FALSE,American Canyon,,707-645-7459,moderate,4,Mi Zacatecas Family Restaurant,
1155 Folsom Street,Brunch,,FALSE,TRUE,San Francisco,,415-703-0557,moderate,3.8,Triptych,
507 Magnolia Avenue,Brasserie,,TRUE,FALSE,Larkspur,,415-927-3034,moderate,4.3,Left Bank Larkspur Brasserie,
6300 East 14th Street,Sandwich,,FALSE,FALSE,Oakland,,510-568-6471,cheap,3.5,Mcdonald's,
307 Hayes Street,Thai,,FALSE,TRUE,San Francisco,,415-874-9661,moderate,4.2,Lers Ros Thai,
115 Hartz Avenue,Thai,,FALSE,TRUE,Danville,,925-743-8424,moderate,4.5,Lotus Thai Restaurant,
2129 Taraval,Chinese,,FALSE,FALSE,San Francisco,,415-242-0811,cheap,4,Ming's Diner,
5012 Petaluma Boulevard North,Steakhouse,,FALSE,FALSE,Petaluma,,707-763-4114,moderate,4.3,Cattlemens,
1550 Halford Avenue,Thai,,FALSE,TRUE,Santa Clara,,408-615-9199,moderate,4.3,Thai Chili Cuisine,
7416 Redwood Boulevard,Italian,,FALSE,FALSE,Novato,,415-878-0314,moderate,4.5,Chianti Cucina,
212 Western Avenue,Japanese,,FALSE,TRUE,Petaluma,,707-789-9068,moderate,4.6,Izakaya Kitaru,
1350 Grant Road,Japanese,,FALSE,FALSE,Mountain View,,650-965-8898,moderate,3.8,Sushi 85,
1700 Church Street,Thai,,FALSE,TRUE,San Francisco,,415-643-5893,cheap,4.3,Regent Thai,
455 Magnolia Avenue,Italian,,FALSE,FALSE,Larkspur,,415-924-3332,moderate,3.5,Amalfi,
201 Vineyard Town Ctr,American,,FALSE,FALSE,Morgan Hill,,408-779-8182,cheap,3.4,Mcdonald's,
489 3rd Street,Italian,,FALSE,FALSE,San Francisco,,415-512-0300,moderate,4.2,La Briciola,
1500 Webster Street,American,,TRUE,TRUE,Alameda,,510-523-4500,moderate,4.4,Cafe Jolie,
1800 Fillmore Street,American,,FALSE,TRUE,San Francisco,,415-775-1800,moderate,3.8,Academy Bar And Kitchen,
499 Dolores Street,American,,FALSE,TRUE,San Francisco,,415-431-6268,moderate,4.3,Namu Gaji,
8840 Lakewood Drive,Chinese,,FALSE,TRUE,Windsor,,707-838-2101,moderate,4.6,Yin Keng Restaurant,
941 Kearny Street,Indian,,FALSE,TRUE,San Francisco,,415-951-0505,moderate,3.4,Tandoori Mahal Indian Restaurant,
2203 Loveridge Road,Sandwich,,FALSE,FALSE,Pittsburg,,925-439-5289,cheap,3.5,Mcdonald's,
131 Mirada Road,American,,TRUE,FALSE,Half Moon Bay,,650-726-9053,moderate,4.2,Miramar Beach Restaurant,
425 California Avenue,Thai,,FALSE,TRUE,Palo Alto,,650-289-0907,moderate,3.9,Lotus Thai Bistro,
2323 Birch Street,Mediterranean,,TRUE,TRUE,Palo Alto,,650-853-9700,moderate,4.2,Anatolian Kitchen,
240 Front Street,European,,FALSE,FALSE,San Francisco,,415-421-4778,moderate,4.2,Schroeder's,
71 North San Pedro Street,American,,TRUE,TRUE,San Jose,,408-971-8523,moderate,4,71 Saint Peter,
2400 Forest Avenue,American,,FALSE,TRUE,San Jose,,408-261-5787,moderate,4.2,Bazille,
99 South 1st Street,American,,FALSE,FALSE,San Jose,,408-292-4300,moderate,3.7,Billy Berk's,
511 Coleman Avenue,American,,TRUE,TRUE,San Jose,,408-343-7230,moderate,3.9,Bj's Restaurant & Brewhouse,
1202 Lincoln Avenue,American,,TRUE,FALSE,San Jose,,408-816-7251,pricey,4.4,Black Sheep Brasserie,
2445 Fontaine Road,American,,FALSE,TRUE,San Jose,,408-238-9110,moderate,4.2,Chuck E. Cheese's,
61 Curtner Avenue,American,,FALSE,FALSE,San Jose,,408-292-7444,moderate,4.1,Famous Dave's Bar-b-que,
