destination,number_of_seats,ride_fare,ride_type,wait_time
659 Merchant Street,2,15.64,Regular,7
Kabul Kabob & Grill,1,11.45,Regular,6
Go Vegan,2,22.23,Pool,4
La Vie,1,9.04,Pool,6
2550 South King Road,1,11.00,Pool,3
Trattoria Pinocchio,1,20.75,Luxury,14
Enoteca Molinari,2,23.57,Regular,4
336 North Santa Cruz Avenue,2,45.45,Luxury,14
Barracuda Japanese Restaurant,1,15.64,Regular,3
Solomon R. Guggenheim Museum,2,10.32,Pool,6
2217 Market Street,1,7.96,Pool,9
Perfect Chinese Food,4,36.12,Luxury,8
403 Healdsburg Avenue,1,25.48,Luxury,11
Penang Garden Restaurant,3,39.73,Luxury,11
512 Sacramento Street,1,14.43,Regular,2
4087 Peralta Boulevard,4,40.18,Luxury,13
Prospect Park,2,14.24,Regular,3
3540 Blackhawk Plaza Circle,2,14.38,Pool,3
Saint Thomas Church Fifth Avenue,2,17.89,Pool,5
Takumi Sushi Bar & Grill,1,24.97,Regular,6
"Sonoma Ave, # 44, 1820 Doctors Park Drive",2,15.25,Pool,7
Katsu Los Gatos,3,22.76,Regular,5
3455 Homestead Road,3,57.75,Luxury,13
1367 North McDowell Boulevard,1,22.47,Luxury,11
London Aquatics Centre,2,27.82,Regular,5
Seiki House,2,37.62,Luxury,9
Sitar Indian Cuisine,4,49.32,Regular,2
1631 Lincoln Avenue,2,29.02,Regular,3
Pacific Science Center,1,31.17,Luxury,8
395 Ano Nuevo Avenue,4,46.76,Regular,4
2510 Shattuck Avenue,1,15.56,Luxury,12
604 East Evelyn Avenue,2,45.17,Luxury,10
1306 Lincoln Avenue,3,21.17,Pool,3
19369 Stevens Creek Boulevard Suite 130,4,30.04,Pool,3
353 Columbus Avenue,3,40.88,Regular,4
Shaking the Tree Theatre,3,29.77,Regular,5
Greentree Apartments,1,18.61,Luxury,12
87 East San Fernando Street,3,50.47,Luxury,9
961 Bluebell Drive,1,10.60,Regular,6
Luna Mexican Kitchen,3,13.94,Pool,6
3119 Clement Street,2,11.36,Pool,5
Val's,1,20.06,Luxury,10
291 30th Street,2,45.33,Luxury,14
510 San Anselmo Avenue,2,29.08,Regular,3
2125 Coast Hwy,2,15.68,Pool,8
Two Temple Place,1,12.13,Regular,7
2222 Bancroft Way,3,21.74,Pool,4
1178 El Camino Real,2,43.09,Luxury,8
Summerwood,1,22.05,Luxury,7
St. Stephen's Episcopal Church,3,49.22,Luxury,11
Locanda,1,27.15,Luxury,13
4906 Paseo Padre Parkway,4,33.48,Regular,7
25 Broadway,3,44.43,Luxury,10
518 7th Street,1,7.91,Pool,5
Menara Kuala Lumpur,3,27.14,Pool,4
Loft Bar & Bistro,3,26.52,Luxury,8
1501 Trousdale Drive #2,2,39.54,Luxury,11
426 Brannan Street,1,19.64,Regular,4
3425 South Bascom Avenue #235,1,18.66,Luxury,12
866 Campus Drive,1,17.15,Regular,4
460 34th Street,1,14.19,Pool,6
1580 Valencia Street #508,1,23.35,Regular,5
909 San Ramon Valley Boulevard #114,2,26.81,Regular,5
2452 Watson Court,1,11.70,Regular,6
5050 West El Camino Real # 110,1,10.79,Regular,7
2400 Samaritan Drive #105,1,17.77,Regular,6
"Sonoma Ave, # 44, 1820 Doctors Park Drive",1,26.44,Luxury,8
2219 Buchanan Road #6,3,42.97,Regular,7
1501 3rd Street,2,23.93,Regular,4
17251 Hesperian Boulevard,3,25.69,Regular,4
80 Nicholl Avenue,1,32.76,Luxury,13
301 Old San Francisco Road Level 2,3,36.53,Regular,7
2100 Webster Street suite 214,1,32.42,Luxury,11
2574 San Bruno Avenue,1,15.08,Regular,2
655 Redwood Highway Suite 100,3,11.66,Pool,7
2577 Samaritan Drive Suite 740,1,17.48,Luxury,13
1174 Castro Street # 100,3,13.70,Pool,8
5050 West El Camino Real # 110,2,25.12,Pool,6
5401 Norris Canyon Road,2,8.63,Pool,6
16130 Juan Hernandez Drive #108,1,13.46,Pool,9
4680 Tassajara Road,2,40.19,Luxury,12
7200 Bancroft Avenue,2,22.49,Pool,3
1301 Southpoint Boulevard,3,49.10,Luxury,10
5050 West El Camino Real # 110,2,29.80,Regular,3
15267 Hesperian Boulevard,3,24.30,Regular,6
2316 Dwight Way,2,22.56,Regular,6
935 Trancas Street,1,12.73,Pool,4
3300 Webster Street,2,24.44,Pool,4
5050 West El Camino Real # 110,3,40.17,Regular,4
Victoria's Mexican Restaurant,2,16.81,Pool,9
