average_rating,city,is_unisex,phone_number,street_address,stylist_name,appointment_date,appointment_time
3.7,Concord,TRUE,925-446-4144,4330 Clayton Road suite j,Breds Barbershop,,
4.4,Concord,TRUE,925-798-3000,114 Sun Valley Mall,Empire Barbershop,,
4.5,Concord,TRUE,925-349-6036,1585 Clayton Road,First Class Barber Shop,,
3.3,Concord,TRUE,925-681-2887,790 Oak Grove Road Ste B,Great Clips,,
4.3,Concord,TRUE,925-673-5686,5434 Ygnacio Valley Road Suite #50,Sport Clips Haircuts Of Clayton Valley Shopping Center,,
4,Concord,TRUE,925-671-2525,4475 Treat Boulevard F,Supercuts,,
4.5,,TRUE,925-349-6036,1585 Clayton Road,First Class Barber Shop,,
4.8,San Francisco,TRUE,415-286-4371,1532 20th Street,1512 Barber Shop,,
4.5,San Francisco,TRUE,415-824-1335,2737 20th Street,20Th Salon And Barber,,
3.9,San Francisco,TRUE,415-788-4936,44 Montgomery Street #30,A Businessman'S Haircut,,
4.4,San Francisco,TRUE,415-296-9212,310 Sutter Street 4th floor,Alcheme Salon,,
5,San Francisco,TRUE,415-445-9373,333 Bush Street Suite #104,Alexander G.,,
4.4,San Francisco,TRUE,415-587-5003,949 Geneva Avenue,Amazon Barber Shop,,
4.4,San Francisco,TRUE,415-956-4049,140 Sutter Street,Arcade Barber Shop,,
5,San Francisco,FALSE,415-433-3334,33 Grant Avenue,Archer Salon,,
4.9,San Francisco,TRUE,415-658-7469,1041 Guerrero Street,Arrow Salon,,
4.8,San Francisco,TRUE,415-501-0338,"2, 1996 Union Street",Arthur Sebastian Hair Salon,,
4.8,,TRUE,415-286-4371,1532 20th Street,1512 Barber Shop,,
4.5,Vacaville,TRUE,707-689-5136,198 Dobbins Street,Primo'S Barbershop,,
4,Vacaville,TRUE,707-447-4606,"Nut Tree Village, 1631 East Monte Vista Avenue K101",Sport Clips Haircuts Of Vacaville - Nut Tree Village,,
3.6,Vacaville,TRUE,707-446-9673,3033 Alamo Drive,Supercuts,,
4.5,Vacaville,TRUE,707-448-8983,500 Elmira Road C,Velocity Cutz,,
4.5,,TRUE,707-689-5136,198 Dobbins Street,Primo'S Barbershop,,
4.7,Oakland,TRUE,510-653-1059,4801 Telegraph Avenue,17 Jewels Salon,,
5,Oakland,TRUE,510-227-4268,408 14th Street,Benny Adem Grooming Parlor,,
5,Oakland,TRUE,510-838-2426,2509 Broadway,Bibo Salon,,
4.2,Oakland,TRUE,510-451-1300,3342 Lakeshore Avenue,Bounce Blowdry Bar,,
4.3,Oakland,FALSE,510-601-5225,4179 Piedmont Avenue,Calm A Salon,,
4.9,Oakland,TRUE,510-834-8330,180 2nd Street #6,Charles Blades Barber Spa,,
4.7,Oakland,TRUE,510-365-4585,1707 Webster Street,Dax Lee'S Barber & Apothecary,,
4.2,Oakland,FALSE,510-652-5431,5431 College Avenue,"Elizabeth H/The Art Of Hair, Skin &Nail Design",,
4.8,Oakland,TRUE,510-788-6378,4928 Telegraph Avenue,Fig & Clover,,
4.9,Oakland,TRUE,510-332-9400,4287 Piedmont Avenue,Hairapy,,
