average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
5,San Francisco,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,,
4,San Francisco,Aura Skin Spa,415-788-3800,450 Sutter Street #2340,Dermatologist,,
4.2,San Francisco,Bay Area Cosmetic Dermatology,415-440-6356,2211 Post Street #404,Dermatologist,,
3.7,San Francisco,Berman Skin Institute,415-771-6300,490 Post Street #320,Dermatologist,,
5,San Francisco,California Skin Institute,415-678-5887,909 Hyde Street #419,Dermatologist,,
5,San Francisco,Camarillo Diana B MD,415-441-1670,515 Spruce Street,Dermatologist,,
5,San Francisco,"Caren Campbell, MD",415-839-8118,45 Castro Street # 332,Dermatologist,,
4.9,San Francisco,David J MacGregor MD,415-989-9400,107 Melville Avenue,Dermatologist,,
4,San Francisco,Dr. Andrea Hui Austin,415-292-6350,2299 Post Street #312,Dermatologist,,
4.2,San Francisco,"Dr. Lawrence C. Cheung, MD",415-333-0348,595 Buckingham Way Ste. 220,Dermatologist,,
3.7,San Francisco,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,,
5,San Francisco,Arthur H Coleman Medical Center: Dickey Jan V MD,415-467-1400,4340 Redwood Highway Suite A-22,General Practitioner,,
5,San Francisco,"Avril Swan, MD",415-642-0333,1286 Sanchez Street a,General Practitioner,,
4.4,San Francisco,Bellamy Amber MD,415-452-2000,769 Center Boulevard #124,General Practitioner,,
5,San Francisco,Castro-Mission Health Center: Brown Deborah E MD,415-558-8221,1375 Sutter Street,General Practitioner,,
5,San Francisco,"Daniel S. Dinenberg, MD",415-529-4050,3555 Cesar Chavez,General Practitioner,,
5,San Francisco,Discover Health,415-732-7029,2250 Hayes Street,General Practitioner,,
3.8,San Francisco,"Dr. Arkady Gendelman, MD",415-567-8187,4050 Dublin Boulevard #2,General Practitioner,,
5,San Francisco,"Dr. David R. Pepper, MD",415-552-1013,240 Shotwell Street,General Practitioner,,
4.2,San Francisco,Dr. Jacob Wardwell,415-606-0309,1286 Sanchez Street,General Practitioner,,
5,,Arthur H Coleman Medical Center: Dickey Jan V MD,415-467-1400,4340 Redwood Highway Suite A-22,General Practitioner,,
5,Los Gatos,Blossom Ridge Medical Group: Zimmer J Kirk MD,408-377-9180,555 Knowles Drive #203,General Practitioner,,
5,Los Gatos,"Dr. Anakha R. Nambiar, MD",408-871-9105,55 East Julian Street,General Practitioner,,
4.8,Los Gatos,"Dr. D. Jeffrey Duckham, MD",408-358-3836,2505 Samaritan Drive,General Practitioner,,
3.7,Los Gatos,"Dr. James M. Pellegrin, MD",408-354-0782,143 East Main Street,General Practitioner,,
5,Los Gatos,"Dr. Jeffrey E. Brown, MD",408-998-5811,2300 California Street,General Practitioner,,
4.8,Los Gatos,"Dr. Kuljeet S. Rai, MD",408-356-3576,3880 South Bascom Avenue # 108,General Practitioner,,
5,Los Gatos,"Dr. Mary D. Defigard, MD",408-377-1459,Camden Avenue,General Practitioner,,
3.7,Los Gatos,"Dr. Susan Tran, D.O.",408-426-5540,1071 Blossom Hill Road,General Practitioner,,
3.1,Los Gatos,Family Medicine Samaritan Family Practice,408-340-5700,143 East Main Street,General Practitioner,,
4.3,Los Gatos,Hopner Dan MD,408-378-9114,14251 Winchester Boulevard #200,General Practitioner,,
5,,Blossom Ridge Medical Group: Zimmer J Kirk MD,408-377-9180,555 Knowles Drive #203,General Practitioner,,
5,Larkspur,"Dr. Robert R. Anderson, MD",415-461-8200,2211 Bush Street,Ophthalmologist,,
5,Larkspur,Marin Eye and Ear: Shimokaji and Shapiro M.D.s,415-925-2020,55 Stevenson Street,Ophthalmologist,,
5,,"Dr. Robert R. Anderson, MD",415-461-8200,2211 Bush Street,Ophthalmologist,,
5,Novato,Elloway John MD,415-892-3300,1956 Union Street,General Practitioner,,
4.8,Novato,"J. Timothy Murphy, M.D.",415-209-2609,468 Tehama Street A,General Practitioner,,
5,Novato,"Patricia Glatt, M.D.",415-878-7200,1324 Grant Avenue,General Practitioner,,
5,Vacaville,"Dr. Farhad Zamani, MD",707-624-4000,131 West A Street,General Practitioner,,
5,Vacaville,"Maria Carmela Saavedra, M.D.",707-454-5952,770 Mason Street,General Practitioner,,
5,Vacaville,Vadlamudi Gautam K MD,707-455-8724,2360 Mendocino Avenue,General Practitioner,,
4.6,Vacaville,William T OConnor MD,707-446-1655,770 Mason Street,General Practitioner,,
5,,"Dr. Farhad Zamani, MD",707-624-4000,131 West A Street,General Practitioner,,
5,Santa Clara,"David Quincy, M.D., MPH",408-241-3801,2734 East El Camino Real,General Practitioner,,
3.5,Santa Clara,"Emanuel Elias, M.D.",408-524-5733,2101 Forest Avenue #124,General Practitioner,,
5,Santa Clara,"Melissa Huck-Nguyen, M.D.",209-334-0944,7225 Rainbow Drive,General Practitioner,,
5,Santa Clara,"Peter Chung, DO",408-247-0099,210 North Jackson Avenue #20,General Practitioner,,
4.2,Santa Clara,Roger Washington's Family Practice,408-246-9926,1470 Halford Avenue #168,General Practitioner,,
5,Martinez,Contra-Costa Regional Med Center: Cominos Eve D MD,925-370-5000,2500 Alhambra Avenue,General Practitioner,,
5,Martinez,Contra-Costa Regional Med Center: Hubiak Melissa M MD,925-370-5110,2500 Alhambra Avenue,General Practitioner,,
5,Martinez,"Dr. Greta T. Perez, MD",925-370-5158,87 Fenton Street Suite 210,General Practitioner,,
5,Martinez,"Dr. Malaika M. Scott, MD",925-370-5142,2500 Alhambra Avenue,General Practitioner,,
5,,Contra-Costa Regional Med Center: Hubiak Melissa M MD,925-370-5110,2500 Alhambra Avenue,General Practitioner,,
5,San Francisco,"Aaron Tward, M.D.",415-353-2757,2380 Sutter Street,ENT Specialist,,
4.8,San Francisco,"Clifford Chew, MD",415-433-7945,45 Castro Street,ENT Specialist,,
4.7,San Francisco,"Dr. Clark Rosen, MD",415-885-7700,500 Sutter Street #430,ENT Specialist,,
5,San Francisco,"Dr. Daniel F. Hartman, MD",415-751-1414,3838 California Street #505,ENT Specialist,,
4,San Francisco,"Dr. Gary A. Rust, MD",415-626-4900,2460 Mission Street #217,ENT Specialist,,
5,San Francisco,Dr. Oscar A Saddul,415-641-5600,3838 California Street,ENT Specialist,,
