class,date_of_journey,from,from_station,journey_start_time,number_of_adults,to,to_station,total,trip_protection
Value,3/7/2019,Anaheim,Anaheim Intermodal Center,6:30,,Phoenix,Phoenix Union Station,,TRUE
Value,3/7/2019,Anaheim,Anaheim Intermodal Center,6:40,,Phoenix,Phoenix Union Station,,TRUE
Value,3/7/2019,Anaheim,Anaheim Intermodal Center,12:00,,Phoenix,Phoenix Union Station,,TRUE
Value,3/7/2019,Anaheim,Anaheim Intermodal Center,14:50,,Phoenix,Phoenix Union Station,,TRUE
Value,3/1/2019,New York,Grand Central Station,6:00,,Chicago,Chicago Union Station,,TRUE
Value,3/1/2019,New York,Grand Central Station,6:10,,Chicago,Chicago Union Station,,TRUE
Value,3/1/2019,New York,Grand Central Station,7:50,,Chicago,Chicago Union Station,,TRUE
Value,3/1/2019,New York,Grand Central Station,9:50,,Chicago,Chicago Union Station,,TRUE
Value,3/1/2019,New York,Grand Central Station,13:40,,Chicago,Chicago Union Station,,TRUE
Value,3/1/2019,New York,Grand Central Station,17:10,,Chicago,Chicago Union Station,,TRUE
Value,3/1/2019,Fresno,Fresno Station,7:00,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/1/2019,Fresno,Fresno Station,9:30,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/1/2019,Fresno,Fresno Station,10:50,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/1/2019,Fresno,Fresno Station,16:50,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/1/2019,Fresno,Fresno Station,18:00,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/1/2019,Fresno,Fresno Station,18:40,,Anaheim,Anaheim Intermodal Center,,TRUE
Business,3/1/2019,Fresno,Fresno Station,9:30,,Anaheim,Anaheim Intermodal Center,,TRUE
Business,3/1/2019,Fresno,Fresno Station,10:50,,Anaheim,Anaheim Intermodal Center,,TRUE
Business,3/1/2019,Fresno,Fresno Station,18:00,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,6:10,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,6:20,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,6:50,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,10:20,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,10:50,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,12:30,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,12:40,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,16:50,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/10/2019,San Francisco,Salesforce Transit Center,18:50,,Sacramento,Sacramento Valley Station,,TRUE
Value,3/3/2019,Los Angeles,Union Station,6:30,,Phoenix,Phoenix Union Station,,TRUE
Value,3/3/2019,Los Angeles,Union Station,7:40,,Phoenix,Phoenix Union Station,,TRUE
Value,3/3/2019,Los Angeles,Union Station,8:10,,Phoenix,Phoenix Union Station,,TRUE
Value,3/3/2019,Los Angeles,Union Station,9:00,,Phoenix,Phoenix Union Station,,TRUE
Value,3/3/2019,Los Angeles,Union Station,11:20,,Phoenix,Phoenix Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,6:50,,Portland,Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,8:10,,Portland,Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,8:20,,Portland,Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,8:40,,Portland,Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,12:00,,Portland,Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,14:10,,Portland,Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,16:10,,Portland,Union Station,,TRUE
Value,3/9/2019,Vancouver,Pacific Central Station,16:20,,Portland,Union Station,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,8:30,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,9:10,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,9:50,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,10:00,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,12:20,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,15:10,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,15:20,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/12/2019,San Diego,Santa Fe Depot,19:40,,Anaheim,Anaheim Intermodal Center,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,6:20,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,6:40,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,7:10,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,14:40,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,15:10,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,15:50,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,17:40,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,18:10,,Seattle,King Street Station,,TRUE
Value,3/2/2019,Vancouver,Pacific Central Station,18:30,,Seattle,King Street Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,6:50,,Sacramento,Sacramento Valley Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,7:10,,Sacramento,Sacramento Valley Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,7:40,,Sacramento,Sacramento Valley Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,8:10,,Sacramento,Sacramento Valley Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,11:00,,Sacramento,Sacramento Valley Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,12:30,,Sacramento,Sacramento Valley Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,14:50,,Sacramento,Sacramento Valley Station,,TRUE
Flexible,3/5/2019,Anaheim,Anaheim Intermodal Center,17:00,,Sacramento,Sacramento Valley Station,,TRUE
