attraction_name,category,free_entry,good_for_kids,location,phone_number
Atlanta Botanical Garden,Park,FALSE,TRUE,Atlanta,404-876-5859
Atlanta History Center,Museum,FALSE,TRUE,Atlanta,404-814-4000
Bodies The Exhibition,Museum,FALSE,TRUE,Atlanta,404-496-4274
CNN Studio Tours,Tourist Attraction,FALSE,TRUE,Atlanta,877-426-6868
Cathedral of Christ the King,Place of Worship,TRUE,TRUE,Atlanta,404-233-2145
Chastain Memorial Park,Park,TRUE,TRUE,Atlanta,404-546-6788
Chick-fil-A College Football Hall of Fame,Museum,FALSE,TRUE,Atlanta,404-880-4800
Children's Museum of Atlanta,Museum,TRUE,TRUE,Atlanta,404-659-5437
Ebenezer Baptist Church,Place of Worship,FALSE,TRUE,Atlanta,404-688-7300
Georgia Aquarium,Nature Preserve,FALSE,TRUE,Atlanta,(404) 581-4000
360 CHICAGO,Tourist Attraction,TRUE,TRUE,Chicago,888-875-8439
American Writers Museum,Museum,FALSE,TRUE,Chicago,312-374-8790
Big Bus Tours Chicago (Tours begin at 98 E. Upper Wacker Dr.),Tourist Attraction,FALSE,TRUE,Chicago,877-285-4796
Burnham Park,Park,TRUE,TRUE,Chicago,312-742-8520
Chicago Children's Museum,Museum,FALSE,TRUE,Chicago,312-527-1000
Chicago Cultural Center,Performing Arts Venue,TRUE,TRUE,Chicago,312-744-6630
Chicago History Museum,Museum,TRUE,TRUE,Chicago,(800) 526-0857
Chicago Riverwalk,Park,TRUE,FALSE,Chicago,877-300-6746
Chicago Water Tower,Tourist Attraction,TRUE,TRUE,Chicago,312-742-0808
DuSable Museum of African American History,Museum,FALSE,TRUE,Chicago,773-947-0600
Garfield Park Conservatory,Park,FALSE,TRUE,Chicago,773-638-1777
Autry Museum of the American West,Museum,TRUE,TRUE,Los Angeles,323-667-2000
Battleship USS Iowa Museum,Museum,FALSE,FALSE,Los Angeles,877-446-9261
California African American Museum,Museum,FALSE,TRUE,Los Angeles,(213) 744-7432
Craft Contemporary,Museum,FALSE,TRUE,Los Angeles,323-937-4230
Discovery Cube Los Angeles,Museum,FALSE,TRUE,Los Angeles,818-686-2823
GRAMMY Museum L.A. LIVE,Museum,FALSE,TRUE,Los Angeles,213-765-6800
Hauser & Wirth,Museum,TRUE,TRUE,Los Angeles,213-988-7413
Japanese American National Museum,Museum,TRUE,TRUE,Los Angeles,213-625-0414
L.A. Louver,Museum,FALSE,TRUE,Los Angeles,310-822-4955
Los Angeles County Museum of Art,Museum,FALSE,TRUE,Los Angeles,(323) 857-0098
High Museum of Art,Museum,TRUE,TRUE,Atlanta,404-733-4200
Jimmy Carter Presidential Library and Museum,Museum,TRUE,TRUE,Atlanta,404-865-7100
Bradbury Building,Historical Landmark,TRUE,TRUE,Los Angeles,213-626-1893
Cabrillo Marine Aquarium,Nature Preserve,TRUE,TRUE,Los Angeles,310-612-1437
Cathedral of Our Lady of the Angels,Place of Worship,FALSE,TRUE,Los Angeles,213-680-5200
Dodger Stadium,Sports Venue,TRUE,TRUE,Los Angeles,866-363-4377
Dolby Theatre,Performing Arts Venue,TRUE,TRUE,Los Angeles,323-308-6300
Exposition Park,Park,TRUE,TRUE,Los Angeles,213-744-7458
Maggie Daley Park ice skating ribbon,Sports Venue,FALSE,TRUE,Chicago,312-552-3000
Wrigley Field,Sports Venue,FALSE,TRUE,Chicago,773-404-2827
92nd Street Y,Performing Arts Venue,FALSE,FALSE,New York,(212) 415-5788
American Folk Art Museum,Museum,FALSE,TRUE,New York,(212) 265-1040
American Museum of Natural History,Museum,TRUE,TRUE,New York,(212) 769-5100
Apollo Theater,Performing Arts Venue,TRUE,TRUE,New York,212-531-5300
Astoria Park,Park,FALSE,TRUE,New York,212-639-9675
Balto Statue,Tourist Attraction,TRUE,FALSE,New York,212-310-6600
Bayonne Bridge,Historical Landmark,TRUE,TRUE,New York,212-435-7000
Bethesda Terrace,Tourist Attraction,TRUE,TRUE,New York,212-310-6600
Bow Bridge,Historical Landmark,FALSE,TRUE,New York,212-310-6600
Bronx Zoo,Nature Preserve,FALSE,TRUE,New York,718-367-1010
Empire State Building,Historical Landmark,FALSE,TRUE,New York,212-736-3100
Goethals Bridge,Historical Landmark,TRUE,TRUE,New York,800-221-9903
Morris-Jumel Mansion,Historical Landmark,TRUE,FALSE,New York,212-923-8008
National Debt Clock,Historical Landmark,FALSE,FALSE,New York,212-257-6600
Robert F. Kennedy Bridge,Historical Landmark,TRUE,TRUE,New York,212-870-6425
Rockefeller Center,Historical Landmark,FALSE,TRUE,New York,212-332-6868
Statue of Liberty National Monument,Historical Landmark,FALSE,FALSE,New York,212-363-3200
The Little Red Lighthouse,Historical Landmark,TRUE,TRUE,New York,212-628-2345
Chihuly Garden and Glass,Museum,TRUE,TRUE,Seattle,206-753-4940
Museum of History & Industry (MOHAI),Museum,TRUE,TRUE,Seattle,206-324-1126
Pacific Science Center,Museum,TRUE,TRUE,Seattle,206-443-3643
Seattle Children's Museum,Museum,TRUE,TRUE,Seattle,206-441-1768
Holy Name Cathedral Parish,Place of Worship,TRUE,TRUE,Chicago,312-573-4467
International Museum of Surgical Science,Museum,TRUE,FALSE,Chicago,312-642-6502
Lincoln Park Conservatory,Park,TRUE,TRUE,Chicago,312-742-7736
Maggie Daley Park,Park,TRUE,TRUE,Chicago,312-552-3000
Margaret Mitchell House,Museum,FALSE,TRUE,Atlanta,404-249-7015
