city,date,humidity,precipitation,temperature,wind
Dixon,2019-03-07,16,1,80,7
Sonoma,2019-03-09,21,6,85,7
Mill Valley,2019-03-14,40,13,91,2
Palo Alto,2019-03-05,53,27,88,1
Mountain View,2019-03-01,28,9,91,3
Yountville,2019-03-09,13,11,91,8
Menlo Park,2019-03-08,22,9,83,8
Sebastopol,2019-03-07,30,20,83,1
Mill Valley,2019-03-07,36,27,91,9
Fairfax,2019-03-09,19,3,80,3
San Francisco,2019-03-04,19,16,71,8
Novato,2019-03-13,17,2,70,7
Discovery Bay,2019-03-01,28,9,77,3
Pinole,2019-03-13,29,18,84,9
Napa,2019-03-01,25,24,85,6
Lafayette,2019-03-04,29,15,91,5
Santa Rosa,2019-03-10,37,18,77,9
Menlo Park,2019-03-09,29,15,87,12
Antioch,2019-03-01,17,2,91,5
Campbell,2019-03-06,24,8,75,4
Walnut Creek,2019-03-07,31,19,72,12
Alameda,2019-03-01,25,8,73,11
Fairfield,2019-03-13,15,0,74,10
Larkspur,2019-03-11,34,26,89,7
Kenwood,2019-03-08,30,14,73,4
Redwood City,2019-03-01,41,20,87,8
San Ramon,2019-03-05,47,24,71,11
Muir Beach,2019-03-05,44,18,76,3
Walnut Creek,2019-03-13,32,14,82,12
Healdsburg,2019-03-07,22,9,73,10
St. Helena,2019-03-01,41,22,82,3
Concord,2019-03-01,29,16,71,6
Los Altos,2019-03-01,19,6,76,3
Clayton,2019-03-01,15,1,70,5
"Olema, California",2019-03-01,25,21,91,3
Daly City,2019-03-07,56,26,75,10
Pleasant Hill,2019-03-05,18,3,74,12
Burlingame,2019-03-11,34,12,91,1
Union City,2019-03-10,23,9,86,6
Saratoga,2019-03-11,42,24,89,7
Burlingame,2019-03-05,17,9,81,4
Danville,2019-03-01,35,24,83,7
Belmont,2019-03-11,7,21,71,8
Cloverdale,2019-03-11,16,1,76,11
El Sobrante,2019-03-13,19,15,82,8
Portola Valley,2019-03-02,35,13,86,7
San Lorenzo,2019-03-08,22,25,90,11
San Lorenzo,2019-03-07,12,24,86,5
Livermore,2019-03-12,43,29,83,7
Benicia,2019-03-10,18,10,79,1
Burlingame,2019-03-02,18,3,84,9
Montara,2019-03-07,15,1,88,2
Rutherford,2019-03-10,39,23,79,10
Sunnyvale,2019-03-07,35,25,94,3
Valley Ford,2019-03-01,17,6,72,10
Pinole,2019-03-11,30,17,89,10
Napa,2019-03-05,15,2,79,4
"Olema, California",2019-03-12,19,21,77,6
Windsor,2019-03-01,37,21,86,9
Inverness,2019-03-01,18,4,90,9
El Cerrito,2019-03-11,29,10,87,3
Fairfax,2019-03-12,41,23,94,7
Los Gatos,2019-03-13,37,28,91,1
Albany,2019-03-01,29,19,92,8
San Francisco,2019-03-02,30,15,72,8
Sunol,2019-03-01,28,12,92,6
Chicago,2019-03-01,29,29,73,15
Campbell,2019-03-01,18,4,91,9
San Jose,2019-03-07,48,29,80,6
Mexico City,2019-03-07,24,6,93,5
Paris,2019-03-01,32,26,77,7
Millbrae,2019-03-06,21,8,88,6
Berkeley,2019-03-01,29,17,91,5
Berkeley,2019-03-06,23,7,84,9
Long Beach,2019-03-13,15,9,72,6
Calistoga,2019-03-03,23,6,76,1
Pleasant Hill,2019-03-09,20,26,83,8
Hercules,2019-03-01,40,19,81,11
Hercules,2019-03-06,19,12,84,6
Seattle,2019-03-06,29,27,64,4
Nairobi,2019-03-01,15,0,105,7
